Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
David Slottje,"('Charles Joyce', 'David Slottje')",Matthew Cortese,Fred Fredrickson,"('Matthew Cortese', 'Neal Simon')","('Fred Fredrickson', 'Tim Timbrook')"
Charles Joyce,,John Williams,Kier Dirlam,"('Matthew Cortese', 'John Williams')","('Fred Fredrickson', 'Kier Dirlam')"
Neal Simon,,David Robinson,Doug Turner,"('Matthew Cortese', 'David Robinson')","('Fred Fredrickson', 'Doug Turner')"
,,Brent Kelley,Tim Timbrook,"('Matthew Cortese', 'Brent Kelley')","('Fred Fredrickson', 'Tom Mansfield')"
,,Art Van Tyne,Tom Mansfield,"('Matthew Cortese', 'Art Van Tyne')","('Fred Fredrickson', 'Tim Cochran')"
,,Kevin LaForge,Tim Cochran,"('Matthew Cortese', 'Kevin LaForge')","('Fred Fredrickson', 'Steve Kilmer')"
,,Joel Kassirer,Steve Kilmer,"('Matthew Cortese', 'Joel Kassirer')","('Fred Fredrickson', 'Bob Ormsby')"
,,Cheryl Green,Bob Ormsby,"('Matthew Cortese', 'Cheryl Green')","('Fred Fredrickson', 'Charles Joyce')"
,,Mike Atchie,Phil Curran,"('Matthew Cortese', 'Mike Atchie')","('Fred Fredrickson', 'David Slottje')"
,,Renee Lawrence,Fion MacCrea,"('Matthew Cortese', 'Charles Joyce')","('Fred Fredrickson', 'Phil Curran')"
,,Jack Liguori,Tim O Grady,"('Matthew Cortese', 'David Slottje')","('Fred Fredrickson', 'Fion MacCrea')"
,,Norman Ungermann,Cathy Young,"('Matthew Cortese', 'Renee Lawrence')","('Fred Fredrickson', 'Tim O Grady')"
,,Fred Sinclair,Jan Burdick,"('Matthew Cortese', 'Jack Liguori')","('Fred Fredrickson', 'Neal Simon')"
,,Marika Burke,Kim Donius,"('Matthew Cortese', 'Norman Ungermann')","('Fred Fredrickson', 'Cathy Young')"
,,Walter Hang,Debora Jakobi,"('Matthew Cortese', 'Fred Sinclair')","('Fred Fredrickson', 'Jan Burdick')"
,,Curt Crandall,Virginia Rasmussen,"('Matthew Cortese', 'Marika Burke')","('Fred Fredrickson', 'Kim Donius')"
,,Ryan Papaserge,David Orr,"('Matthew Cortese', 'Walter Hang')","('Fred Fredrickson', 'Debora Jakobi')"
,,,Donn Lang,"('Matthew Cortese', 'Curt Crandall')","('Fred Fredrickson', 'Virginia Rasmussen')"
,,,David Fredrickson,"('Matthew Cortese', 'Ryan Papaserge')","('Fred Fredrickson', 'David Orr')"
,,,Jerry Snyder,"('John Williams', 'Neal Simon')","('Fred Fredrickson', 'Donn Lang')"
,,,Mark Klingensmith,"('John Williams', 'David Robinson')","('Fred Fredrickson', 'David Fredrickson')"
