Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Daniel Kujawinski,"('Leonard Pero', 'William Trask')",Geno Brant,Gary Becker,"('Geno Brant', 'Joseph Golombek')","('Gary Becker', 'Thea Ells')"
Leonard Pero,"('Daniel Kujawinski', 'William Trask')",Joseph Golombek,Thea Ells,"('Geno Brant', 'John Hanger')","('Gary Becker', 'Daniel Kujawinski')"
Joseph Ostrowski,,John Hanger,Peter Chiavetta,"('Geno Brant', 'Joseph Ostrowski')","('Gary Becker', 'Peter Chiavetta')"
William Trask,,Scott Zimmerman,Samuel Chiavetta,"('Geno Brant', 'Leonard Pero')","('Gary Becker', 'Samuel Chiavetta')"
,,Gary Brecker,Chad Kaczmarek,"('Geno Brant', 'Scott Zimmerman')","('Gary Becker', 'Chad Kaczmarek')"
,,Scott Perry,Joseph di Carlo,"('Geno Brant', 'Gary Brecker')","('Gary Becker', 'Joseph di Carlo')"
,,Gary Lash,Micheal Daniel,"('Geno Brant', 'Daniel Kujawinski')","('Gary Becker', 'Micheal Daniel')"
,,Sarah Buckley,Mark DeCarlo,"('Geno Brant', 'Scott Perry')","('Gary Becker', 'Leonard Pero')"
,,Douglas Walch,Jeffrey Gier,"('Geno Brant', 'William Trask')","('Gary Becker', 'Mark DeCarlo')"
,,Demyan Muchnik,Allen Nolan,"('Geno Brant', 'Gary Lash')","('Gary Becker', 'William Trask')"
,,Andrew Cuomo,Rick Snavely,"('Geno Brant', 'Sarah Buckley')","('Gary Becker', 'Jeffrey Gier')"
,,Natalie Brant,Ron Kobel,"('Geno Brant', 'Douglas Walch')","('Gary Becker', 'Allen Nolan')"
,,Josh Fox,Lee Brunell,"('Geno Brant', 'Demyan Muchnik')","('Gary Becker', 'Rick Snavely')"
,,Richard Lippes,Brian Campbell,"('Geno Brant', 'Andrew Cuomo')","('Gary Becker', 'Ron Kobel')"
,,Albert Brown,Clark Borngraber,"('Geno Brant', 'Natalie Brant')","('Gary Becker', 'Lee Brunell')"
,,Dawn McCaslin,Jim Travis,"('Geno Brant', 'Josh Fox')","('Gary Becker', 'Brian Campbell')"
,,,Bob Knorr,"('Geno Brant', 'Richard Lippes')","('Gary Becker', 'Clark Borngraber')"
,,,Barbara Daniel,"('Geno Brant', 'Albert Brown')","('Gary Becker', 'Jim Travis')"
,,,Lynda Ostrowski,"('Geno Brant', 'Dawn McCaslin')","('Gary Becker', 'Bob Knorr')"
,,,Bill Henry,"('Joseph Golombek', 'John Hanger')","('Gary Becker', 'Barbara Daniel')"
,,,Debra Ritz,"('Joseph Golombek', 'Joseph Ostrowski')","('Gary Becker', 'Lynda Ostrowski')"
,,,John Grennell,"('Joseph Golombek', 'Leonard Pero')","('Gary Becker', 'Bill Henry')"
,,,Donald Clark,"('Joseph Golombek', 'Scott Zimmerman')","('Gary Becker', 'Joseph Ostrowski')"
,,,Donald Hepkins,"('Joseph Golombek', 'Gary Brecker')","('Gary Becker', 'Debra Ritz')"
,,,Brian Rott,"('Joseph Golombek', 'Daniel Kujawinski')","('Gary Becker', 'John Grennell')"
,,,,"('Joseph Golombek', 'Scott Perry')","('Gary Becker', 'Donald Clark')"
,,,,"('Joseph Golombek', 'William Trask')","('Gary Becker', 'Donald Hepkins')"
,,,,"('Joseph Golombek', 'Gary Lash')","('Gary Becker', 'Brian Rott')"
,,,,"('Joseph Golombek', 'Sarah Buckley')","('Thea Ells', 'Daniel Kujawinski')"
,,,,"('Joseph Golombek', 'Douglas Walch')","('Thea Ells', 'Peter Chiavetta')"
,,,,"('Joseph Golombek', 'Demyan Muchnik')","('Thea Ells', 'Samuel Chiavetta')"
,,,,"('Joseph Golombek', 'Andrew Cuomo')","('Thea Ells', 'Chad Kaczmarek')"
,,,,"('Joseph Golombek', 'Natalie Brant')","('Thea Ells', 'Joseph di Carlo')"
,,,,"('Joseph Golombek', 'Josh Fox')","('Thea Ells', 'Micheal Daniel')"
,,,,"('Joseph Golombek', 'Richard Lippes')","('Thea Ells', 'Leonard Pero')"
,,,,"('Joseph Golombek', 'Albert Brown')","('Thea Ells', 'Mark DeCarlo')"
,,,,"('Joseph Golombek', 'Dawn McCaslin')","('Thea Ells', 'William Trask')"
,,,,"('John Hanger', 'Leonard Pero')","('Thea Ells', 'Jeffrey Gier')"
,,,,"('John Hanger', 'Joseph Ostrowski')","('Thea Ells', 'Allen Nolan')"
,,,,"('John Hanger', 'Scott Zimmerman')","('Thea Ells', 'Rick Snavely')"
,,,,"('John Hanger', 'Gary Brecker')","('Thea Ells', 'Ron Kobel')"
,,,,"('John Hanger', 'Daniel Kujawinski')","('Thea Ells', 'Lee Brunell')"
,,,,"('John Hanger', 'Scott Perry')","('Thea Ells', 'Brian Campbell')"
,,,,"('John Hanger', 'William Trask')","('Thea Ells', 'Clark Borngraber')"
,,,,"('John Hanger', 'Gary Lash')","('Thea Ells', 'Jim Travis')"
,,,,"('John Hanger', 'Sarah Buckley')","('Thea Ells', 'Bob Knorr')"
,,,,"('John Hanger', 'Douglas Walch')","('Thea Ells', 'Barbara Daniel')"
,,,,"('John Hanger', 'Demyan Muchnik')","('Thea Ells', 'Lynda Ostrowski')"
,,,,"('John Hanger', 'Andrew Cuomo')","('Thea Ells', 'Bill Henry')"
,,,,"('John Hanger', 'Natalie Brant')","('Thea Ells', 'Joseph Ostrowski')"
,,,,"('John Hanger', 'Josh Fox')","('Thea Ells', 'Debra Ritz')"
,,,,"('John Hanger', 'Richard Lippes')","('Thea Ells', 'John Grennell')"
,,,,"('John Hanger', 'Albert Brown')","('Thea Ells', 'Donald Clark')"
,,,,"('John Hanger', 'Dawn McCaslin')","('Thea Ells', 'Donald Hepkins')"
,,,,"('Joseph Ostrowski', 'Richard Lippes')","('Thea Ells', 'Brian Rott')"
,,,,"('Joseph Ostrowski', 'Leonard Pero')","('Daniel Kujawinski', 'Peter Chiavetta')"
,,,,"('Joseph Ostrowski', 'Scott Zimmerman')","('Daniel Kujawinski', 'Samuel Chiavetta')"
,,,,"('Joseph Ostrowski', 'Gary Brecker')","('Daniel Kujawinski', 'Chad Kaczmarek')"
,,,,"('Joseph Ostrowski', 'Daniel Kujawinski')","('Daniel Kujawinski', 'Joseph di Carlo')"
,,,,"('Joseph Ostrowski', 'Scott Perry')","('Daniel Kujawinski', 'Micheal Daniel')"
,,,,"('Joseph Ostrowski', 'William Trask')","('Daniel Kujawinski', 'Leonard Pero')"
,,,,"('Joseph Ostrowski', 'Gary Lash')","('Daniel Kujawinski', 'Mark DeCarlo')"
