Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
George Williams,"('Kevin Noble', 'Debralyn Muscato')",Don Barber,Gerald Hover,"('Don Barber', 'Rachel Treichler')","('George Williams', 'Milton Dougherty')"
Milton Dougherty,"('Fred Martinez', 'Brad Robinson')",Rachel Treichler,Carrie Kerr,"('Don Barber', 'Jeffery Jacquet')","('George Williams', 'Gerald Hover')"
Dan Lindsay,"('Loretta Sullivan', 'Arthur Cacciola')",Jeffery Jacquet,Will Oberbeck,"('Don Barber', 'David Slottje')","('George Williams', 'Christine Curkendall')"
Florence Alpert,"('Dan Lindsay', 'Debralyn Muscato')",David Slottje,Sandy Blinn,"('Don Barber', 'Judy Quigley')","('George Williams', 'Fred Martinez')"
Connie Kulze,"('Christine Curkendall', 'Fred Martinez')",Judy Quigley,Robert Aman,"('Don Barber', 'Helen Slottje')","('George Williams', 'Carrie Kerr')"
Christine Curkendall,"('James Douglas', 'Debralyn Muscato')",Helen Slottje,Jackie Beal,"('Don Barber', 'Tom Libous')","('George Williams', 'Will Oberbeck')"
Debralyn Muscato,"('James Douglas', 'Sue Heavenrich')",Tom Libous,Jeff Joseph,"('Don Barber', 'Nick Schoonover')","('George Williams', 'Sandy Blinn')"
Darlene Cobler,"('James Douglas', 'Florence Alpert')",Nick Schoonover,William Kulze,"('Don Barber', 'Joseph Bish')","('George Williams', 'Randy Murray')"
Fred Martinez,"('Connie Kulze', 'Terry Collins')",Aaron Gowan,Brad Woodburn,"('Don Barber', 'James Douglas')","('George Williams', 'Robert Aman')"
Terry Collins,"('George Williams', 'Terry Collins')",Jeremy Wheeler,David Paterson,"('Don Barber', 'Aaron Gowan')","('George Williams', 'Jackie Beal')"
Randy Murray,"('Sue Heavenrich', 'Robert Riggs')",Chris Brown,Donald Castellucci,"('Don Barber', 'Dan Lindsay')","('George Williams', 'Jeff Joseph')"
James Douglas,"('George Williams', 'Connie Kulze')",Nicole Gwardyak,Attorney Schrader,"('Don Barber', 'Jeremy Wheeler')","('George Williams', 'William Kulze')"
Robert Riggs,"('Joseph Bish', 'Kevin Noble')",Richard Lasky,Gary Whitmore,"('Don Barber', 'Chris Brown')","('George Williams', 'Brad Woodburn')"
Brad Robinson,"('Joseph Bish', 'Loretta Sullivan')",Jim Douglas,William Strosahl,"('Don Barber', 'Nicole Gwardyak')","('George Williams', 'Joseph Bish')"
Joseph Bish,"('Loretta Sullivan', 'Milton Dougherty')",Don Boyce,John Baust,"('Don Barber', 'Richard Lasky')","('George Williams', 'James Douglas')"
Kevin Noble,"('Loretta Sullivan', 'Robert Riggs')",Terry Engelder,Lois Dilworth,"('Don Barber', 'Jim Douglas')","('George Williams', 'Dan Lindsay')"
Arthur Cacciola,"('Joseph Bish', 'Arthur Cacciola')",Robert Williams,,"('Don Barber', 'Loretta Sullivan')","('George Williams', 'Florence Alpert')"
Loretta Sullivan,"('Milton Dougherty', 'Debralyn Muscato')",Jamal Diboun,,"('Don Barber', 'Don Boyce')","('George Williams', 'David Paterson')"
Sue Heavenrich,"('Randy Murray', 'Debralyn Muscato')",Brett Chedzoy,,"('Don Barber', 'Terry Engelder')","('George Williams', 'Darlene Cobler')"
,"('Christine Curkendall', 'Brad Robinson')",Kurt Schrader,,"('Don Barber', 'Arthur Cacciola')","('George Williams', 'Donald Castellucci')"
,"('Connie Kulze', 'Robert Riggs')",Bill Leonard,,"('Don Barber', 'Robert Williams')","('George Williams', 'Attorney Schrader')"
,"('Joseph Bish', 'Debralyn Muscato')",Robert Salvato,,"('Don Barber', 'Jamal Diboun')","('George Williams', 'Kevin Noble')"
,"('Florence Alpert', 'Darlene Cobler')",Alice Irons,,"('Don Barber', 'Brett Chedzoy')","('George Williams', 'Gary Whitmore')"
,"('Florence Alpert', 'Kevin Noble')",Peter Pappas,,"('Don Barber', 'Kurt Schrader')","('George Williams', 'Loretta Sullivan')"
,"('Christine Curkendall', 'Florence Alpert')",Susannah Reese,,"('Don Barber', 'Christine Curkendall')","('George Williams', 'William Strosahl')"
,"('Dan Lindsay', 'Darlene Cobler')",Ron Keibel,,"('Don Barber', 'Bill Leonard')","('George Williams', 'John Baust')"
,"('Loretta Sullivan', 'Debralyn Muscato')",Eric Halstead,,"('Don Barber', 'Robert Salvato')","('George Williams', 'Debralyn Muscato')"
,"('Joseph Bish', 'James Douglas')",Ron McEwen,,"('Don Barber', 'Alice Irons')","('George Williams', 'Lois Dilworth')"
,"('Sue Heavenrich', 'Brad Robinson')",Gary Henry,,"('Don Barber', 'Peter Pappas')","('George Williams', 'Arthur Cacciola')"
,"('Joseph Bish', 'Sue Heavenrich')",Don Zaengle,,"('Don Barber', 'Susannah Reese')","('Gerald Hover', 'Milton Dougherty')"
,"('Florence Alpert', 'Brad Robinson')",Lois Dillworth,,"('Don Barber', 'Ron Keibel')","('Gerald Hover', 'Connie Kulze')"
,"('Dan Lindsay', 'Arthur Cacciola')",Tim Whitesell,,"('Don Barber', 'Eric Halstead')","('Gerald Hover', 'Christine Curkendall')"
,"('Darlene Cobler', 'Brad Robinson')",Dave Dibble,,"('Don Barber', 'Ron McEwen')","('Gerald Hover', 'Fred Martinez')"
,"('Dan Lindsay', 'Milton Dougherty')",Lynn Craig,,"('Don Barber', 'Gary Henry')","('Gerald Hover', 'Terry Collins')"
,"('Florence Alpert', 'Debralyn Muscato')",Bob Freeman,,"('Don Barber', 'Don Zaengle')","('Gerald Hover', 'Carrie Kerr')"
,"('Florence Alpert', 'Robert Riggs')",Jaqueline Beal,,"('Don Barber', 'Lois Dillworth')","('Gerald Hover', 'Will Oberbeck')"
,"('Joseph Bish', 'Milton Dougherty')",Ed Griffith,,"('Don Barber', 'Florence Alpert')","('Gerald Hover', 'Sandy Blinn')"
,"('Brad Robinson', 'Robert Riggs')",Bill Kulze,,"('Don Barber', 'Marchie Diffindorf')","('Gerald Hover', 'Randy Murray')"
,"('Randy Murray', 'Brad Robinson')",Mike Dannaher,,"('Don Barber', 'Dave Dibble')","('Gerald Hover', 'Robert Aman')"
,"('Joseph Bish', 'Darlene Cobler')",Ken Gordo,,"('Don Barber', 'Darlene Cobler')","('Gerald Hover', 'Jackie Beal')"
,"('Joseph Bish', 'Dan Lindsay')",David Weber,,"('Don Barber', 'Kevin Noble')","('Gerald Hover', 'Jeff Joseph')"
,"('Dan Lindsay', 'Loretta Sullivan')",Jeff Decker,,"('Don Barber', 'Lynn Craig')","('Gerald Hover', 'William Kulze')"
,"('James Douglas', 'Loretta Sullivan')",John Holko,,"('Don Barber', 'Bob Freeman')","('Gerald Hover', 'Brad Woodburn')"
,"('Fred Martinez', 'Robert Riggs')",Bob Aman,,"('Don Barber', 'Jaqueline Beal')","('Gerald Hover', 'Joseph Bish')"
,"('Christine Curkendall', 'Randy Murray')",Matt Crowe,,"('Don Barber', 'Ed Griffith')","('Gerald Hover', 'James Douglas')"
,"('Christine Curkendall', 'Milton Dougherty')",Dan Bish,,"('Don Barber', 'Bill Kulze')","('Gerald Hover', 'Sue Heavenrich')"
,"('Fred Martinez', 'Randy Murray')",Elaine Jardine,,"('Don Barber', 'Mike Dannaher')","('Gerald Hover', 'Dan Lindsay')"
,"('George Williams', 'Brad Robinson')",Brenda Boyce,,"('Don Barber', 'Milton Dougherty')","('Gerald Hover', 'Florence Alpert')"
,"('Florence Alpert', 'Milton Dougherty')",Mark Sorochinsky,,"('Don Barber', 'Ken Gordo')","('Gerald Hover', 'David Paterson')"
,"('Joseph Bish', 'Brad Robinson')",Doug Barton,,"('Don Barber', 'David Weber')","('Gerald Hover', 'Darlene Cobler')"
,"('Dan Lindsay', 'Brad Robinson')",Eric Gartenman,,"('Don Barber', 'Jeff Decker')","('Gerald Hover', 'Donald Castellucci')"
,"('Darlene Cobler', 'Kevin Noble')",Martha Goodsell,,"('Don Barber', 'John Holko')","('Gerald Hover', 'Attorney Schrader')"
,"('Milton Dougherty', 'Robert Riggs')",Doug McLinko,,"('Don Barber', 'Bob Aman')","('Gerald Hover', 'Brad Robinson')"
,"('Connie Kulze', 'Sue Heavenrich')",Dick VanScoy,,"('Don Barber', 'Matt Crowe')","('Gerald Hover', 'Kevin Noble')"
,"('Christine Curkendall', 'Robert Riggs')",Gary Lash,,"('Don Barber', 'Dan Bish')","('Gerald Hover', 'Gary Whitmore')"
,"('George Williams', 'Sue Heavenrich')",Dan Fitzsimmons,,"('Don Barber', 'Fred Martinez')","('Gerald Hover', 'Loretta Sullivan')"
,"('Darlene Cobler', 'Milton Dougherty')",Jackie Root,,"('Don Barber', 'Elaine Jardine')","('Gerald Hover', 'William Strosahl')"
,"('James Douglas', 'Brad Robinson')",Chris Denton,,"('Don Barber', 'Randy Murray')","('Gerald Hover', 'John Baust')"
,"('Joseph Bish', 'Florence Alpert')",Carrie Czebiniak,,"('Don Barber', 'Brenda Boyce')","('Gerald Hover', 'Robert Riggs')"
,"('Dan Lindsay', 'Kevin Noble')",Coulter Heavenrich,,"('Don Barber', 'Mark Sorochinsky')","('Gerald Hover', 'Debralyn Muscato')"
,"('Kevin Noble', 'Milton Dougherty')",Ashur Terwilliger,,"('Don Barber', 'Doug Barton')","('Gerald Hover', 'Lois Dilworth')"
,"('Fred Martinez', 'Debralyn Muscato')",Wayne Wells,,"('Don Barber', 'Debralyn Muscato')","('Gerald Hover', 'Arthur Cacciola')"
,"('Darlene Cobler', 'Robert Riggs')",Kevin Burns,,"('Don Barber', 'Eric Gartenman')","('Connie Kulze', 'Christine Curkendall')"
,"('Randy Murray', 'Robert Riggs')",Jim Worden,,"('Don Barber', 'Martha Goodsell')","('Connie Kulze', 'Fred Martinez')"
,"('Connie Kulze', 'Brad Robinson')",Karl Gesslein,,"('Don Barber', 'Doug McLinko')","('Connie Kulze', 'Carrie Kerr')"
,"('Christine Curkendall', 'Darlene Cobler')",Frank Cook,,"('Don Barber', 'Dick VanScoy')","('Connie Kulze', 'Will Oberbeck')"
,"('James Douglas', 'Kevin Noble')",Marchie Diffindorf,,"('Don Barber', 'George Williams')","('Connie Kulze', 'Sandy Blinn')"
,"('Christine Curkendall', 'Terry Collins')",Darrick Evensen,,"('Don Barber', 'Connie Kulze')","('Connie Kulze', 'Randy Murray')"
,"('Fred Martinez', 'Terry Collins')",Ken Strickland,,"('Don Barber', 'Gary Lash')","('Connie Kulze', 'Robert Aman')"
,"('Dan Lindsay', 'Robert Riggs')",Steve Szczepanski,,"('Don Barber', 'Dan Fitzsimmons')","('Connie Kulze', 'Jackie Beal')"
,"('Dan Lindsay', 'Florence Alpert')",,,"('Don Barber', 'Jackie Root')","('Connie Kulze', 'Jeff Joseph')"
,"('James Douglas', 'Robert Riggs')",,,"('Don Barber', 'Chris Denton')","('Connie Kulze', 'William Kulze')"
,"('James Douglas', 'Dan Lindsay')",,,"('Don Barber', 'Carrie Czebiniak')","('Connie Kulze', 'Brad Woodburn')"
,"('Christine Curkendall', 'Kevin Noble')",,,"('Don Barber', 'Coulter Heavenrich')","('Connie Kulze', 'Joseph Bish')"
,"('Christine Curkendall', 'Debralyn Muscato')",,,"('Don Barber', 'Ashur Terwilliger')","('Connie Kulze', 'James Douglas')"
,"('Christine Curkendall', 'Sue Heavenrich')",,,"('Don Barber', 'Wayne Wells')","('Connie Kulze', 'Dan Lindsay')"
,"('James Douglas', 'Milton Dougherty')",,,"('Don Barber', 'Kevin Burns')","('Connie Kulze', 'Florence Alpert')"
,"('Fred Martinez', 'Sue Heavenrich')",,,"('Don Barber', 'Jim Worden')","('Connie Kulze', 'David Paterson')"
,"('Randy Murray', 'Sue Heavenrich')",,,"('Don Barber', 'Karl Gesslein')","('Connie Kulze', 'Darlene Cobler')"
,"('James Douglas', 'Arthur Cacciola')",,,"('Don Barber', 'Frank Cook')","('Connie Kulze', 'Donald Castellucci')"
,"('James Douglas', 'Darlene Cobler')",,,"('Don Barber', 'Sue Heavenrich')","('Connie Kulze', 'Attorney Schrader')"
,"('Darlene Cobler', 'Debralyn Muscato')",,,"('Don Barber', 'Tim Whitesell')","('Connie Kulze', 'Kevin Noble')"
,"('George Williams', 'Robert Riggs')",,,"('Don Barber', 'Brad Robinson')","('Connie Kulze', 'Gary Whitmore')"
,"('Joseph Bish', 'Robert Riggs')",,,"('Don Barber', 'Darrick Evensen')","('Connie Kulze', 'Loretta Sullivan')"
,"('Kevin Noble', 'Robert Riggs')",,,"('Don Barber', 'Ken Strickland')","('Connie Kulze', 'Milton Dougherty')"
,,,,"('Don Barber', 'Steve Szczepanski')","('Connie Kulze', 'William Strosahl')"
,,,,"('Don Barber', 'Robert Riggs')","('Connie Kulze', 'John Baust')"
,,,,"('Don Barber', 'Terry Collins')","('Connie Kulze', 'Debralyn Muscato')"
,,,,"('Rachel Treichler', 'Jeffery Jacquet')","('Connie Kulze', 'Lois Dilworth')"
,,,,"('Rachel Treichler', 'David Slottje')","('Connie Kulze', 'Arthur Cacciola')"
,,,,"('Rachel Treichler', 'Judy Quigley')","('Christine Curkendall', 'Carrie Kerr')"
,,,,"('Rachel Treichler', 'Helen Slottje')","('Christine Curkendall', 'Will Oberbeck')"
,,,,"('Rachel Treichler', 'Tom Libous')","('Christine Curkendall', 'Sandy Blinn')"
,,,,"('Rachel Treichler', 'Nick Schoonover')","('Christine Curkendall', 'Robert Aman')"
,,,,"('Rachel Treichler', 'Joseph Bish')","('Christine Curkendall', 'Jackie Beal')"
,,,,"('Rachel Treichler', 'James Douglas')","('Christine Curkendall', 'Jeff Joseph')"
,,,,"('Rachel Treichler', 'Aaron Gowan')","('Christine Curkendall', 'William Kulze')"
,,,,"('Rachel Treichler', 'Dan Lindsay')","('Christine Curkendall', 'Brad Woodburn')"
,,,,"('Rachel Treichler', 'Jeremy Wheeler')","('Christine Curkendall', 'Joseph Bish')"
,,,,"('Rachel Treichler', 'Chris Brown')","('Christine Curkendall', 'James Douglas')"
,,,,"('Rachel Treichler', 'Nicole Gwardyak')","('Christine Curkendall', 'Dan Lindsay')"
,,,,"('Rachel Treichler', 'Richard Lasky')","('Christine Curkendall', 'David Paterson')"
,,,,"('Rachel Treichler', 'Jim Douglas')","('Christine Curkendall', 'Donald Castellucci')"
,,,,"('Rachel Treichler', 'Loretta Sullivan')","('Christine Curkendall', 'Attorney Schrader')"
,,,,"('Rachel Treichler', 'Don Boyce')","('Christine Curkendall', 'Gary Whitmore')"
,,,,"('Rachel Treichler', 'Terry Engelder')","('Christine Curkendall', 'Loretta Sullivan')"
,,,,"('Rachel Treichler', 'Arthur Cacciola')","('Christine Curkendall', 'William Strosahl')"
,,,,"('Rachel Treichler', 'Robert Williams')","('Christine Curkendall', 'John Baust')"
,,,,"('Rachel Treichler', 'Jamal Diboun')","('Christine Curkendall', 'Lois Dilworth')"
,,,,"('Rachel Treichler', 'Brett Chedzoy')","('Christine Curkendall', 'Arthur Cacciola')"
,,,,"('Rachel Treichler', 'Kurt Schrader')","('Fred Martinez', 'Carrie Kerr')"
,,,,"('Rachel Treichler', 'Christine Curkendall')","('Fred Martinez', 'Will Oberbeck')"
,,,,"('Rachel Treichler', 'Bill Leonard')","('Fred Martinez', 'Sandy Blinn')"
,,,,"('Rachel Treichler', 'Robert Salvato')","('Fred Martinez', 'Robert Aman')"
,,,,"('Rachel Treichler', 'Alice Irons')","('Fred Martinez', 'Jackie Beal')"
