Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Brayton Foster,"('Peter Arena', 'Richard Rose')",Carol French,Rumsey,"('Carol French', 'Don Barber')","('Maryann Vellake', 'Roxanne Gupta')"
Maryann Vellake,"('Gary Hunt', 'Anthony Ingraffea')",Hilary Gifford,Valerie Bassett,"('Carol French', 'Hilary Gifford')","('Maryann Vellake', 'Eric Ott')"
Duane Waid,"('Patrick Morrell', 'Richard Rose')",Don Barber,Lee Davidson,"('Carol French', 'Roxanne Gupta')","('Maryann Vellake', 'Emily Aman')"
Roxanne Gupta,"('Linda Blossom', 'Duane Waid')",Joseph Heath,Colleen Freese,"('Carol French', 'Eric Ott')","('Maryann Vellake', 'Patrick Morrell')"
Eric Ott,"('Eric Ott', 'Patrick Morrell')",Leon Anders,Stephen Selover,"('Carol French', 'Maryann Vellake')","('Maryann Vellake', 'Gary Hunt')"
Bruce Austic,"('Roxanne Gupta', 'Michael Reynolds')",Rob Schoeffel,John Swanson,"('Carol French', 'Emily Aman')","('Maryann Vellake', 'Rumsey')"
William Kappel,"('Brayton Foster', 'Charles Bosman')",Sean Dembrowsky,Judy Kugelamass,"('Carol French', 'Patrick Morrell')","('Maryann Vellake', 'Valerie Bassett')"
Emily Aman,"('Brayton Foster', 'Bruce Austic')",Jorden DePue,Robert Mc Gill JR,"('Carol French', 'Joseph Heath')","('Maryann Vellake', 'Lee Davidson')"
Patrick Morrell,"('Maryann Vellake', 'Peter Arena')",Daniel Dembrosky,Carrie Halcomb,"('Carol French', 'Leon Anders')","('Maryann Vellake', 'Colleen Freese')"
Barry Ford,"('Peter Arena', 'Duane Waid')",Holly Bailey,Donald Austin,"('Carol French', 'Gary Hunt')","('Maryann Vellake', 'Stephen Selover')"
Mariah Plumlee,"('Patrick Morrell', 'Anthony Ingraffea')",Judy Kugelmass,Jeffrey MacCheyne,"('Carol French', 'Noelle Dembrosky')","('Maryann Vellake', 'John Swanson')"
Richard Rose,"('Roxanne Gupta', 'Linda Blossom')",Carolyn Knapp,Don Kenyon,"('Carol French', 'Rob Schoeffel')","('Maryann Vellake', 'Judy Kugelamass')"
Gary Hunt,"('Patrick Morrell', 'William Kappel')",Noelle Dembrosky,Margaret Jastran,"('Carol French', 'Sean Dembrosky')","('Maryann Vellake', 'Robert Mc Gill JR')"
Sean Dembrosky,"('Brayton Foster', 'Richard Rose')",Carrie Holcomb,Larry Abraham,"('Carol French', 'Brayton Foster')","('Maryann Vellake', 'Carrie Halcomb')"
