Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Steve Born,"('Steve Born', 'Michael Willis')",Jason Ballard,Chris Everet,"('Jason Ballard', 'Jeff Heller')","('Chris Everet', 'Ray Acomb')"
John Vogel,"('Ken Rauber', 'Michael Willis')",Peter Gamba,Thomas Hager,"('Jason Ballard', 'Peter Gamba')","('Chris Everet', 'Laura Stiggins')"
Ken Rauber,"('John Vogel', 'Michael Willis')",Brad Gill,Dan Hartwell,"('Jason Ballard', 'Brad Gill')","('Chris Everet', 'Cheryl A Coombes')"
Michael Willis,"('John Vogel', 'Steve Born')",John Holko,Briggs,"('Jason Ballard', 'John Holko')","('Chris Everet', 'Carol Robinson')"
Ray Acomb,"('Ray Acomb', 'Steve Born')",Emily DeSantis,Nancy Moir,"('Jason Ballard', 'Emily DeSantis')","('Chris Everet', 'Adams')"
,"('Ray Acomb', 'Ken Rauber')",Janet Stone,Gene Jackson,"('Jason Ballard', 'Janet Stone')","('Chris Everet', 'Priscilla Rowe How')"
,"('Ken Rauber', 'John Vogel')",Jeff Heller,Ellen Gendreau,"('Jason Ballard', 'Joe Martens')","('Chris Everet', 'Gene Jackson')"
,"('Ray Acomb', 'John Vogel')",James Johnson,Priscilla Rowe How,"('Jason Ballard', 'James Johnson')","('Chris Everet', 'Ellen Gendreau')"
,"('Ken Rauber', 'Steve Born')",Joyce Hunt,Cheryl A Coombes,"('Jason Ballard', 'Joyce Hunt')","('Chris Everet', 'Emo')"
,"('Ray Acomb', 'Michael Willis')",David Slottje,Carol Robinson,"('Jason Ballard', 'David Slottje')","('Chris Everet', 'Mike Holler')"
,,Robert Sweeney,Adams,"('Jason Ballard', 'Robert Sweeney')","('Chris Everet', 'John Vogel')"
,,John Falci,Emo,"('Jason Ballard', 'Ray Acomb')","('Chris Everet', 'Nancy Moir')"
,,Emily Wurth,Robert Mahany Jr,"('Jason Ballard', 'John Falci')","('Chris Everet', 'Grasby')"
,,Tom Santulli,Grasby,"('Jason Ballard', 'Emily Wurth')","('Chris Everet', 'Dan Hartwell')"
,,Carter Strickland,Laura Stiggins,"('Jason Ballard', 'Tom Santulli')","('Chris Everet', 'Ken Rauber')"
,,Michael Holler,Mike Holler,"('Jason Ballard', 'Carter Strickland')","('Chris Everet', 'Briggs')"
,,Linda Knowles,Jeff Holler,"('Jason Ballard', 'Michael Holler')","('Chris Everet', 'Robert Mahany Jr')"
,,Katherine Nadeau,,"('Jason Ballard', 'Linda Knowles')","('Chris Everet', 'Steve Born')"
,,Paul Sick,,"('Jason Ballard', 'Katherine Nadeau')","('Chris Everet', 'Jeff Holler')"
,,Jeff Andrysick,,"('Jason Ballard', 'Paul Sick')","('Chris Everet', 'Thomas Hager')"
,,Neil Vitale,,"('Jason Ballard', 'Jeff Andrysick')","('Chris Everet', 'Michael Willis')"
,,Kate Bartholomew,,"('Jason Ballard', 'Neil Vitale')","('Thomas Hager', 'Ray Acomb')"
,,Bill Dominikoski,,"('Jason Ballard', 'Kate Bartholomew')","('Thomas Hager', 'Laura Stiggins')"
,,Ken Isaman,,"('Jason Ballard', 'Bill Dominikoski')","('Thomas Hager', 'Cheryl A Coombes')"
,,Ed Blume,,"('Jason Ballard', 'Ken Isaman')","('Thomas Hager', 'Carol Robinson')"
,,Joe Sempolinski,,"('Jason Ballard', 'Ed Blume')","('Thomas Hager', 'Adams')"
,,Joe Duffy,,"('Jason Ballard', 'Joe Sempolinski')","('Thomas Hager', 'Priscilla Rowe How')"
,,Jamie Carestio,,"('Jason Ballard', 'Joe Duffy')","('Thomas Hager', 'Ellen Gendreau')"
,,Joe Martens,,"('Jason Ballard', 'Jamie Carestio')","('Thomas Hager', 'Emo')"
,,Ivan Davis,,"('Jason Ballard', 'Ken Rauber')","('Thomas Hager', 'Mike Holler')"
,,Joe Hoff,,"('Jason Ballard', 'Ivan Davis')","('Thomas Hager', 'John Vogel')"
,,Robert Nichols,,"('Jason Ballard', 'Joe Hoff')","('Thomas Hager', 'Gene Jackson')"
,,Mike Edwards,,"('Jason Ballard', 'Robert Nichols')","('Thomas Hager', 'Grasby')"
,,Ben Wunder,,"('Jason Ballard', 'Mike Edwards')","('Thomas Hager', 'Dan Hartwell')"
,,Tony Ingraffea,,"('Jason Ballard', 'Ben Wunder')","('Thomas Hager', 'Ken Rauber')"
,,Ron Harmon,,"('Jason Ballard', 'John Vogel')","('Thomas Hager', 'Briggs')"
,,Bob Thompson,,"('Jason Ballard', 'Tony Ingraffea')","('Thomas Hager', 'Robert Mahany Jr')"
,,Jodi Andrysick,,"('Jason Ballard', 'Ron Harmon')","('Thomas Hager', 'Steve Born')"
,,Michael Joy,,"('Jason Ballard', 'Bob Thompson')","('Thomas Hager', 'Jeff Holler')"
,,Jane Russell,,"('Jason Ballard', 'Jodi Andrysick')","('Thomas Hager', 'Nancy Moir')"
,,Craig Stevens,,"('Jason Ballard', 'Michael Joy')","('Thomas Hager', 'Michael Willis')"
,,James Seward,,"('Jason Ballard', 'Steve Born')","('Dan Hartwell', 'Ray Acomb')"
,,Penny Lawrence,,"('Jason Ballard', 'Jane Russell')","('Dan Hartwell', 'Laura Stiggins')"
,,,,"('Jason Ballard', 'Craig Stevens')","('Dan Hartwell', 'Cheryl A Coombes')"
,,,,"('Jason Ballard', 'James Seward')","('Dan Hartwell', 'Carol Robinson')"
,,,,"('Jason Ballard', 'Penny Lawrence')","('Dan Hartwell', 'Adams')"
,,,,"('Jason Ballard', 'Michael Willis')","('Dan Hartwell', 'Priscilla Rowe How')"
,,,,"('Peter Gamba', 'Brad Gill')","('Dan Hartwell', 'Ellen Gendreau')"
,,,,"('Peter Gamba', 'John Holko')","('Dan Hartwell', 'Emo')"
,,,,"('Peter Gamba', 'Emily DeSantis')","('Dan Hartwell', 'Mike Holler')"
,,,,"('Peter Gamba', 'Janet Stone')","('Dan Hartwell', 'John Vogel')"
,,,,"('Peter Gamba', 'Jeff Heller')","('Dan Hartwell', 'Gene Jackson')"
,,,,"('Peter Gamba', 'James Johnson')","('Dan Hartwell', 'Grasby')"
,,,,"('Peter Gamba', 'Joyce Hunt')","('Dan Hartwell', 'Ken Rauber')"
,,,,"('Peter Gamba', 'David Slottje')","('Dan Hartwell', 'Briggs')"
,,,,"('Peter Gamba', 'Robert Sweeney')","('Dan Hartwell', 'Robert Mahany Jr')"
,,,,"('Peter Gamba', 'Ray Acomb')","('Dan Hartwell', 'Steve Born')"
,,,,"('Peter Gamba', 'John Falci')","('Dan Hartwell', 'Jeff Holler')"
,,,,"('Peter Gamba', 'Emily Wurth')","('Dan Hartwell', 'Nancy Moir')"
,,,,"('Peter Gamba', 'Tom Santulli')","('Dan Hartwell', 'Michael Willis')"
,,,,"('Peter Gamba', 'Carter Strickland')","('Ray Acomb', 'Laura Stiggins')"
,,,,"('Peter Gamba', 'Michael Holler')","('Ray Acomb', 'Cheryl A Coombes')"
,,,,"('Peter Gamba', 'Linda Knowles')","('Ray Acomb', 'Carol Robinson')"
,,,,"('Peter Gamba', 'Katherine Nadeau')","('Ray Acomb', 'Adams')"
,,,,"('Peter Gamba', 'Paul Sick')","('Ray Acomb', 'Priscilla Rowe How')"
,,,,"('Peter Gamba', 'Jeff Andrysick')","('Ray Acomb', 'Ellen Gendreau')"
,,,,"('Peter Gamba', 'Neil Vitale')","('Ray Acomb', 'Emo')"
,,,,"('Peter Gamba', 'Kate Bartholomew')","('Ray Acomb', 'Mike Holler')"
,,,,"('Peter Gamba', 'Bill Dominikoski')","('Ray Acomb', 'Gene Jackson')"
,,,,"('Peter Gamba', 'Ken Isaman')","('Ray Acomb', 'Grasby')"
,,,,"('Peter Gamba', 'Ed Blume')","('Ray Acomb', 'Briggs')"
,,,,"('Peter Gamba', 'Joe Sempolinski')","('Ray Acomb', 'Robert Mahany Jr')"
,,,,"('Peter Gamba', 'Joe Duffy')","('Ray Acomb', 'Jeff Holler')"
