Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Marie McRae,"('Judith Pierpont', 'Marie McRae')",Don Barber,Joseph Osmelowski,"('Don Barber', 'Cathy Calhoun')","('Joseph Osmelowski', 'Alan Dedrick')"
Nancy Miller,"('Mike Lane', 'Deborah Dennis')",Cathy Calhoun,Alan Dedrick,"('Don Barber', 'Matthew Ryan')","('Joseph Osmelowski', 'Ken Schlather')"
Joe Wilson,"('Peter Quinn Jacobs', 'Joann Dennis')",Matthew Ryan,Ken Schlather,"('Don Barber', 'Nancy Munkenbeck')","('Joseph Osmelowski', 'David Slottje')"
Martha Fischer,"('Martha Wilson', 'Deborah Dennis')",Nancy Munkenbeck,Greg Heist,"('Don Barber', 'Mike Atchie')","('Joseph Osmelowski', 'Greg Heist')"
Jason Leifer,"('Mike Lane', 'Joann Dennis')",Mike Atchie,Debbi Savino,"('Don Barber', 'Joe Heath')","('Joseph Osmelowski', 'Todd Bittner')"
Henry Kramer,"('Martha Robertson', 'Sarah Wraight')",Joe Heath,Treva Levine,"('Don Barber', 'David Slottje')","('Joseph Osmelowski', 'Debbi Savino')"
Judith Pierpont,"('Henry Slater', 'Evan Carpenter')",Jeremy Brooks,Gregory Sloan,"('Don Barber', 'Todd Bittner')","('Joseph Osmelowski', 'Treva Levine')"
Martha Ferger,"('Bambi Avery', 'Mahlon Perkins')",Donald Cerio,Ron Beck,"('Don Barber', 'Jeremy Brooks')","('Joseph Osmelowski', 'Judith Pierpont')"
Martha Wilson,"('Steve Foote', 'Martha Wilson')",Jason Solomon,Craig Schutt,"('Don Barber', 'Donald Cerio')","('Joseph Osmelowski', 'Gregory Sloan')"
Steve Foote,"('Peter Davies', 'David Makar')",Jimmie Joe Carl,Olivia Hall,"('Don Barber', 'Judith Pierpont')","('Joseph Osmelowski', 'Ron Beck')"
Dan Kwasnowski,"('Martha Ferger', 'Henry Kramer')",Tom Reed,Jack Dahl,"('Don Barber', 'Jason Solomon')","('Joseph Osmelowski', 'Craig Schutt')"
Bambi Avery,"('Todd Bittner', 'Charlie Hatfield')",Judith Smythe,Dean Russa,"('Don Barber', 'Jimmie Joe Carl')","('Joseph Osmelowski', 'Dan Kwasnowski')"
Martha Robertson,"('Bruno Schickel', 'Henry Kramer')",Carol Chock,Catherine Wagner,"('Don Barber', 'Tom Reed')","('Joseph Osmelowski', 'Bambi Avery')"
John Burger,"('Jason Leifer', 'David Makar')",Pat Pryor,Janet Shay,"('Don Barber', 'Judith Smythe')","('Joseph Osmelowski', 'Olivia Hall')"
Linda Levine,"('Steve Foote', 'Jacques Schickel')",Ron Szymanski,Holly Payne,"('Don Barber', 'Carol Chock')","('Joseph Osmelowski', 'Martha Robertson')"
Bruno Schickel,"('Todd Bittner', 'Nancy Miller')",Kathy Russell,Zorike Henderson,"('Don Barber', 'Steve Foote')","('Joseph Osmelowski', 'Jack Dahl')"
David Makar,"('Dan Kwasnowski', 'Jacques Schickel')",Shellie Northrop,Becca Harper,"('Don Barber', 'Dan Kwasnowski')","('Joseph Osmelowski', 'Dean Russa')"
Joann Dennis,"('Martha Robertson', 'Helen Slottje')",Maryann Sumner,Tonya Engst,"('Don Barber', 'Bambi Avery')","('Joseph Osmelowski', 'Catherine Wagner')"
Peter Davies,"('Steve Foote', 'Henry Slater')",Adam Law,Dan Mittler,"('Don Barber', 'Pat Pryor')","('Joseph Osmelowski', 'Janet Shay')"
Jim Crawford,"('Jason Leifer', 'Henry Kramer')",Ginny Stairs,Norman Vrana,"('Don Barber', 'Martha Robertson')","('Joseph Osmelowski', 'Peter Davies')"
Peter Quinn Jacobs,"('Martha Robertson', 'Jacques Schickel')",Ben Haith,Diane Kimmich,"('Don Barber', 'Ron Szymanski')","('Joseph Osmelowski', 'Holly Payne')"
