Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Ann Rider,"('Roy Barriere', 'Scott Kurkoski')",Don Barber,Beth McGee,"('Ann Rider', 'Lori Severino')","('Beth McGee', 'Ron Clark')"
Roy Barriere,"('Donald Siegel', 'Guy Krogh')",Brad Gill,Marnie Kirchgessner,"('Ann Rider', 'Don Barber')","('Beth McGee', 'Marnie Kirchgessner')"
Frank Podufalski,"('Roy Barriere', 'Chris Martelli')",Jean Leccese,Phil White,"('Ann Rider', 'Ron Clark')","('Beth McGee', 'Phil White')"
Ron Clark,"('George Frantz', 'Roy Barriere')",James Varricchio,Jeff Luoma,"('Ann Rider', 'Brad Gill')","('Beth McGee', 'Judy Hyman')"
Jean Owens,"('Ron Clark', 'Guy Krogh')",David Slottje,Torri Bennington,"('Ann Rider', 'Jean Leccese')","('Beth McGee', 'Jeff Luoma')"
Ed Marx,"('Barry Rollins', 'Chris Martelli')",Josh Dolan,Debbie Baskerville,"('Ann Rider', 'Donald Siegel')","('Beth McGee', 'Torri Bennington')"
Chris Martelli,"('George Frantz', 'Guy Krogh')",John Schwartz,Robert Griffin,"('Ann Rider', 'James Varricchio')","('Beth McGee', 'Debbie Baskerville')"
Donald Siegel,"('Ann Rider', 'Roy Barriere')",Alice Linton,Barbara Coman,"('Ann Rider', 'Judy Hyman')","('Beth McGee', 'Robert Griffin')"
Debbie Teeter,"('Donald Siegel', 'Debbie Teeter')",Sandra Steingraber,Dan Flerlage,"('Ann Rider', 'David Slottje')","('Beth McGee', 'Barbara Coman')"
Kai Haskins,"('Ron Clark', 'Jean Owens')",Ezra Sherman,Jeannie Wright,"('Ann Rider', 'Josh Dolan')","('Beth McGee', 'Dan Flerlage')"
Tony Ingraffea,"('Ann Rider', 'Guy Krogh')",Katie Borgella,Kristin Lovelace Ross,"('Ann Rider', 'George Frantz')","('Beth McGee', 'Jeannie Wright')"
Judy Hyman,"('Donald Siegel', 'Ed Marx')",Ken Zeserson,Vera Howe Straight,"('Ann Rider', 'John Schwartz')","('Beth McGee', 'Kristin Lovelace Ross')"
Guy Krogh,"('George Frantz', 'Dave Bock')",Thor Oeschner,Joseph Prusch,"('Ann Rider', 'Nancy Spero')","('Beth McGee', 'Vera Howe Straight')"
Herb Masser,"('Donald Siegel', 'Herb Masser')",Ed Hooks,Alfred Eddy,"('Ann Rider', 'Alice Linton')","('Beth McGee', 'Joseph Prusch')"
Scott Kurkoski,"('Judy Hyman', 'Roy Barriere')",Gerhardt Achilles,Mike Carpenter,"('Ann Rider', 'Sandra Steingraber')","('Beth McGee', 'Alfred Eddy')"
George Frantz,"('Judy Hyman', 'Debbie Teeter')",Vera Strait,Ron Riddle,"('Ann Rider', 'Ezra Sherman')","('Beth McGee', 'Mike Carpenter')"
Chris Hern,"('Nancy Spero', 'Barry Rollins')",Barbara Lifton,Slottje,"('Ann Rider', 'Katie Borgella')","('Beth McGee', 'Jean Owens')"
Barry Rollins,"('Ann Rider', 'Chris Hern')",Jerry Achilles,Tom Sieling,"('Ann Rider', 'Ken Zeserson')","('Beth McGee', 'Ron Riddle')"
Nancy Spero,"('Frank Podufalski', 'Guy Krogh')",Lori Severino,Dustin Gideon,"('Ann Rider', 'Ed Hooks')","('Beth McGee', 'Slottje')"
Dave Bock,"('Roy Barriere', 'Barry Rollins')",Richard Driscoll,David Gould,"('Ann Rider', 'Dave Bock')","('Beth McGee', 'Tom Sieling')"
,"('Ron Clark', 'Scott Kurkoski')",Roy Lackner,Liz Falk,"('Ann Rider', 'Gerhardt Achilles')","('Beth McGee', 'Dustin Gideon')"
,"('Jean Owens', 'Tony Ingraffea')",Joanne James,Hannah Utter,"('Ann Rider', 'Vera Strait')","('Beth McGee', 'Frank Podufalski')"
,"('Ed Marx', 'Herb Masser')",Tina Hodges,Rob Sullivan,"('Ann Rider', 'Barbara Lifton')","('Beth McGee', 'Tony Ingraffea')"
,"('Ann Rider', 'Ed Marx')",David Owens,Marie DeMott Grady,"('Ann Rider', 'Jerry Achilles')","('Beth McGee', 'David Gould')"
,"('George Frantz', 'Herb Masser')",Bruce Murray,Sheila Robideau,"('Ann Rider', 'Thor Oeschner')","('Beth McGee', 'Liz Falk')"
,"('Judy Hyman', 'Jean Owens')",Carolyn Paterson,Jenny Wurster,"('Ann Rider', 'Richard Driscoll')","('Beth McGee', 'Donald Siegel')"
,"('Donald Siegel', 'Barry Rollins')",Mike Lane,Margaret Bald,"('Ann Rider', 'Roy Lackner')","('Beth McGee', 'Hannah Utter')"
,"('Donald Siegel', 'George Frantz')",Michael Carpenter,Art Godin,"('Ann Rider', 'Joanne James')","('Beth McGee', 'George Frantz')"
,"('George Frantz', 'Ed Marx')",Dawn George,Nora Smith,"('Ann Rider', 'Tina Hodges')","('Beth McGee', 'Nancy Spero')"
,"('Ron Clark', 'Tony Ingraffea')",Autumn Stoscheck,Laurie Shaver,"('Ann Rider', 'David Owens')","('Beth McGee', 'Rob Sullivan')"
,"('Judy Hyman', 'Herb Masser')",Robert Lipari,Loratta Rooune,"('Ann Rider', 'Jean Owens')","('Beth McGee', 'Marie DeMott Grady')"
,"('Judy Hyman', 'Ed Marx')",Toni Albano,Marsha Sundman,"('Ann Rider', 'Bruce Murray')","('Beth McGee', 'Sheila Robideau')"
,"('Ron Clark', 'Roy Barriere')",Kristen Ross,Steve Messmer,"('Ann Rider', 'Carolyn Paterson')","('Beth McGee', 'Jenny Wurster')"
,"('Scott Kurkoski', 'Barry Rollins')",,Doug Treado,"('Ann Rider', 'Frank Podufalski')","('Beth McGee', 'Margaret Bald')"
,"('Ron Clark', 'Debbie Teeter')",,Rob Harvey,"('Ann Rider', 'Kai Haskins')","('Beth McGee', 'Art Godin')"
,"('George Frantz', 'Kai Haskins')",,Yvonne VandeMArk,"('Ann Rider', 'Mike Lane')","('Beth McGee', 'Nora Smith')"
,"('Dave Bock', 'Barry Rollins')",,Stephanie Haskins,"('Ann Rider', 'Michael Carpenter')","('Beth McGee', 'Laurie Shaver')"
,"('Judy Hyman', 'Chris Martelli')",,Risa Spokolsky,"('Ann Rider', 'Dawn George')","('Beth McGee', 'Loratta Rooune')"
,"('Nancy Spero', 'Guy Krogh')",,Micah Howell,"('Ann Rider', 'Autumn Stoscheck')","('Beth McGee', 'Dave Bock')"
,"('Chris Hern', 'Barry Rollins')",,Jon Gordon,"('Ann Rider', 'Robert Lipari')","('Beth McGee', 'Marsha Sundman')"
,"('Jean Owens', 'Guy Krogh')",,Paula Geary,"('Ann Rider', 'Toni Albano')","('Beth McGee', 'Steve Messmer')"
,"('Frank Podufalski', 'Kai Haskins')",,Gillie Waddington,"('Ann Rider', 'Tony Ingraffea')","('Beth McGee', 'Doug Treado')"
,"('Ron Clark', 'Ed Marx')",,Donna Halloran,"('Ann Rider', 'Kristen Ross')","('Beth McGee', 'Rob Harvey')"
,"('Nancy Spero', 'Dave Bock')",,Asa Redmond,"('Don Barber', 'Lori Severino')","('Beth McGee', 'Yvonne VandeMArk')"
,"('Nancy Spero', 'Kai Haskins')",,Jenny Walsh,"('Don Barber', 'Ron Clark')","('Beth McGee', 'Stephanie Haskins')"
,"('Ann Rider', 'Barry Rollins')",,Mary Jo Lovelace,"('Don Barber', 'Brad Gill')","('Beth McGee', 'Risa Spokolsky')"
,"('Donald Siegel', 'Chris Hern')",,Julie Schroeder,"('Don Barber', 'Jean Leccese')","('Beth McGee', 'Micah Howell')"
,"('Nancy Spero', 'Chris Hern')",,Christina Mead,"('Don Barber', 'Donald Siegel')","('Beth McGee', 'Jon Gordon')"
,"('George Frantz', 'Scott Kurkoski')",,Robert Hanks,"('Don Barber', 'James Varricchio')","('Beth McGee', 'Paula Geary')"
,"('Roy Barriere', 'Ed Marx')",,Jon Hubbell,"('Don Barber', 'Judy Hyman')","('Beth McGee', 'Gillie Waddington')"
,"('Ron Clark', 'Chris Martelli')",,Monica Daniel,"('Don Barber', 'David Slottje')","('Beth McGee', 'Donna Halloran')"
,"('Judy Hyman', 'Barry Rollins')",,Martha Fischer,"('Don Barber', 'Josh Dolan')","('Beth McGee', 'Kai Haskins')"
,"('Jean Owens', 'Frank Podufalski')",,Barb Place,"('Don Barber', 'George Frantz')","('Beth McGee', 'Asa Redmond')"
,"('Ron Clark', 'George Frantz')",,Beth Mieldbrecht,"('Don Barber', 'John Schwartz')","('Beth McGee', 'Jenny Walsh')"
,"('Jean Owens', 'Chris Martelli')",,Shelley Lovelace,"('Don Barber', 'Nancy Spero')","('Beth McGee', 'Mary Jo Lovelace')"
,"('George Frantz', 'Nancy Spero')",,Robert Hones,"('Don Barber', 'Alice Linton')","('Beth McGee', 'Ann Rider')"
,"('Kai Haskins', 'Chris Martelli')",,Kim Falstick,"('Don Barber', 'Sandra Steingraber')","('Beth McGee', 'Julie Schroeder')"
,"('Donald Siegel', 'Dave Bock')",,Karen Pinkus,"('Don Barber', 'Roy Barriere')","('Beth McGee', 'Christina Mead')"
,"('Judy Hyman', 'Dave Bock')",,Steve Goggin,"('Don Barber', 'Ezra Sherman')","('Beth McGee', 'Robert Hanks')"
,"('Ron Clark', 'Herb Masser')",,Lisa Trent,"('Don Barber', 'Katie Borgella')","('Beth McGee', 'Jon Hubbell')"
,"('Judy Hyman', 'Chris Hern')",,Darby Kiley,"('Don Barber', 'Ed Marx')","('Beth McGee', 'Monica Daniel')"
,"('Scott Kurkoski', 'Chris Martelli')",,Richard Ross,"('Don Barber', 'Ken Zeserson')","('Beth McGee', 'Martha Fischer')"
,"('Kai Haskins', 'Guy Krogh')",,Joseph Cresh,"('Don Barber', 'Debbie Teeter')","('Beth McGee', 'Roy Barriere')"
,"('Judy Hyman', 'George Frantz')",,Susan Robinson,"('Don Barber', 'Herb Masser')","('Beth McGee', 'Barb Place')"
,"('George Frantz', 'Chris Hern')",,Senator Seward,"('Don Barber', 'Scott Kurkoski')","('Beth McGee', 'Beth Mieldbrecht')"
,"('Donald Siegel', 'Chris Martelli')",,Martha Robertson,"('Don Barber', 'Ed Hooks')","('Beth McGee', 'Shelley Lovelace')"
,"('Jean Owens', 'Barry Rollins')",,Larry Boisvert,"('Don Barber', 'Chris Hern')","('Beth McGee', 'Robert Hones')"
,"('Chris Hern', 'Guy Krogh')",,Poney Carpenter,"('Don Barber', 'Dave Bock')","('Beth McGee', 'Kim Falstick')"
,"('Ann Rider', 'Chris Martelli')",,Laurie Roe,"('Don Barber', 'Gerhardt Achilles')","('Beth McGee', 'Scott Kurkoski')"
,"('Ron Clark', 'Nancy Spero')",,Roy Wollney,"('Don Barber', 'Vera Strait')","('Beth McGee', 'Chris Hern')"
,"('Nancy Spero', 'Scott Kurkoski')",,Henry Hansteen,"('Don Barber', 'Barbara Lifton')","('Beth McGee', 'Karen Pinkus')"
,"('Scott Kurkoski', 'Chris Hern')",,Karen Friedeborn,"('Don Barber', 'Jerry Achilles')","('Beth McGee', 'Steve Goggin')"
,"('George Frantz', 'Debbie Teeter')",,Cris McConkey,"('Don Barber', 'Thor Oeschner')","('Beth McGee', 'Lisa Trent')"
,"('Dave Bock', 'Kai Haskins')",,John Tavares,"('Don Barber', 'Richard Driscoll')","('Beth McGee', 'Darby Kiley')"
,"('Donald Siegel', 'Roy Barriere')",,Marcie Finlay,"('Don Barber', 'Roy Lackner')","('Beth McGee', 'Richard Ross')"
,"('Dave Bock', 'Chris Martelli')",,Tom Joyce,"('Don Barber', 'Joanne James')","('Beth McGee', 'Joseph Cresh')"
,"('Chris Hern', 'Chris Martelli')",,Lori Elrod,"('Don Barber', 'Tina Hodges')","('Beth McGee', 'Susan Robinson')"
,"('Roy Barriere', 'Chris Hern')",,Nancy Lorr,"('Don Barber', 'David Owens')","('Beth McGee', 'Guy Krogh')"
,"('Judy Hyman', 'Nancy Spero')",,Jim Dennis,"('Don Barber', 'Jean Owens')","('Beth McGee', 'Senator Seward')"
,"('Ron Clark', 'Dave Bock')",,Bonnie Griffin,"('Don Barber', 'Bruce Murray')","('Beth McGee', 'Martha Robertson')"
,"('George Frantz', 'Chris Martelli')",,Charlie Elrod,"('Don Barber', 'Barry Rollins')","('Beth McGee', 'Barry Rollins')"
,"('Ron Clark', 'Chris Hern')",,Joseph Pursch,"('Don Barber', 'Carolyn Paterson')","('Beth McGee', 'Larry Boisvert')"
,"('Ann Rider', 'Herb Masser')",,Stephanie Gaynor,"('Don Barber', 'Frank Podufalski')","('Beth McGee', 'Chris Martelli')"
,"('Ed Marx', 'Debbie Teeter')",,Steve Gabriel,"('Don Barber', 'Kai Haskins')","('Beth McGee', 'Poney Carpenter')"
,"('Nancy Spero', 'Chris Martelli')",,Carolyn McMaster,"('Don Barber', 'Mike Lane')","('Beth McGee', 'Laurie Roe')"
,"('Ann Rider', 'Debbie Teeter')",,LeRoy Wollney,"('Don Barber', 'Chris Martelli')","('Beth McGee', 'Roy Wollney')"
,"('Judy Hyman', 'Kai Haskins')",,Robert Lynch,"('Don Barber', 'Michael Carpenter')","('Beth McGee', 'Henry Hansteen')"
,"('Ron Clark', 'Barry Rollins')",,Barbara Sadovnic,"('Don Barber', 'Dawn George')","('Beth McGee', 'Karen Friedeborn')"
,"('Judy Hyman', 'Guy Krogh')",,Jim Macmillan,"('Don Barber', 'Autumn Stoscheck')","('Beth McGee', 'Cris McConkey')"
,"('Frank Podufalski', 'Chris Martelli')",,Nicole McGurk,"('Don Barber', 'Robert Lipari')","('Beth McGee', 'John Tavares')"
,"('Ann Rider', 'Scott Kurkoski')",,Dave McKenna,"('Don Barber', 'Guy Krogh')","('Beth McGee', 'Marcie Finlay')"
,"('Ron Clark', 'Donald Siegel')",,Joanna Green,"('Don Barber', 'Toni Albano')","('Beth McGee', 'Tom Joyce')"
,"('Judy Hyman', 'Frank Podufalski')",,Stephanie Redmond,"('Don Barber', 'Tony Ingraffea')","('Beth McGee', 'Lori Elrod')"
,"('Donald Siegel', 'Nancy Spero')",,Paul Carman,"('Don Barber', 'Kristen Ross')","('Beth McGee', 'Ed Marx')"
,"('Judy Hyman', 'Scott Kurkoski')",,David Corson,"('Ron Clark', 'Roy Lackner')","('Beth McGee', 'Debbie Teeter')"
,"('Nancy Spero', 'Roy Barriere')",,,"('Ron Clark', 'Brad Gill')","('Beth McGee', 'Nancy Lorr')"
,"('Ron Clark', 'Kai Haskins')",,,"('Ron Clark', 'Jean Leccese')","('Beth McGee', 'Jim Dennis')"
,"('Roy Barriere', 'Guy Krogh')",,,"('Ron Clark', 'James Varricchio')","('Beth McGee', 'Bonnie Griffin')"
,"('Judy Hyman', 'Tony Ingraffea')",,,"('Ron Clark', 'David Slottje')","('Beth McGee', 'Herb Masser')"
,"('Ron Clark', 'Judy Hyman')",,,"('Ron Clark', 'Josh Dolan')","('Beth McGee', 'Charlie Elrod')"
,"('George Frantz', 'Barry Rollins')",,,"('Ron Clark', 'John Schwartz')","('Beth McGee', 'Joseph Pursch')"
,"('Debbie Teeter', 'Herb Masser')",,,"('Ron Clark', 'Alice Linton')","('Beth McGee', 'Stephanie Gaynor')"
,"('Donald Siegel', 'Scott Kurkoski')",,,"('Ron Clark', 'Sandra Steingraber')","('Beth McGee', 'Steve Gabriel')"
,"('Jean Owens', 'Kai Haskins')",,,"('Ron Clark', 'Ezra Sherman')","('Beth McGee', 'Carolyn McMaster')"
,"('Ron Clark', 'Frank Podufalski')",,,"('Ron Clark', 'Katie Borgella')","('Beth McGee', 'LeRoy Wollney')"
,"('Roy Barriere', 'Herb Masser')",,,"('Ron Clark', 'Ken Zeserson')","('Beth McGee', 'Robert Lynch')"
,"('Nancy Spero', 'Herb Masser')",,,"('Ron Clark', 'Thor Oeschner')","('Beth McGee', 'Barbara Sadovnic')"
,"('Donald Siegel', 'Kai Haskins')",,,"('Ron Clark', 'Ed Hooks')","('Beth McGee', 'Jim Macmillan')"
,"('Nancy Spero', 'Ed Marx')",,,"('Ron Clark', 'Gerhardt Achilles')","('Beth McGee', 'Nicole McGurk')"
,"('Scott Kurkoski', 'Guy Krogh')",,,"('Ron Clark', 'Vera Strait')","('Beth McGee', 'Dave McKenna')"
,"('Roy Barriere', 'Debbie Teeter')",,,"('Ron Clark', 'Barbara Lifton')","('Beth McGee', 'Joanna Green')"
,"('Nancy Spero', 'Debbie Teeter')",,,"('Ron Clark', 'Jerry Achilles')","('Beth McGee', 'Stephanie Redmond')"
,"('Frank Podufalski', 'Tony Ingraffea')",,,"('Ron Clark', 'Lori Severino')","('Beth McGee', 'Paul Carman')"
,"('Dave Bock', 'Guy Krogh')",,,"('Ron Clark', 'Richard Driscoll')","('Beth McGee', 'David Corson')"
,,,,"('Ron Clark', 'Joanne James')","('Ron Clark', 'Marnie Kirchgessner')"
,,,,"('Ron Clark', 'Tina Hodges')","('Ron Clark', 'Phil White')"
,,,,"('Ron Clark', 'David Owens')","('Ron Clark', 'Jeff Luoma')"
,,,,"('Ron Clark', 'Bruce Murray')","('Ron Clark', 'Torri Bennington')"
,,,,"('Ron Clark', 'Carolyn Paterson')","('Ron Clark', 'Debbie Baskerville')"
,,,,"('Ron Clark', 'Mike Lane')","('Ron Clark', 'Robert Griffin')"
,,,,"('Ron Clark', 'Michael Carpenter')","('Ron Clark', 'Barbara Coman')"
,,,,"('Ron Clark', 'Dawn George')","('Ron Clark', 'Dan Flerlage')"
,,,,"('Ron Clark', 'Autumn Stoscheck')","('Ron Clark', 'Jeannie Wright')"
,,,,"('Ron Clark', 'Robert Lipari')","('Ron Clark', 'Kristin Lovelace Ross')"
,,,,"('Ron Clark', 'Toni Albano')","('Ron Clark', 'Vera Howe Straight')"
,,,,"('Ron Clark', 'Kristen Ross')","('Ron Clark', 'Joseph Prusch')"
,,,,"('Brad Gill', 'Jean Leccese')","('Ron Clark', 'Alfred Eddy')"
,,,,"('Brad Gill', 'Donald Siegel')","('Ron Clark', 'Mike Carpenter')"
,,,,"('Brad Gill', 'James Varricchio')","('Ron Clark', 'Ron Riddle')"
,,,,"('Brad Gill', 'Judy Hyman')","('Ron Clark', 'Slottje')"
,,,,"('Brad Gill', 'David Slottje')","('Ron Clark', 'Tom Sieling')"
,,,,"('Brad Gill', 'Josh Dolan')","('Ron Clark', 'Dustin Gideon')"
,,,,"('Brad Gill', 'George Frantz')","('Ron Clark', 'David Gould')"
,,,,"('Brad Gill', 'John Schwartz')","('Ron Clark', 'Liz Falk')"
,,,,"('Brad Gill', 'Nancy Spero')","('Ron Clark', 'Hannah Utter')"
,,,,"('Brad Gill', 'Alice Linton')","('Ron Clark', 'Rob Sullivan')"
,,,,"('Brad Gill', 'Sandra Steingraber')","('Ron Clark', 'Marie DeMott Grady')"
,,,,"('Brad Gill', 'Roy Barriere')","('Ron Clark', 'Sheila Robideau')"
,,,,"('Brad Gill', 'Ezra Sherman')","('Ron Clark', 'Jenny Wurster')"
,,,,"('Brad Gill', 'Katie Borgella')","('Ron Clark', 'Margaret Bald')"
,,,,"('Brad Gill', 'Ed Marx')","('Ron Clark', 'Art Godin')"
,,,,"('Brad Gill', 'Ken Zeserson')","('Ron Clark', 'Nora Smith')"
,,,,"('Brad Gill', 'Debbie Teeter')","('Ron Clark', 'Laurie Shaver')"
,,,,"('Brad Gill', 'Thor Oeschner')","('Ron Clark', 'Loratta Rooune')"
,,,,"('Brad Gill', 'Herb Masser')","('Ron Clark', 'Marsha Sundman')"
,,,,"('Brad Gill', 'Scott Kurkoski')","('Ron Clark', 'Steve Messmer')"
,,,,"('Brad Gill', 'Ed Hooks')","('Ron Clark', 'Doug Treado')"
,,,,"('Brad Gill', 'Chris Hern')","('Ron Clark', 'Rob Harvey')"
,,,,"('Brad Gill', 'Dave Bock')","('Ron Clark', 'Yvonne VandeMArk')"
,,,,"('Brad Gill', 'Gerhardt Achilles')","('Ron Clark', 'Stephanie Haskins')"
,,,,"('Brad Gill', 'Vera Strait')","('Ron Clark', 'Risa Spokolsky')"
