Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Alicia Terry,"('Deborah Kroll', 'Phillip Skowfoe')",Michelle Kennedy,Ted Werner,"('Shawn Smith', 'Michelle Kennedy')","('Ted Werner', 'Jim Barber')"
Shawn Smith,"('Alicia Terry', 'Phillip Skowfoe')",Karen Sullivan,Ruth Sternberg,"('Shawn Smith', 'Karen Sullivan')","('Ted Werner', 'James Heiser')"
Deborah Kroll,"('Shawn Smith', 'Phillip Skowfoe')",Bill Federice,Elizabeth Coons,"('Shawn Smith', 'Bill Federice')","('Ted Werner', 'Alan Knight')"
Phillip Skowfoe,"('Shawn Smith', 'Deborah Kroll')",Donald Lindberg,Kenneth Parkes,"('Shawn Smith', 'Donald Lindberg')","('Ted Werner', 'Lisa Zaccaglini')"
,"('Shawn Smith', 'Alicia Terry')",Nicole Dillingham,Elizabeth Rozier,"('Shawn Smith', 'Nicole Dillingham')","('Ted Werner', 'Frank Lacko')"
,,Carolyn Lewis,Joyce Paterson,"('Shawn Smith', 'Carolyn Lewis')","('Ted Werner', 'Patricia Watson')"
,,Greg Relic,Raynor Duncmobe,"('Shawn Smith', 'Greg Relic')","('Ted Werner', 'Darlene Novak')"
,,Betty Schwerd,James Heiser,"('Shawn Smith', 'Betty Schwerd')","('Ted Werner', 'Clare Driscoll')"
,,Larry Bradt,Tom Edmunds,"('Shawn Smith', 'Larry Bradt')","('Ted Werner', 'Gwen Arnold')"
,,Marti Stayton,Albert Wilson,"('Shawn Smith', 'Marti Stayton')","('Ted Werner', 'Joyce Edwards')"
,,Sandra Manko,Peggy Kennison,"('Shawn Smith', 'Sandra Manko')","('Ted Werner', 'John Esposito')"
,,Pauline Koren,Maryann Pietromonaco,"('Shawn Smith', 'Pauline Koren')","('Ted Werner', 'Dean Rhinehart')"
,,John Kent,Mary Louise Geiger,"('Shawn Smith', 'John Kent')","('Ted Werner', 'Neil Driscoll')"
,,Peter Galarneau,Neil Driscoll,"('Shawn Smith', 'Peter Galarneau')","('Ted Werner', 'Helen Bernard')"
,,Robert Singer,Renee Grabowski,"('Shawn Smith', 'Robert Singer')","('Ted Werner', 'Louise Maher Johnson')"
,,Adrian Kuzminski,Thomas Huntsman,"('Shawn Smith', 'Adrian Kuzminski')","('Ted Werner', 'Ruth Sternberg')"
