Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
,,Carl Paladino,Raymond Billica,"('Carl Paladino', 'Mark Grisanti')","('Raymond Billica', 'Richard Crawford')"
,,Thomas Mazur,Richard Crawford,"('Carl Paladino', 'Thomas Mazur')","('Raymond Billica', 'Mary Cooke')"
,,Sarah Buckley,Mary Cooke,"('Carl Paladino', 'Sarah Buckley')","('Raymond Billica', 'Peter McMahon')"
,,Dave Gahl,Peter McMahon,"('Carl Paladino', 'Dave Gahl')","('Raymond Billica', 'Susan Arg')"
,,Theodore Campas,John McCarthy,"('Carl Paladino', 'Theodore Campas')","('Raymond Billica', 'Gary Roesch')"
,,Mark Grisanti,Gary Roesch,"('Carl Paladino', 'Chris Weinert')","('Raymond Billica', 'John McCarthy')"
,,Chris Weinert,Susan Arg,"('Carl Paladino', 'P Fraser')","('Richard Crawford', 'Mary Cooke')"
,,P Fraser,,"('Carl Paladino', 'Barbara Miller Williams')","('Richard Crawford', 'Peter McMahon')"
,,Barbara Miller Williams,,"('Carl Paladino', 'Andrew Lanza')","('Richard Crawford', 'Susan Arg')"
,,Andrew Lanza,,"('Carl Paladino', 'Antoine Thompson')","('Richard Crawford', 'Gary Roesch')"
,,Antoine Thompson,,"('Carl Paladino', 'Mary Clark')","('Richard Crawford', 'John McCarthy')"
,,Mary Clark,,"('Carl Paladino', 'Kurt Felgemacher')","('Mary Cooke', 'Peter McMahon')"
,,Kurt Felgemacher,,"('Carl Paladino', 'Andrew Cuomo')","('Mary Cooke', 'Susan Arg')"
,,Andrew Cuomo,,"('Carl Paladino', 'Dean Skelos')","('Mary Cooke', 'Gary Roesch')"
,,Dean Skelos,,"('Carl Paladino', 'Earl Jann')","('Mary Cooke', 'John McCarthy')"
,,Earl Jann,,"('Carl Paladino', 'Kelly Vacco')","('Peter McMahon', 'Susan Arg')"
,,Kelly Vacco,,"('Carl Paladino', 'Sam Hoyt')","('Peter McMahon', 'Gary Roesch')"
,,Sam Hoyt,,"('Carl Paladino', 'Jeffrey Eberhard')","('Peter McMahon', 'John McCarthy')"
,,Jeffrey Eberhard,,"('Carl Paladino', 'David Trumpfheller')","('John McCarthy', 'Susan Arg')"
,,David Trumpfheller,,"('Carl Paladino', 'Daniel Kozub')","('John McCarthy', 'Gary Roesch')"
,,Daniel Kozub,,"('Carl Paladino', 'John O Donnell')","('Gary Roesch', 'Susan Arg')"
,,John O Donnell,,"('Carl Paladino', 'John Mills')",
,,John Mills,,"('Carl Paladino', 'John Sampson')",
,,John Sampson,,"('Carl Paladino', 'Betty Jean Grant')",
,,Betty Jean Grant,,"('Carl Paladino', 'Laura Lewis')",
,,Laura Lewis,,"('Thomas Mazur', 'Sarah Buckley')",
,,,,"('Thomas Mazur', 'Dave Gahl')",
,,,,"('Thomas Mazur', 'Theodore Campas')",
,,,,"('Thomas Mazur', 'Mark Grisanti')",
,,,,"('Thomas Mazur', 'Chris Weinert')",
,,,,"('Thomas Mazur', 'P Fraser')",
,,,,"('Thomas Mazur', 'Barbara Miller Williams')",
,,,,"('Thomas Mazur', 'Andrew Lanza')",
,,,,"('Thomas Mazur', 'Antoine Thompson')",
,,,,"('Thomas Mazur', 'Mary Clark')",
,,,,"('Thomas Mazur', 'Kurt Felgemacher')",
,,,,"('Thomas Mazur', 'Andrew Cuomo')",
,,,,"('Thomas Mazur', 'Dean Skelos')",
,,,,"('Thomas Mazur', 'Earl Jann')",
,,,,"('Thomas Mazur', 'Kelly Vacco')",
,,,,"('Thomas Mazur', 'Sam Hoyt')",
,,,,"('Thomas Mazur', 'Jeffrey Eberhard')",
,,,,"('Thomas Mazur', 'David Trumpfheller')",
,,,,"('Thomas Mazur', 'Daniel Kozub')",
,,,,"('Thomas Mazur', 'John O Donnell')",
,,,,"('Thomas Mazur', 'John Mills')",
,,,,"('Thomas Mazur', 'John Sampson')",
,,,,"('Thomas Mazur', 'Betty Jean Grant')",
,,,,"('Thomas Mazur', 'Laura Lewis')",
,,,,"('Sarah Buckley', 'Dave Gahl')",
,,,,"('Sarah Buckley', 'Theodore Campas')",
,,,,"('Sarah Buckley', 'Mark Grisanti')",
,,,,"('Sarah Buckley', 'Chris Weinert')",
,,,,"('Sarah Buckley', 'P Fraser')",
,,,,"('Sarah Buckley', 'Barbara Miller Williams')",
