Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Kevin Williams,"('Kevin Williams', 'Patrick Snyder')",Maryann Sumner,Stuart Young,"('Maryann Sumner', 'Kevin Williams')","('Stuart Young', 'Kevin Williams')"
Dan Weddle,"('Dan Weddle', 'Michael Park')",Mike Bosetti,Mike Park,"('Maryann Sumner', 'Mike Bosetti')","('Stuart Young', 'Mike Park')"
Michael Park,"('Frederick Forbes', 'Michael Park')",Bob Martin,Robert Perry,"('Maryann Sumner', 'Bob Martin')","('Stuart Young', 'Robert Perry')"
Janet Steck,"('Michael Park', 'Barry Warren')",Sonja Stanbro,Janet Swinnich,"('Maryann Sumner', 'Sonja Stanbro')","('Stuart Young', 'Janet Swinnich')"
Joe Heath,"('Kevin Williams', 'Janet Steck')",Cecile Lawrence,Paul Whittake,"('Maryann Sumner', 'Cecile Lawrence')","('Stuart Young', 'Paul Whittake')"
Frederick Forbes,"('Kevin Williams', 'Michael Park')",Diane Dwire,Gail Bundy,"('Maryann Sumner', 'Diane Dwire')","('Stuart Young', 'Gail Bundy')"
Barry Warren,"('Janet Steck', 'Frederick Forbes')",Clay Benedict,Peter Jeffers,"('Maryann Sumner', 'Janet Steck')","('Stuart Young', 'Peter Jeffers')"
Patrick Snyder,"('Janet Steck', 'Barry Warren')",Kathy Beardsly,Martin Sweeney,"('Maryann Sumner', 'Joe Heath')","('Stuart Young', 'Janet Steck')"
Dan Dineen,"('Janet Steck', 'Dan Weddle')",Brad Gill,Bruce Crandall,"('Maryann Sumner', 'Clay Benedict')","('Stuart Young', 'Joe Heath')"
Brian Young,"('Brian Young', 'Frederick Forbes')",Herbert Masser,Dan Wixted,"('Maryann Sumner', 'Kathy Beardsly')","('Stuart Young', 'Martin Sweeney')"
,"('Joe Heath', 'Barry Warren')",Sheila Cohen,Linda Wiley,"('Maryann Sumner', 'Brian Young')","('Stuart Young', 'Bruce Crandall')"
,"('Brian Young', 'Dan Weddle')",Larry Cornell,Brenda Clark,"('Maryann Sumner', 'Brad Gill')","('Stuart Young', 'Dan Wixted')"
,"('Janet Steck', 'Dan Dineen')",Jennifer Gofkowski,Stephanie Spina,"('Maryann Sumner', 'Herbert Masser')","('Stuart Young', 'Brian Young')"
,"('Dan Weddle', 'Barry Warren')",Edie Spaulding,Kim Hubbard,"('Maryann Sumner', 'Sheila Cohen')","('Stuart Young', 'Linda Wiley')"
,"('Joe Heath', 'Michael Park')",Patricia McConnell,Douglas Rahner,"('Maryann Sumner', 'Larry Cornell')","('Stuart Young', 'Brenda Clark')"
,"('Patrick Snyder', 'Barry Warren')",Pamela Ross,Steve Hughes,"('Maryann Sumner', 'Jennifer Gofkowski')","('Stuart Young', 'Stephanie Spina')"
,"('Brian Young', 'Dan Dineen')",Richard Hanna,Bruce Atkins,"('Maryann Sumner', 'Dan Weddle')","('Stuart Young', 'Kim Hubbard')"
,"('Kevin Williams', 'Dan Weddle')",Jack Williams,Aaron Fumarola,"('Maryann Sumner', 'Edie Spaulding')","('Stuart Young', 'Patrick Snyder')"
,"('Brian Young', 'Michael Park')",Joan Johnson,Roy Crandall,"('Maryann Sumner', 'Patricia McConnell')","('Stuart Young', 'Douglas Rahner')"
,"('Brian Young', 'Patrick Snyder')",Danny Ross,Bess Path,"('Maryann Sumner', 'Pamela Ross')","('Stuart Young', 'Steve Hughes')"
,"('Joe Heath', 'Dan Dineen')",Karen Hempson,Donald Ferris,"('Maryann Sumner', 'Richard Hanna')","('Stuart Young', 'Dan Weddle')"
