Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Taylor Fitch,"('Charles Kreuzer', 'Donna Alexander')",Mike Folts,Duke Clark,"('Mike Folts', 'Tim Dennis')","('Duke Clark', 'Margaret Dunn')"
Margaret Dunn,"('Taylor Fitch', 'Donna Alexander')",Rachel Triechler,Sande Johnson,"('Mike Folts', 'Margaret Dunn')","('Duke Clark', 'Sande Johnson')"
Charles Kreuzer,"('Margaret Dunn', 'Debbie Craig')",Daryl Jones,Donna Baran,"('Mike Folts', 'Rachel Triechler')","('Duke Clark', 'Donna Baran')"
Debbie Craig,"('Taylor Fitch', 'Charles Kreuzer')",Douglas Paddock,Ruth Craig,"('Mike Folts', 'Daryl Jones')","('Duke Clark', 'Ruth Craig')"
Donna Alexander,"('Margaret Dunn', 'Charles Kreuzer')",Mark Morris,Dave Snaith,"('Mike Folts', 'Douglas Paddock')","('Duke Clark', 'Dave Snaith')"
,"('Margaret Dunn', 'Taylor Fitch')",William Quinn,Cindy Tucker,"('Mike Folts', 'Mark Morris')","('Duke Clark', 'Cindy Tucker')"
,"('Margaret Dunn', 'Donna Alexander')",Philip Bailey,Debbie Trischler,"('Mike Folts', 'William Quinn')","('Duke Clark', 'Debbie Trischler')"
,,Doug Howells,James Pierce,"('Mike Folts', 'Philip Bailey')","('Duke Clark', 'James Pierce')"
,,Michael Horning,Tony Carter,"('Mike Folts', 'Doug Howells')","('Duke Clark', 'Debbie Craig')"
,,Floyd Lane,Mary Loesch,"('Mike Folts', 'Michael Horning')","('Duke Clark', 'Tony Carter')"
,,Don House,Shawna Bonshak,"('Mike Folts', 'Floyd Lane')","('Duke Clark', 'Mary Loesch')"
,,Phil Palmesano,Ed Brockman,"('Mike Folts', 'Don House')","('Duke Clark', 'Taylor Fitch')"
,,John Grabski,Malcolm MacKenzie,"('Mike Folts', 'Phil Palmesano')","('Duke Clark', 'Charles Kreuzer')"
,,Tom O Mara,Eric Holtz,"('Mike Folts', 'John Grabski')","('Duke Clark', 'Shawna Bonshak')"
,,Maureen Wren,Steve Finnan,"('Mike Folts', 'Tom O Mara')","('Duke Clark', 'Ed Brockman')"
,,Art Hunt,Penelope Carter,"('Mike Folts', 'Maureen Wren')","('Duke Clark', 'Malcolm MacKenzie')"
,,Scott Falvey,Timothy Kinton,"('Mike Folts', 'Art Hunt')","('Duke Clark', 'Eric Holtz')"
,,Paul Danielson,Eleanor Craig,"('Mike Folts', 'Scott Falvey')","('Duke Clark', 'Steve Finnan')"
,,Peter Gamba,John Futko,"('Mike Folts', 'Paul Danielson')","('Duke Clark', 'Penelope Carter')"
,,Frank Zifino,Frank Mueller,"('Mike Folts', 'Peter Gamba')","('Duke Clark', 'Timothy Kinton')"
,,Bruce Lyon,Peter Lander,"('Mike Folts', 'Frank Zifino')","('Duke Clark', 'Eleanor Craig')"
,,Andrew Cuomo,Greg Marion,"('Mike Folts', 'Bruce Lyon')","('Duke Clark', 'John Futko')"
,,Mike Linehan,Gary Abraham,"('Mike Folts', 'Taylor Fitch')","('Duke Clark', 'Jeff Hicks')"
,,George Mathewson,Richard Craig,"('Mike Folts', 'Charles Kreuzer')","('Duke Clark', 'Peter Lander')"
,,Neil Simmons,Michael Herzog,"('Mike Folts', 'Andrew Cuomo')","('Duke Clark', 'Greg Marion')"
,,Jeff Davis,Jeff Hicks,"('Mike Folts', 'Mike Linehan')","('Duke Clark', 'Gary Abraham')"
,,Max Parson,Dave Ferry,"('Mike Folts', 'George Mathewson')","('Duke Clark', 'Richard Craig')"
,,John Kiedel,Charles Craig,"('Mike Folts', 'Neil Simmons')","('Duke Clark', 'Michael Herzog')"
,,Sarah Vestal,Doug Paddock,"('Mike Folts', 'Jeff Davis')","('Duke Clark', 'Frank Mueller')"
,,Jerry Stape,Jerry Johnson,"('Mike Folts', 'Max Parson')","('Duke Clark', 'Dave Ferry')"
,,Rick Willson,Charles Rettig,"('Mike Folts', 'John Kiedel')","('Duke Clark', 'Charles Craig')"
,,Robert Multer,Brad Jones,"('Mike Folts', 'Sarah Vestal')","('Duke Clark', 'Doug Paddock')"
,,Herbie Snyder,Steven Brewer,"('Mike Folts', 'Jerry Stape')","('Duke Clark', 'Jerry Johnson')"
,,Dan Paddock,Patti Fitzgerald,"('Mike Folts', 'Rick Willson')","('Duke Clark', 'Charles Rettig')"
,,Tim Dennis,Amanda Gorton,"('Mike Folts', 'Robert Multer')","('Duke Clark', 'Brad Jones')"
,,Caryl Sutterby,Vane Calhoun,"('Mike Folts', 'Herbie Snyder')","('Duke Clark', 'Donna Alexander')"
,,Jim Crevelling,Fred Johnstone,"('Mike Folts', 'Dan Paddock')","('Duke Clark', 'Steven Brewer')"
,,Robert Nielsen,Vince Johnson,"('Mike Folts', 'Caryl Sutterby')","('Duke Clark', 'Patti Fitzgerald')"
,,Bradley Jones,,"('Mike Folts', 'Jim Crevelling')","('Duke Clark', 'Amanda Gorton')"
,,Ron Rubin,,"('Mike Folts', 'Robert Nielsen')","('Duke Clark', 'Vane Calhoun')"
,,Kim Crawford,,"('Mike Folts', 'Bradley Jones')","('Duke Clark', 'Fred Johnstone')"
,,Chris Iversen,,"('Mike Folts', 'Ron Rubin')","('Duke Clark', 'Vince Johnson')"
,,Ray Stewart,,"('Mike Folts', 'Kim Crawford')","('Margaret Dunn', 'Sande Johnson')"
,,Bill Hall,,"('Mike Folts', 'Chris Iversen')","('Margaret Dunn', 'Donna Baran')"
,,Judy Wiltberger,,"('Mike Folts', 'Ray Stewart')","('Margaret Dunn', 'Ruth Craig')"
,,John Sawers,,"('Mike Folts', 'Bill Hall')","('Margaret Dunn', 'Dave Snaith')"
,,Roger McDonough,,"('Mike Folts', 'Judy Wiltberger')","('Margaret Dunn', 'Cindy Tucker')"
,,Steve Griffin,,"('Mike Folts', 'John Sawers')","('Margaret Dunn', 'Debbie Trischler')"
,,Jeff Kennedy,,"('Mike Folts', 'Roger McDonough')","('Margaret Dunn', 'James Pierce')"
,,Mark Schenk,,"('Mike Folts', 'Steve Griffin')","('Margaret Dunn', 'Tony Carter')"
,,Butch Comstock,,"('Mike Folts', 'Jeff Kennedy')","('Margaret Dunn', 'Mary Loesch')"
,,Dan Banach,,"('Mike Folts', 'Mark Schenk')","('Margaret Dunn', 'Shawna Bonshak')"
,,Kevin North,,"('Mike Folts', 'Butch Comstock')","('Margaret Dunn', 'Ed Brockman')"
,,Karl Tober,,"('Mike Folts', 'Donna Alexander')","('Margaret Dunn', 'Malcolm MacKenzie')"
,,Patrick Killen,,"('Mike Folts', 'Dan Banach')","('Margaret Dunn', 'Eric Holtz')"
,,Chuck Mitchell,,"('Mike Folts', 'Kevin North')","('Margaret Dunn', 'Steve Finnan')"
,,Brian Winslow,,"('Mike Folts', 'Karl Tober')","('Margaret Dunn', 'Penelope Carter')"
,,Andrew Zepp,,"('Mike Folts', 'Patrick Killen')","('Margaret Dunn', 'Timothy Kinton')"
,,Marty DeVinney,,"('Mike Folts', 'Chuck Mitchell')","('Margaret Dunn', 'Eleanor Craig')"
,,Sarah Purdy,,"('Mike Folts', 'Brian Winslow')","('Margaret Dunn', 'John Futko')"
,,Ryan Destro,,"('Mike Folts', 'Andrew Zepp')","('Margaret Dunn', 'Frank Mueller')"
,,Craig Densmore,,"('Mike Folts', 'Debbie Craig')","('Margaret Dunn', 'Peter Lander')"
,,,,"('Mike Folts', 'Marty DeVinney')","('Margaret Dunn', 'Greg Marion')"
,,,,"('Mike Folts', 'Sarah Purdy')","('Margaret Dunn', 'Gary Abraham')"
,,,,"('Mike Folts', 'Ryan Destro')","('Margaret Dunn', 'Richard Craig')"
