Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Richard Flisnik,"('Richard Flisnik', 'Garry Colarusso')",Anthony Brindisi,Bonnie Reynolds,"('Anthony Brindisi', 'Dan Trevisani')","('Bonnie Reynolds', 'Brian Scala')"
Garry Colarusso,,Dan Trevisani,Brian Scala,"('Anthony Brindisi', 'George Joseph')","('Bonnie Reynolds', 'Brendon Candella')"
,,George Joseph,Brendon Candella,"('Anthony Brindisi', 'Richard Flisnik')","('Bonnie Reynolds', 'William Schmitt')"
,,David Slottje,William Schmitt,"('Anthony Brindisi', 'Garry Colarusso')","('Bonnie Reynolds', 'Keith Schuderer')"
,,Lorrie Wasielewski,Keith Schuderer,"('Anthony Brindisi', 'David Slottje')","('Bonnie Reynolds', 'Thomas Phelps')"
,,Patrick Brennan,Thomas Phelps,"('Anthony Brindisi', 'Lorrie Wasielewski')","('Bonnie Reynolds', 'Richard Flisnik')"
,,Helen Slottje,Gregory Johnson,"('Anthony Brindisi', 'Patrick Brennan')","('Bonnie Reynolds', 'Garry Colarusso')"
,,Brian Mandryck,Caren Diamond,"('Anthony Brindisi', 'Helen Slottje')","('Bonnie Reynolds', 'Gregory Johnson')"
,,Harmony Speciale,Francine Broccoli,"('Anthony Brindisi', 'Brian Mandryck')","('Bonnie Reynolds', 'Caren Diamond')"
,,Richard Hanna,John Bronk,"('Anthony Brindisi', 'Harmony Speciale')","('Bonnie Reynolds', 'Francine Broccoli')"
,,RoAnn Destito,Terri Sciortino,"('Anthony Brindisi', 'Richard Hanna')","('Bonnie Reynolds', 'John Bronk')"
,,Peggy Frantz,Frank Pinnisi,"('Anthony Brindisi', 'RoAnn Destito')","('Bonnie Reynolds', 'Terri Sciortino')"
,,Les Porter,Sandy Scofield,"('Anthony Brindisi', 'Peggy Frantz')","('Bonnie Reynolds', 'Frank Pinnisi')"
,,Greg Johnson,Richard Panella,"('Anthony Brindisi', 'Les Porter')","('Bonnie Reynolds', 'Sandy Scofield')"
,,Michael Arcuri,Lant Wagner,"('Anthony Brindisi', 'Greg Johnson')","('Bonnie Reynolds', 'Richard Panella')"
,,Duane Ulrich,Monique Brechter,"('Anthony Brindisi', 'Michael Arcuri')","('Bonnie Reynolds', 'Lant Wagner')"
,,Jannette Barthe,Carl Annese,"('Anthony Brindisi', 'Duane Ulrich')","('Bonnie Reynolds', 'Monique Brechter')"
,,David Wood,Gina Schillaci,"('Anthony Brindisi', 'Jannette Barthe')","('Bonnie Reynolds', 'Carl Annese')"
,,Shirley Adams,Richard Quigley,"('Anthony Brindisi', 'David Wood')","('Bonnie Reynolds', 'Gina Schillaci')"
,,Jody Lynn Henry,James Goodman,"('Anthony Brindisi', 'Shirley Adams')","('Bonnie Reynolds', 'Richard Quigley')"
,,Michael Waterman,Toshia Hance,"('Anthony Brindisi', 'Jody Lynn Henry')","('Bonnie Reynolds', 'James Goodman')"
,,,Vito Sciortino,"('Anthony Brindisi', 'Michael Waterman')","('Bonnie Reynolds', 'Toshia Hance')"
,,,Caleton Corey,"('Dan Trevisani', 'George Joseph')","('Bonnie Reynolds', 'Vito Sciortino')"
,,,Steve Zywiak,"('Dan Trevisani', 'Richard Flisnik')","('Bonnie Reynolds', 'Caleton Corey')"
,,,Carson Sorrell,"('Dan Trevisani', 'Garry Colarusso')","('Bonnie Reynolds', 'Steve Zywiak')"
,,,Brendon M Candella,"('Dan Trevisani', 'David Slottje')","('Bonnie Reynolds', 'Carson Sorrell')"
,,,Patrick Clark,"('Dan Trevisani', 'Lorrie Wasielewski')","('Bonnie Reynolds', 'Brendon M Candella')"
,,,Michael Pawloski,"('Dan Trevisani', 'Patrick Brennan')","('Bonnie Reynolds', 'Patrick Clark')"
,,,Thomas Pianella,"('Dan Trevisani', 'Helen Slottje')","('Bonnie Reynolds', 'Michael Pawloski')"
,,,Robert Lambe,"('Dan Trevisani', 'Brian Mandryck')","('Bonnie Reynolds', 'Thomas Pianella')"
,,,Timothy Russell,"('Dan Trevisani', 'Harmony Speciale')","('Bonnie Reynolds', 'Robert Lambe')"
,,,Daniel Berkhoudt,"('Dan Trevisani', 'Richard Hanna')","('Bonnie Reynolds', 'Timothy Russell')"
,,,Paul Evans,"('Dan Trevisani', 'RoAnn Destito')","('Bonnie Reynolds', 'Daniel Berkhoudt')"
,,,,"('Dan Trevisani', 'Peggy Frantz')","('Bonnie Reynolds', 'Paul Evans')"
,,,,"('Dan Trevisani', 'Les Porter')","('Brian Scala', 'Brendon Candella')"
,,,,"('Dan Trevisani', 'Greg Johnson')","('Brian Scala', 'William Schmitt')"
,,,,"('Dan Trevisani', 'Michael Arcuri')","('Brian Scala', 'Keith Schuderer')"
,,,,"('Dan Trevisani', 'Duane Ulrich')","('Brian Scala', 'Thomas Phelps')"
,,,,"('Dan Trevisani', 'Jannette Barthe')","('Brian Scala', 'Richard Flisnik')"
,,,,"('Dan Trevisani', 'David Wood')","('Brian Scala', 'Garry Colarusso')"
,,,,"('Dan Trevisani', 'Shirley Adams')","('Brian Scala', 'Gregory Johnson')"
