Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Edward Northrop,"('David Slottje', 'Tim Moore')",Jeff Heller,Micheal Kineally,"('Jeff Heller', 'Aubrey McClendon')","('Micheal Kineally', 'Paul Lambiage')"
Sue Kingsbauer,"('Elisabeth Cowley', 'Cynthia Pettigrew')",Aubrey McClendon,Tony Deusenbury,"('Jeff Heller', 'Daryl Jones')","('Micheal Kineally', 'Sandra Bierbauer')"
Elisabeth Cowley,"('David Slottje', 'Brian Schenk')",Daryl Jones,Trish Lambiage,"('Jeff Heller', 'Neil Vitale')","('Micheal Kineally', 'Shirley Piccerreto')"
Edward Brockman,"('Rosemary Hooper', 'Cynthia Pettigrew')",Neil Vitale,Bill Cooper,"('Jeff Heller', 'Ralph Angelo')","('Micheal Kineally', 'Florence Presler')"
Chris Kansco,"('Judy DiRaddo', 'David Voss')",Ralph Angelo,Shirley Pepp,"('Jeff Heller', 'Patrick Flynn')","('Micheal Kineally', 'Shirley Pepp')"
Cynthia Pettigrew,"('Elisabeth Cowley', 'Sue Kingsbauer')",Patrick Flynn,David Voss II,"('Jeff Heller', 'Tom Shepstone')","('Micheal Kineally', 'Dick Colucci')"
Frank Duserick,"('Elisabeth Cowley', 'Frank Duserick')",Tom Shepstone,Gary Schenk,"('Jeff Heller', 'David Slottje')","('Micheal Kineally', 'Frank Duserick')"
John Cowley,"('Frank Duserick', 'Sue Kingsbauer')",Dave Walczak,Johna makepeace,"('Jeff Heller', 'Dave Walczak')","('Micheal Kineally', 'Tony Deusenbery')"
Rosemary Hooper,"('Rosemary Hooper', 'Dick Baker')",Scott Cline,Arden Neubauer,"('Jeff Heller', 'Scott Cline')","('Micheal Kineally', 'Trish Lambiage')"
David Voss,"('Judy DiRaddo', 'Brenda Keith')",Phillip Rumsey,Kathy Smith,"('Jeff Heller', 'Phillip Rumsey')","('Micheal Kineally', 'John Cowley')"
Tony Deusenbery,"('Robert Trischler', 'Mary Mueller')",Tom Johnson,Steve Fisher,"('Jeff Heller', 'Tom Johnson')","('Micheal Kineally', 'Bill Cooper')"
David Slottje,"('Edward Brockman', 'Elisabeth Cowley')",Tom Hoag,Don Braun,"('Jeff Heller', 'Tom Hoag')","('Micheal Kineally', 'Lynda Draper')"
Brenda Keith,"('Edward Brockman', 'Brenda Keith')",John Holko,Jeanne Cease,"('Jeff Heller', 'John Holko')","('Micheal Kineally', 'Samantha Frost')"
Tim Moore,"('John Cowley', 'Frank Duserick')",Kristine Singer,Jim Forrester,"('Jeff Heller', 'Judy DiRaddo')","('Micheal Kineally', 'David Slottje')"
Robert Trischler,"('Edward Brockman', 'Mary Mueller')",Mark Venuti,Don Christmas,"('Jeff Heller', 'Kristine Singer')","('Micheal Kineally', 'Cody Tusing')"
Brian Schenk,"('David Voss', 'Brenda Keith')",Michael Nozzolio,Charles Meyer,"('Jeff Heller', 'Mark Venuti')","('Micheal Kineally', 'Barb Haefele')"
Mary Mueller,"('Brian Schenk', 'Cynthia Pettigrew')",Brian Kolb,Helen Slottje,"('Jeff Heller', 'Michael Nozzolio')","('Micheal Kineally', 'Jeanne Cease')"
Dick Baker,"('Edward Brockman', 'David Voss')",Norman Teed,Pauline Preston,"('Jeff Heller', 'Brian Kolb')","('Micheal Kineally', 'John')"
Judy DiRaddo,"('Cynthia Pettigrew', 'Mary Mueller')",Dom Vedora,Jenny Makepeace,"('Jeff Heller', 'Edward Brockman')","('Micheal Kineally', 'Mike Keenan')"
,"('Robert Trischler', 'Brenda Keith')",Jodi Andrysick,Joan Lincoln,"('Jeff Heller', 'Chris Kansco')","('Micheal Kineally', 'Carolyn Kidd Forester')"
,"('Brian Schenk', 'Sue Kingsbauer')",Mike Folts,Andrea Leach,"('Jeff Heller', 'Elisabeth Cowley')","('Micheal Kineally', 'John Yerkovicth')"
,"('John Cowley', 'Tony Deusenbery')",William Ouweleen,Will Sherwood,"('Jeff Heller', 'Norman Teed')","('Micheal Kineally', 'William Mcloud')"
,"('Tim Moore', 'Tony Deusenbery')",Boud Kuenen,Jim Jarvey,"('Jeff Heller', 'Dom Vedora')","('Micheal Kineally', 'Pat Hicks')"
,"('David Slottje', 'Chris Kansco')",Nirav Shah,Barb Haefele,"('Jeff Heller', 'Jodi Andrysick')","('Micheal Kineally', 'Kathy Smith')"
,"('Edward Brockman', 'Robert Trischler')",Richard Russell,John,"('Jeff Heller', 'Mike Folts')","('Micheal Kineally', 'Rosemary Hooper')"
,"('Robert Trischler', 'Tony Deusenbery')",Jim Ochterski,Carolyn Kidd Forester,"('Jeff Heller', 'William Ouweleen')","('Micheal Kineally', 'Kathleen Riesenberger')"
,"('Brian Schenk', 'Tony Deusenbery')",Cindy Manchester,Pat Hicks,"('Jeff Heller', 'Brian Schenk')","('Micheal Kineally', 'Mary Makepeace')"
,"('David Slottje', 'Judy DiRaddo')",Bill Mcloud,Julie Sherwood,"('Jeff Heller', 'Boud Kuenen')","('Micheal Kineally', 'David Voss II')"
,"('Chris Kansco', 'Sue Kingsbauer')",Steven Foster,Mary Makepeace,"('Jeff Heller', 'Nirav Shah')","('Micheal Kineally', 'Helen Slottje')"
,"('Rosemary Hooper', 'Tim Moore')",Jeff Gallahan,Hank Ranney,"('Jeff Heller', 'Richard Russell')","('Micheal Kineally', 'Johna makepeace')"
,"('David Slottje', 'Tony Deusenbery')",Carla Jordan,Geoff Smith,"('Jeff Heller', 'Jim Ochterski')","('Micheal Kineally', 'Cynthia Pettigrew')"
,"('Elisabeth Cowley', 'John Cowley')",Carolyn Kidd,Heidi Smith,"('Jeff Heller', 'Rosemary Hooper')","('Micheal Kineally', 'Arden Neubauer')"
,"('Elisabeth Cowley', 'Rosemary Hooper')",David Hurd,Bob Geroux,"('Jeff Heller', 'Tim Moore')","('Micheal Kineally', 'Hank Ranney')"
,"('Edward Brockman', 'Sue Kingsbauer')",Mary Boite,Samantha Frost,"('Jeff Heller', 'Cindy Manchester')","('Micheal Kineally', 'David Voss')"
,"('Dick Baker', 'Tony Deusenbery')",Todd Campbell,Jim Hall,"('Jeff Heller', 'Bill Mcloud')","('Micheal Kineally', 'Donald Leysath')"
,"('David Slottje', 'Dick Baker')",Angela Einwachter,William Mcloud,"('Jeff Heller', 'Steven Foster')","('Micheal Kineally', 'Scott Peters')"
,"('Rosemary Hooper', 'Robert Trischler')",Barbara Welch,Sandra Bierbauer,"('Jeff Heller', 'Jeff Gallahan')","('Micheal Kineally', 'Carol Geroux')"
,"('Tim Moore', 'Cynthia Pettigrew')",Bob Green,Florence Presler,"('Jeff Heller', 'Carla Jordan')","('Micheal Kineally', 'Steve Fisher')"
,"('Dick Baker', 'Sue Kingsbauer')",Cynthia Hsu,Mike Keenan,"('Jeff Heller', 'Carolyn Kidd')","('Micheal Kineally', 'Brenda Keith')"
,"('Robert Trischler', 'David Voss')",David Baker,Lynda Draper,"('Jeff Heller', 'John Cowley')","('Micheal Kineally', 'Kathy Powley')"
,"('Edward Northrop', 'Tony Deusenbery')",Donald Young,Dick Colucci,"('Jeff Heller', 'David Hurd')","('Micheal Kineally', 'Don Braun')"
,"('Elisabeth Cowley', 'Tony Deusenbery')",Jack Marren,Jim Powley,"('Jeff Heller', 'Mary Boite')","('Micheal Kineally', 'Geoff Smith')"
,"('Brian Schenk', 'Mary Mueller')",Steve Barnhoorn,Dianne Payne,"('Jeff Heller', 'Todd Campbell')","('Micheal Kineally', 'Edward Northrop')"
,"('Tim Moore', 'John Cowley')",Bonnie Borschel,Kathy Powley,"('Jeff Heller', 'Frank Duserick')","('Micheal Kineally', 'Sue Kingsbauer')"
,"('David Voss', 'Dick Baker')",Konstantin Frank,Drury Mackenzie,"('Jeff Heller', 'Angela Einwachter')","('Micheal Kineally', 'Jim Powley')"
,"('Frank Duserick', 'David Voss')",Jeff Andrysick,Collucci,"('Jeff Heller', 'Robert Trischler')","('Micheal Kineally', 'Will Sherwood')"
,"('Tim Moore', 'Brenda Keith')",Rich Jerome,Carol O Brien,"('Jeff Heller', 'Barbara Welch')","('Micheal Kineally', 'Dianne Payne')"
,"('Brian Schenk', 'Rosemary Hooper')",Jeni Makepeace,Larry Leach,"('Jeff Heller', 'Bob Green')","('Micheal Kineally', 'Edward Brockman')"
,"('Judy DiRaddo', 'Dick Baker')",Mark Donadio,Jeff Kingsbauer,"('Jeff Heller', 'Cynthia Hsu')","('Micheal Kineally', 'Chris Kansco')"
,"('David Slottje', 'John Cowley')",Pamela Helming,Mark Danadio,"('Jeff Heller', 'David Baker')","('Micheal Kineally', 'Dick Baker')"
,"('Robert Trischler', 'Cynthia Pettigrew')",Josh Fox,Steve Bissett,"('Jeff Heller', 'Cynthia Pettigrew')","('Micheal Kineally', 'Jim Forrester')"
,"('Brenda Keith', 'Sue Kingsbauer')",Rob Jackson,Wayne Loebig,"('Jeff Heller', 'David Voss')","('Micheal Kineally', 'Kate Barbour')"
,"('David Slottje', 'Elisabeth Cowley')",Lorelei Andrysick,Kate Barbour,"('Jeff Heller', 'Donald Young')","('Micheal Kineally', 'Don Christmas')"
,"('David Slottje', 'Sue Kingsbauer')",Andrew Zepp,Cody Tusing,"('Jeff Heller', 'Jack Marren')","('Micheal Kineally', 'Frank Mueller')"
,"('David Slottje', 'Edward Brockman')",Richard Hilton,Paul Lambiage,"('Jeff Heller', 'Brenda Keith')","('Micheal Kineally', 'Drury Mackenzie')"
,"('John Cowley', 'Cynthia Pettigrew')",Llewellyn Lafford,Shirley Piccerreto,"('Jeff Heller', 'Steve Barnhoorn')","('Micheal Kineally', 'Heidi Smith')"
,"('Edward Brockman', 'Tim Moore')",Peg Hilton,John Yerkovicth,"('Jeff Heller', 'Bonnie Borschel')","('Micheal Kineally', 'Collucci')"
,"('Elisabeth Cowley', 'Mary Mueller')",Edgar Brown,Steve Busset,"('Jeff Heller', 'Konstantin Frank')","('Micheal Kineally', 'Charles Meyer')"
,"('Edward Northrop', 'Mary Mueller')",Brian Nicholson,Kathleen Riesenberger,"('Jeff Heller', 'Jeff Andrysick')","('Micheal Kineally', 'Elisabeth Cowley')"
,"('John Cowley', 'Dick Baker')",Margaret Hilton,Donald Leysath,"('Jeff Heller', 'Rich Jerome')","('Micheal Kineally', 'Carol O Brien')"
,"('Rosemary Hooper', 'Sue Kingsbauer')",John Sheppard,Carol Geroux,"('Jeff Heller', 'Dick Baker')","('Micheal Kineally', 'Laine Howard')"
,"('Judy DiRaddo', 'Sue Kingsbauer')",Kris Singer,Frank Mueller,"('Jeff Heller', 'Jeni Makepeace')","('Micheal Kineally', 'Steve Busset')"
,"('Brenda Keith', 'Tony Deusenbery')",Mary Luckern,Laine Howard,"('Jeff Heller', 'Mark Donadio')","('Micheal Kineally', 'Larry Leach')"
,"('Cynthia Pettigrew', 'Tony Deusenbery')",John Garvey,Scott Peters,"('Jeff Heller', 'Pamela Helming')","('Micheal Kineally', 'Jeff Kingsbauer')"
,"('Tim Moore', 'Robert Trischler')",Tim Jensen,Joan Luther,"('Jeff Heller', 'Josh Fox')","('Micheal Kineally', 'Gary Schenk')"
,"('John Cowley', 'Brenda Keith')",Thor Vanderhei,Shanna Williams,"('Jeff Heller', 'Rob Jackson')","('Micheal Kineally', 'Mark Danadio')"
,"('Frank Duserick', 'Robert Trischler')",Dodie Huber,Gorham,"('Jeff Heller', 'Lorelei Andrysick')","('Micheal Kineally', 'Wayne Loebig')"
,"('Edward Brockman', 'Frank Duserick')",Fred Lightfoote,,"('Jeff Heller', 'Andrew Zepp')","('Micheal Kineally', 'Pauline Preston')"
,"('John Cowley', 'Mary Mueller')",Jim Smith,,"('Jeff Heller', 'Richard Hilton')","('Micheal Kineally', 'Jenny Makepeace')"
,"('David Voss', 'Mary Mueller')",Sandra Frankel,,"('Jeff Heller', 'Llewellyn Lafford')","('Micheal Kineally', 'Joan Luther')"
,"('Brian Schenk', 'Tim Moore')",Brad Phillips,,"('Jeff Heller', 'Peg Hilton')","('Micheal Kineally', 'Shanna Williams')"
,"('David Slottje', 'Robert Trischler')",,,"('Jeff Heller', 'Edward Northrop')","('Micheal Kineally', 'Jim Hall')"
,"('Sue Kingsbauer', 'Mary Mueller')",,,"('Jeff Heller', 'Edgar Brown')","('Micheal Kineally', 'Julie Sherwood')"
,"('Judy DiRaddo', 'John Cowley')",,,"('Jeff Heller', 'Brian Nicholson')","('Micheal Kineally', 'Joan Lincoln')"
,"('Brian Schenk', 'Dick Baker')",,,"('Jeff Heller', 'Tony Deusenbery')","('Micheal Kineally', 'Andrea Leach')"
,"('Judy DiRaddo', 'Robert Trischler')",,,"('Jeff Heller', 'Margaret Hilton')","('Micheal Kineally', 'Bob Geroux')"
,"('Judy DiRaddo', 'Chris Kansco')",,,"('Jeff Heller', 'John Sheppard')","('Micheal Kineally', 'Steve Bissett')"
,"('Rosemary Hooper', 'Tony Deusenbery')",,,"('Jeff Heller', 'Kris Singer')","('Micheal Kineally', 'Robert Trischler')"
,"('David Slottje', 'Mary Mueller')",,,"('Jeff Heller', 'Mary Luckern')","('Micheal Kineally', 'Jim Jarvey')"
,"('Tim Moore', 'Dick Baker')",,,"('Jeff Heller', 'John Garvey')","('Micheal Kineally', 'Tony Deusenbury')"
,"('Edward Brockman', 'Rosemary Hooper')",,,"('Jeff Heller', 'Sue Kingsbauer')","('Micheal Kineally', 'Gorham')"
,"('John Cowley', 'Robert Trischler')",,,"('Jeff Heller', 'Tim Jensen')","('Micheal Kineally', 'Brian Schenk')"
,"('Frank Duserick', 'Brenda Keith')",,,"('Jeff Heller', 'Thor Vanderhei')","('Micheal Kineally', 'Judy DiRaddo')"
,"('Tim Moore', 'David Voss')",,,"('Jeff Heller', 'Dodie Huber')","('Micheal Kineally', 'Tim Moore')"
,"('Tim Moore', 'Mary Mueller')",,,"('Jeff Heller', 'Fred Lightfoote')","('Micheal Kineally', 'Mary Mueller')"
,"('Rosemary Hooper', 'John Cowley')",,,"('Jeff Heller', 'Jim Smith')","('Tony Deusenbury', 'Paul Lambiage')"
,"('Chris Kansco', 'Mary Mueller')",,,"('Jeff Heller', 'Sandra Frankel')","('Tony Deusenbury', 'Sandra Bierbauer')"
,"('Judy DiRaddo', 'Tony Deusenbery')",,,"('Jeff Heller', 'Brad Phillips')","('Tony Deusenbury', 'Shirley Piccerreto')"
,"('Cynthia Pettigrew', 'Brenda Keith')",,,"('Jeff Heller', 'Mary Mueller')","('Tony Deusenbury', 'Florence Presler')"
,"('Elisabeth Cowley', 'Tim Moore')",,,"('Aubrey McClendon', 'Daryl Jones')","('Tony Deusenbury', 'Shirley Pepp')"
,"('David Slottje', 'Rosemary Hooper')",,,"('Aubrey McClendon', 'Neil Vitale')","('Tony Deusenbury', 'Dick Colucci')"
,"('David Voss', 'Tony Deusenbery')",,,"('Aubrey McClendon', 'Ralph Angelo')","('Tony Deusenbury', 'Frank Duserick')"
,"('Edward Brockman', 'Brian Schenk')",,,"('Aubrey McClendon', 'Patrick Flynn')","('Tony Deusenbury', 'Tony Deusenbery')"
,"('David Slottje', 'Brenda Keith')",,,"('Aubrey McClendon', 'Tom Shepstone')","('Tony Deusenbury', 'Trish Lambiage')"
,"('Elisabeth Cowley', 'Robert Trischler')",,,"('Aubrey McClendon', 'David Slottje')","('Tony Deusenbury', 'John Cowley')"
,"('Frank Duserick', 'Cynthia Pettigrew')",,,"('Aubrey McClendon', 'Dave Walczak')","('Tony Deusenbury', 'Bill Cooper')"
