Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Martin Tillapaugh,"('Robert Taylor', 'Martin Tillapaugh')",Bruce Maxson,DiNapoli,"('Bruce Maxson', 'Larry Bennett')","('DiNapoli', 'John Pegg')"
Robert Taylor,"('Robert Erklund', 'Martin Tillapaugh')",Larry Bennett,John Pegg,"('Bruce Maxson', 'Jeff Katz')","('DiNapoli', 'Joseph Gregory')"
Robert Erklund,,Jeff Katz,Joseph Gregory,"('Bruce Maxson', 'James Dean')","('DiNapoli', 'Natalie Fisher')"
,,James Dean,Natalie Fisher,"('Bruce Maxson', 'Michael Wright')","('DiNapoli', 'Richard Gary')"
,,Michael Wright,Richard Gary,"('Bruce Maxson', 'Robert Taylor')","('DiNapoli', 'David Mckenzie')"
,,Lou Allstadt,David Mckenzie,"('Bruce Maxson', 'Robert Erklund')","('DiNapoli', 'Robert Erklund')"
,,Ellen Pope,Bill Magee,"('Bruce Maxson', 'Lou Allstadt')","('DiNapoli', 'Bill Magee')"
,,Cynthia Falk,Tom Riso,"('Bruce Maxson', 'Ellen Pope')","('DiNapoli', 'Tom Riso')"
,,Ellen Tillapaugh,Psalm Wyckoff,"('Bruce Maxson', 'Martin Tillapaugh')","('DiNapoli', 'Psalm Wyckoff')"
,,Adrian Kuzminski,Sue Smith,"('Bruce Maxson', 'Cynthia Falk')","('DiNapoli', 'Sue Smith')"
,,Josh Fox,Calvin Tillman,"('Bruce Maxson', 'Ellen Tillapaugh')","('DiNapoli', 'Calvin Tillman')"
,,James Power,Robert Gann,"('Bruce Maxson', 'Adrian Kuzminski')","('DiNapoli', 'Robert Gann')"
,,Joan Nicols,Patty Lowe,"('Bruce Maxson', 'Josh Fox')","('DiNapoli', 'Patty Lowe')"
,,Donald Cerio,Ed Tracy,"('Bruce Maxson', 'James Power')","('DiNapoli', 'Ed Tracy')"
,,George Rodenhausen,Andrea Denekamp,"('Bruce Maxson', 'Joan Nicols')","('DiNapoli', 'Andrea Denekamp')"
,,,Mike Newell,"('Bruce Maxson', 'Donald Cerio')","('DiNapoli', 'Mike Newell')"
,,,Gene Chilion,"('Bruce Maxson', 'George Rodenhausen')","('DiNapoli', 'Gene Chilion')"
,,,Scott Fickbolm,"('Larry Bennett', 'Martin Tillapaugh')","('DiNapoli', 'Scott Fickbolm')"
,,,Theresa Berdon,"('Larry Bennett', 'Jeff Katz')","('DiNapoli', 'Theresa Berdon')"
,,,Maurren Dill,"('Larry Bennett', 'James Dean')","('DiNapoli', 'Maurren Dill')"
,,,Pauline Koren,"('Larry Bennett', 'Michael Wright')","('DiNapoli', 'Pauline Koren')"
,,,Sue Conklin,"('Larry Bennett', 'Robert Taylor')","('DiNapoli', 'Sue Conklin')"
,,,Connie Chase,"('Larry Bennett', 'Robert Erklund')","('DiNapoli', 'Connie Chase')"
,,,Sean Dill,"('Larry Bennett', 'Lou Allstadt')","('DiNapoli', 'Sean Dill')"
,,,Florence Loomis,"('Larry Bennett', 'Ellen Pope')","('DiNapoli', 'Florence Loomis')"
,,,Edward Vincent,"('Larry Bennett', 'Cynthia Falk')","('DiNapoli', 'Edward Vincent')"
,,,Bob Biederman,"('Larry Bennett', 'Ellen Tillapaugh')","('DiNapoli', 'Bob Biederman')"
,,,David Galley,"('Larry Bennett', 'Adrian Kuzminski')","('DiNapoli', 'David Galley')"
,,,Ronald Vibbard,"('Larry Bennett', 'Josh Fox')","('DiNapoli', 'Ronald Vibbard')"
,,,Barry Braunius,"('Larry Bennett', 'James Power')","('DiNapoli', 'Barry Braunius')"
,,,Bill Kaster,"('Larry Bennett', 'Joan Nicols')","('DiNapoli', 'Bill Kaster')"
,,,Tony Cannizzo,"('Larry Bennett', 'Donald Cerio')","('DiNapoli', 'Tony Cannizzo')"
,,,David Patterson,"('Larry Bennett', 'George Rodenhausen')","('DiNapoli', 'David Patterson')"
,,,Rick Osuna,"('Jeff Katz', 'James Dean')","('DiNapoli', 'Rick Osuna')"
,,,Sandy Kaster,"('Jeff Katz', 'Michael Wright')","('DiNapoli', 'Sandy Kaster')"
,,,Alan Sorenson,"('Jeff Katz', 'Robert Taylor')","('DiNapoli', 'Alan Sorenson')"
,,,Robert Kelleher,"('Jeff Katz', 'Robert Erklund')","('DiNapoli', 'Robert Kelleher')"
,,,Dennis Kelleher,"('Jeff Katz', 'Lou Allstadt')","('DiNapoli', 'Dennis Kelleher')"
