Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Kim Sherwood,"('Pierre Chagnon', 'Dan Strickland')",Glenn Wahl,Duncan McNeill,"('Glenn Wahl', 'Fred Croscut')","('Duncan McNeill', 'Diane Miller')"
Dan Strickland,"('Kim Sherwood', 'Dan Strickland')",Fred Croscut,Diane Miller,"('Glenn Wahl', 'Bill Boria')","('Duncan McNeill', 'Art Thomas')"
Pierre Chagnon,"('Kim Sherwood', 'Sally P Carlson')",Bill Boria,Art Thomas,"('Glenn Wahl', 'Mary Hajdu')","('Duncan McNeill', 'Kathy Young')"
Sally P Carlson,"('Sally P Carlson', 'Dan Strickland')",Mary Hajdu,Kathy Young,"('Glenn Wahl', 'A J Dolce')","('Duncan McNeill', 'Dave Lloyd')"
,"('Pierre Chagnon', 'Sally P Carlson')",A J Dolce,Dave Lloyd,"('Glenn Wahl', 'Gary Lash')","('Duncan McNeill', 'Dan Thomas')"
,"('Pierre Chagnon', 'Kim Sherwood')",Gary Lash,Dan Thomas,"('Glenn Wahl', 'Bill Parment')","('Duncan McNeill', 'Robin Miller')"
,,Bill Parment,Robin Miller,"('Glenn Wahl', 'Brad Gill')","('Duncan McNeill', 'Dick Sena')"
,,Brad Gill,Dick Sena,"('Glenn Wahl', 'Mike Hogan')","('Duncan McNeill', 'Pierre Chagnon')"
,,Mike Hogan,Lois Dilworth,"('Glenn Wahl', 'Andy Goodell')","('Duncan McNeill', 'Lois Dilworth')"
,,Andy Goodell,Jay Gould,"('Glenn Wahl', 'Roger Doebke')","('Duncan McNeill', 'Jay Gould')"
,,Roger Doebke,David Stapleton,"('Glenn Wahl', 'Roger Ruckman')","('Duncan McNeill', 'David Stapleton')"
,,Roger Ruckman,Brad Lawson,"('Glenn Wahl', 'Rudy Mueller')","('Duncan McNeill', 'Brad Lawson')"
,,Rudy Mueller,Sharon Turano,"('Glenn Wahl', 'Cathy Young')","('Duncan McNeill', 'Sharon Turano')"
,,Cathy Young,Mary Frank,"('Glenn Wahl', 'Pierre Chagnon')","('Duncan McNeill', 'Mary Frank')"
,,Sally Jaroszynski,Louis Rieg,"('Glenn Wahl', 'Sally Jaroszynski')","('Duncan McNeill', 'Louis Rieg')"
,,Robert Stewart,Ralph Whitney,"('Glenn Wahl', 'Robert Stewart')","('Duncan McNeill', 'Ralph Whitney')"
,,Anthony Ingraffea,Frank Geracci,"('Glenn Wahl', 'Anthony Ingraffea')","('Duncan McNeill', 'Frank Geracci')"
,,Jim Pullan,Frank Stow,"('Glenn Wahl', 'Jim Pullan')","('Duncan McNeill', 'Kim Sherwood')"
,,Todd Saracki,Paul Silzle,"('Glenn Wahl', 'Todd Saracki')","('Duncan McNeill', 'Frank Stow')"
