Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Gail Orr,"('Gail Orr', 'Thomas Baldwin')",Duane Wilder,Mark Towne,"('Duane Wilder', 'Laura Lane')","('Gail Orr', 'Mark Towne')"
Thomas Baldwin,,Laura Lane,Town Attorney,"('Duane Wilder', 'Joe Martens')","('Gail Orr', 'Town Attorney')"
,,Joe Martens,Gael Billyard Orr,"('Duane Wilder', 'Terry Van')","('Gail Orr', 'Gael Billyard Orr')"
,,Terry Van,Ron Adam,"('Duane Wilder', 'Eric Gott')","('Gail Orr', 'Ron Adam')"
,,Eric Gott,Dave Thompson,"('Duane Wilder', 'Charles Scudder')","('Gail Orr', 'Dave Thompson')"
,,Charles Scudder,John Thompson,"('Duane Wilder', 'Hal Bauer')","('Gail Orr', 'John Thompson')"
,,Hal Bauer,Robert Atwood,"('Duane Wilder', 'Timothy Hoffman')","('Gail Orr', 'Robert Atwood')"
,,Timothy Hoffman,Kirk Brickwood,"('Duane Wilder', 'Sandra Steingraber')","('Gail Orr', 'Kirk Brickwood')"
,,Sandra Steingraber,Dan DeZern,"('Duane Wilder', 'Peter Yendell')","('Gail Orr', 'Dan DeZern')"
,,Peter Yendell,Bill Mcgregor,"('Duane Wilder', 'Rock Castor')","('Gail Orr', 'Bill Mcgregor')"
,,Rock Castor,Melissa Jacobs,"('Duane Wilder', 'Daniel Pangrazio')","('Gail Orr', 'Melissa Jacobs')"
,,Daniel Pangrazio,Donna Atwood,"('Duane Wilder', 'Cindy Caristeo')","('Gail Orr', 'Donna Atwood')"
,,Cindy Caristeo,Debra Converse,"('Duane Wilder', 'Alan Vickery')","('Gail Orr', 'Debra Converse')"
,,Alan Vickery,Doris March,"('Duane Wilder', 'Andrew Cuomo')","('Gail Orr', 'Doris March')"
,,Andrew Cuomo,Terry Vaccaro,"('Duane Wilder', 'Edward McTiernan')","('Gail Orr', 'Terry Vaccaro')"
,,Edward McTiernan,,"('Duane Wilder', 'Samantha Gilbert')","('Mark Towne', 'Terry Vaccaro')"
,,Samantha Gilbert,,"('Duane Wilder', 'Ian Davis')","('Mark Towne', 'Gael Billyard Orr')"
