Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
William Weber,"('Peter Gamba', 'Terry Gibson')",Robert Church,Jeff Heller,"('Robert Church', 'Jason Ballard')","('Jeff Heller', 'Fred Frank')"
Donna Conley,"('Janet Stone', 'Jeff Andrysick')",Jason Ballard,Fred Frank,"('Robert Church', 'Aubrey McClendon')","('Jeff Heller', 'Junior Gibson')"
Jeff Andrysick,"('Nancy Cole', 'William Weber')",Aubrey McClendon,Junior Gibson,"('Robert Church', 'Scott Foti')","('Jeff Heller', 'Janet Stone')"
Jodi Andrysick,"('Nancy Cole', 'John Leyden')",Scott Foti,John Eckel,"('Robert Church', 'Rachel Treichler')","('Jeff Heller', 'John Eckel')"
John Leyden,"('Richard Musso', 'Jane Russell')",Rachel Treichler,Mike Hanna,"('Robert Church', 'Jean Wosinski')","('Jeff Heller', 'Mike Hanna')"
Peter Gamba,"('John Leyden', 'William Weber')",Jean Wosinski,David Slottje,"('Robert Church', 'Mark Morris')","('Jeff Heller', 'David Slottje')"
Janet Stone,"('Donna Conley', 'John Leyden')",Mark Morris,John Vyverberg,"('Robert Church', 'Joe Sempolinski')","('Jeff Heller', 'John Vyverberg')"
Terry Gibson,"('John Leyden', 'Jodi Andrysick')",Joe Sempolinski,Scott Cline,"('Robert Church', 'Janet Stone')","('Jeff Heller', 'Scott Cline')"
Jane Russell,"('Jeff Andrysick', 'Jane Russell')",Ed Blume,Ardys Boostrom,"('Robert Church', 'Ed Blume')","('Jeff Heller', 'Ardys Boostrom')"
Richard Musso,"('William Weber', 'Jane Russell')",David Reeve,James Howic,"('Robert Church', 'David Reeve')","('Jeff Heller', 'James Howic')"
Nancy Cole,"('Janet Stone', 'Jane Russell')",Joyce Hunt,Mark Schlecter,"('Robert Church', 'Joyce Hunt')","('Jeff Heller', 'Mark Schlecter')"
,"('Janet Stone', 'Terry Gibson')",Linda Knowles,David Ballard,"('Robert Church', 'Linda Knowles')","('Jeff Heller', 'Nancy Cole')"
,"('John Leyden', 'Jane Russell')",Susan Multer,John Christensen,"('Robert Church', 'Susan Multer')","('Jeff Heller', 'David Ballard')"
,"('Terry Gibson', 'Jane Russell')",Neil Vitale,Nancy Bach,"('Robert Church', 'Peter Gamba')","('Jeff Heller', 'Donna Conley')"
,"('Peter Gamba', 'Jeff Andrysick')",Mark Alger,Paul Schnipelsky,"('Robert Church', 'Neil Vitale')","('Jeff Heller', 'John Christensen')"
,"('Janet Stone', 'Nancy Cole')",Kate Bartholomew,Kathy Burns,"('Robert Church', 'Terry Gibson')","('Jeff Heller', 'John Leyden')"
,"('Nancy Cole', 'Donna Conley')",George Winner,Helen Slottje,"('Robert Church', 'Mark Alger')","('Jeff Heller', 'Nancy Bach')"
,"('Janet Stone', 'Richard Musso')",Matt Sheppard,Juanita Barter,"('Robert Church', 'Richard Musso')","('Jeff Heller', 'Paul Schnipelsky')"
,"('Nancy Cole', 'Jodi Andrysick')",Nate Shinagawa,Sandra Pietrapaoli,"('Robert Church', 'Nancy Cole')","('Jeff Heller', 'Kathy Burns')"
,"('Janet Stone', 'John Leyden')",Michael Christensen,Rita Hunter,"('Robert Church', 'Kate Bartholomew')","('Jeff Heller', 'Helen Slottje')"
,"('Janet Stone', 'Jodi Andrysick')",Joe Hoff,George McIntyre,"('Robert Church', 'George Winner')","('Jeff Heller', 'Jodi Andrysick')"
,"('Donna Conley', 'Jeff Andrysick')",Steve Butchko,Yvonne Taylor,"('Robert Church', 'Matt Sheppard')","('Jeff Heller', 'Juanita Barter')"
,"('Janet Stone', 'Donna Conley')",Ed Brockman,Tom Pellechia,"('Robert Church', 'Donna Conley')","('Jeff Heller', 'Sandra Pietrapaoli')"
,"('Janet Stone', 'William Weber')",Robert Nichols,Carl Stone,"('Robert Church', 'Nate Shinagawa')","('Jeff Heller', 'Rita Hunter')"
,"('Donna Conley', 'Jane Russell')",Eric Massa,Jan Stone,"('Robert Church', 'Jeff Andrysick')","('Jeff Heller', 'George McIntyre')"
,"('Donna Conley', 'Jodi Andrysick')",Vincent Spagnoletti,Kathy Heller,"('Robert Church', 'John Leyden')","('Jeff Heller', 'Yvonne Taylor')"
,"('Donna Conley', 'William Weber')",Liz Ryder,Mike Abgott,"('Robert Church', 'Michael Christensen')","('Jeff Heller', 'Tom Pellechia')"
,"('Richard Musso', 'Jeff Andrysick')",Yancey Roy,Linda Lewis,"('Robert Church', 'Joe Hoff')","('Jeff Heller', 'Carl Stone')"
,"('Nancy Cole', 'Jeff Andrysick')",Marcia Burns,Al Wahlig,"('Robert Church', 'Steve Butchko')","('Jeff Heller', 'Jan Stone')"
,"('Jodi Andrysick', 'Jane Russell')",Joseph Welch,Nick Forenz,"('Robert Church', 'Ed Brockman')","('Jeff Heller', 'Kathy Heller')"
,"('Janet Stone', 'Peter Gamba')",Steve Coffman,Bruce Bozman,"('Robert Church', 'Robert Nichols')","('Jeff Heller', 'Mike Abgott')"
,"('Nancy Cole', 'Jane Russell')",,Art Sable,"('Robert Church', 'Eric Massa')","('Jeff Heller', 'Linda Lewis')"
,"('Peter Gamba', 'Jane Russell')",,James Sprague,"('Robert Church', 'Vincent Spagnoletti')","('Jeff Heller', 'Al Wahlig')"
,"('Terry Gibson', 'Jeff Andrysick')",,Lisa Stone,"('Robert Church', 'William Weber')","('Jeff Heller', 'Nick Forenz')"
,,,Ivan Szathmary,"('Robert Church', 'Liz Ryder')","('Jeff Heller', 'Bruce Bozman')"
,,,Doug Nichols,"('Robert Church', 'Jodi Andrysick')","('Jeff Heller', 'Art Sable')"
,,,Joseph Campbell,"('Robert Church', 'Yancey Roy')","('Jeff Heller', 'James Sprague')"
,,,Pat Rafalowski,"('Robert Church', 'Jane Russell')","('Jeff Heller', 'Lisa Stone')"
,,,Pat Gowin,"('Robert Church', 'Marcia Burns')","('Jeff Heller', 'Ivan Szathmary')"
,,,Dennis Vai,"('Robert Church', 'Joseph Welch')","('Jeff Heller', 'Doug Nichols')"
,,,Helen Coombs,"('Robert Church', 'Steve Coffman')","('Jeff Heller', 'Joseph Campbell')"
,,,Jesse Bond,"('Jason Ballard', 'Aubrey McClendon')","('Jeff Heller', 'William Weber')"
,,,Don Patoine,"('Jason Ballard', 'Scott Foti')","('Jeff Heller', 'Pat Rafalowski')"
,,,Brad Steeves,"('Jason Ballard', 'Rachel Treichler')","('Jeff Heller', 'Pat Gowin')"
,,,Bill Des Rosiers,"('Jason Ballard', 'Jean Wosinski')","('Jeff Heller', 'Dennis Vai')"
,,,John DiBona,"('Jason Ballard', 'Mark Morris')","('Jeff Heller', 'Helen Coombs')"
,,,Linda Terrabrella,"('Jason Ballard', 'Joe Sempolinski')","('Jeff Heller', 'Jesse Bond')"
,,,Ed Young,"('Jason Ballard', 'Janet Stone')","('Jeff Heller', 'Richard Musso')"
,,,Brian Snyder,"('Jason Ballard', 'Ed Blume')","('Jeff Heller', 'Don Patoine')"
,,,Rob Louden,"('Jason Ballard', 'David Reeve')","('Jeff Heller', 'Brad Steeves')"
,,,Deb DiBona,"('Jason Ballard', 'Joyce Hunt')","('Jeff Heller', 'Bill Des Rosiers')"
,,,Vince Spagnoletti,"('Jason Ballard', 'Linda Knowles')","('Jeff Heller', 'John DiBona')"
,,,Betty Wahling,"('Jason Ballard', 'Susan Multer')","('Jeff Heller', 'Linda Terrabrella')"
,,,Sherri Balam,"('Jason Ballard', 'Peter Gamba')","('Jeff Heller', 'Ed Young')"
,,,Sarah Michaelson,"('Jason Ballard', 'Neil Vitale')","('Jeff Heller', 'Brian Snyder')"
,,,Tom Scott,"('Jason Ballard', 'Terry Gibson')","('Jeff Heller', 'Rob Louden')"
,,,John Ingle,"('Jason Ballard', 'Mark Alger')","('Jeff Heller', 'Deb DiBona')"
,,,Robert Kemp,"('Jason Ballard', 'Richard Musso')","('Jeff Heller', 'Vince Spagnoletti')"
,,,John Wahlig,"('Jason Ballard', 'Nancy Cole')","('Jeff Heller', 'Betty Wahling')"
,,,Jennifer Prossick,"('Jason Ballard', 'Kate Bartholomew')","('Jeff Heller', 'Peter Gamba')"
,,,Alyse Irwin,"('Jason Ballard', 'George Winner')","('Jeff Heller', 'Terry Gibson')"
,,,Jonathan Barter,"('Jason Ballard', 'Matt Sheppard')","('Jeff Heller', 'Sherri Balam')"
,,,Chuck Morse,"('Jason Ballard', 'Donna Conley')","('Jeff Heller', 'Sarah Michaelson')"
,,,Gary McDowell,"('Jason Ballard', 'Nate Shinagawa')","('Jeff Heller', 'Tom Scott')"
,,,Richard French,"('Jason Ballard', 'Jeff Andrysick')","('Jeff Heller', 'Jeff Andrysick')"
,,,Andy Lewis,"('Jason Ballard', 'John Leyden')","('Jeff Heller', 'John Ingle')"
,,,Judy Withers,"('Jason Ballard', 'Michael Christensen')","('Jeff Heller', 'Robert Kemp')"
,,,David Spigelmeyer,"('Jason Ballard', 'Joe Hoff')","('Jeff Heller', 'John Wahlig')"
,,,Stacey Forenz,"('Jason Ballard', 'Steve Butchko')","('Jeff Heller', 'Jennifer Prossick')"
,,,Joyce Apenowich,"('Jason Ballard', 'Ed Brockman')","('Jeff Heller', 'Alyse Irwin')"
,,,Maria Bond,"('Jason Ballard', 'Robert Nichols')","('Jeff Heller', 'Jonathan Barter')"
,,,Barbara Gregg,"('Jason Ballard', 'Eric Massa')","('Jeff Heller', 'Chuck Morse')"
,,,Alan Vyverberg,"('Jason Ballard', 'Vincent Spagnoletti')","('Jeff Heller', 'Gary McDowell')"
,,,Gaylyne Smith,"('Jason Ballard', 'William Weber')","('Jeff Heller', 'Richard French')"
,,,James Barr,"('Jason Ballard', 'Liz Ryder')","('Jeff Heller', 'Andy Lewis')"
,,,Holly Philips,"('Jason Ballard', 'Jodi Andrysick')","('Jeff Heller', 'Judy Withers')"
,,,James Northrop,"('Jason Ballard', 'Yancey Roy')","('Jeff Heller', 'David Spigelmeyer')"
,,,Elizabeth Snyder,"('Jason Ballard', 'Jane Russell')","('Jeff Heller', 'Stacey Forenz')"
,,,Carolyn Kendjarski,"('Jason Ballard', 'Marcia Burns')","('Jeff Heller', 'Joyce Apenowich')"
,,,Jim Howe,"('Jason Ballard', 'Joseph Welch')","('Jeff Heller', 'Maria Bond')"
,,,Kathleen Bergstresser,"('Jason Ballard', 'Steve Coffman')","('Jeff Heller', 'Barbara Gregg')"
,,,Joseph Hoff,"('Aubrey McClendon', 'Scott Foti')","('Jeff Heller', 'Alan Vyverberg')"
,,,Anthony Lipani,"('Aubrey McClendon', 'Rachel Treichler')","('Jeff Heller', 'Gaylyne Smith')"
,,,Erin Rafalowski,"('Aubrey McClendon', 'Jean Wosinski')","('Jeff Heller', 'James Barr')"
,,,,"('Aubrey McClendon', 'Mark Morris')","('Jeff Heller', 'Holly Philips')"
,,,,"('Aubrey McClendon', 'Joe Sempolinski')","('Jeff Heller', 'James Northrop')"
,,,,"('Aubrey McClendon', 'Janet Stone')","('Jeff Heller', 'Elizabeth Snyder')"
,,,,"('Aubrey McClendon', 'Ed Blume')","('Jeff Heller', 'Carolyn Kendjarski')"
,,,,"('Aubrey McClendon', 'David Reeve')","('Jeff Heller', 'Jim Howe')"
,,,,"('Aubrey McClendon', 'Joyce Hunt')","('Jeff Heller', 'Kathleen Bergstresser')"
,,,,"('Aubrey McClendon', 'Linda Knowles')","('Jeff Heller', 'Joseph Hoff')"
,,,,"('Aubrey McClendon', 'Susan Multer')","('Jeff Heller', 'Anthony Lipani')"
,,,,"('Aubrey McClendon', 'Peter Gamba')","('Jeff Heller', 'Jane Russell')"
,,,,"('Aubrey McClendon', 'Neil Vitale')","('Jeff Heller', 'Erin Rafalowski')"
,,,,"('Aubrey McClendon', 'Terry Gibson')","('Fred Frank', 'Nancy Bach')"
,,,,"('Aubrey McClendon', 'Mark Alger')","('Fred Frank', 'Junior Gibson')"
,,,,"('Aubrey McClendon', 'Richard Musso')","('Fred Frank', 'Janet Stone')"
,,,,"('Aubrey McClendon', 'Nancy Cole')","('Fred Frank', 'John Eckel')"
,,,,"('Aubrey McClendon', 'Kate Bartholomew')","('Fred Frank', 'Mike Hanna')"
,,,,"('Aubrey McClendon', 'George Winner')","('Fred Frank', 'David Slottje')"
,,,,"('Aubrey McClendon', 'Matt Sheppard')","('Fred Frank', 'John Vyverberg')"
,,,,"('Aubrey McClendon', 'Donna Conley')","('Fred Frank', 'Scott Cline')"
,,,,"('Aubrey McClendon', 'Nate Shinagawa')","('Fred Frank', 'Ardys Boostrom')"
,,,,"('Aubrey McClendon', 'Jeff Andrysick')","('Fred Frank', 'James Howic')"
,,,,"('Aubrey McClendon', 'John Leyden')","('Fred Frank', 'Mark Schlecter')"
,,,,"('Aubrey McClendon', 'Michael Christensen')","('Fred Frank', 'Nancy Cole')"
,,,,"('Aubrey McClendon', 'Joe Hoff')","('Fred Frank', 'David Ballard')"
