Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Dick Lape,"('Don Airey', 'Cindy Ivey')",Dick Downey,Jeff Haslun,"('Dick Downey', 'Martin Galasso')","('Jeff Haslun', 'Mrs Sternheimer')"
Cindy Ivey,"('Dick Lape', 'Mark Galasso')",Martin Galasso,Artie Swenson,"('Dick Downey', 'Howard Zucker')","('Jeff Haslun', 'Artie Swenson')"
Mark Galasso,"('Robert Nied', 'Don Airey')",Howard Zucker,Harold Loder,"('Dick Downey', 'Anne Marie Garti')","('Jeff Haslun', 'Harold Loder')"
Don Airey,"('Robert Nied', 'Mark Galasso')",Anne Marie Garti,Eric Haslum,"('Dick Downey', 'George Busch')","('Jeff Haslun', 'Eric Haslum')"
Robert Nied,"('Don Airey', 'Mark Galasso')",George Busch,Jim Tiner,"('Dick Downey', 'Anthony VanGlad')","('Jeff Haslun', 'Robert Nied')"
,"('Robert Nied', 'Cindy Ivey')",Anthony VanGlad,Mrs Sternheimer,"('Dick Downey', 'Carl Barbic')","('Jeff Haslun', 'Jim Tiner')"
,"('Dick Lape', 'Cindy Ivey')",Carl Barbic,David Slottje,"('Dick Downey', 'August Galasso')","('Jeff Haslun', 'David Slottje')"
,,August Galasso,Laure Reed,"('Dick Downey', 'James Ward')","('Jeff Haslun', 'Laure Reed')"
,,James Ward,Kevin Neary,"('Dick Downey', 'John Faso')","('Jeff Haslun', 'Kevin Neary')"
,,John Faso,Theresa Swenson,"('Dick Downey', 'Edward Sisson')","('Jeff Haslun', 'Theresa Swenson')"
,,Edward Sisson,Todd Sperbeck,"('Dick Downey', 'Ron Jordan')","('Jeff Haslun', 'Todd Sperbeck')"
,,Ron Jordan,Jim Cole,"('Dick Downey', 'Joe Martens')","('Jeff Haslun', 'Don Airey')"
,,Joe Martens,Lynnette Kubat,"('Dick Downey', 'Gary Anderson')","('Jeff Haslun', 'Jim Cole')"
