Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Katelin Palmeter,"('Katelin Palmeter', 'Richard Congdon')",John Nahill,David Malone,"('John Nahill', 'Leon Newswanger')","('David Malone', 'Patterson')"
John Mowers,"('David Slottje', 'Richard Congdon')",Leon Newswanger,Patterson,"('John Nahill', 'Donna Loucks')","('David Malone', 'Pauline Williams')"
David Slottje,"('David Slottje', 'Robert Scanlon')",Donna Loucks,Pauline Williams,"('John Nahill', 'David Slottje')","('David Malone', 'Katelin Palmeter')"
Richard Congdon,"('Robert Scanlon', 'Colleen Walrath')",Bill Timmerman,Christopher Simpson,"('John Nahill', 'Bill Timmerman')","('David Malone', 'Christopher Simpson')"
Robert Scanlon,"('David Slottje', 'Colleen Walrath')",Betty Darling,Karen Yomboro,"('John Nahill', 'Betty Darling')","('David Malone', 'Karen Yomboro')"
Colleen Walrath,"('John Mowers', 'Richard Congdon')",Rebecca Newswanger,Gary Farquhar,"('John Nahill', 'Rebecca Newswanger')","('David Malone', 'Gary Farquhar')"
,"('Katelin Palmeter', 'Colleen Walrath')",Scott Stowell,James Seward,"('John Nahill', 'Scott Stowell')","('David Malone', 'John Mowers')"
,"('Katelin Palmeter', 'John Mowers')",Barbara Boucher,Charles Kuehnle,"('John Nahill', 'Katelin Palmeter')","('David Malone', 'David Slottje')"
,"('Katelin Palmeter', 'Robert Scanlon')",Bruce Lyon,,"('John Nahill', 'Barbara Boucher')","('David Malone', 'Richard Congdon')"
,,Robyn Cadwell,,"('John Nahill', 'Bruce Lyon')","('David Malone', 'Robert Scanlon')"
,,Anne Wavra,,"('John Nahill', 'Robyn Cadwell')","('David Malone', 'James Seward')"
,,Sharon Baisley,,"('John Nahill', 'Robert Scanlon')","('David Malone', 'Charles Kuehnle')"
,,Norman Mastromoro,,"('John Nahill', 'Anne Wavra')","('David Malone', 'Colleen Walrath')"
,,Alex Yomboro,,"('John Nahill', 'Sharon Baisley')","('Patterson', 'Pauline Williams')"
,,Lia Marrero,,"('John Nahill', 'Norman Mastromoro')","('Patterson', 'Katelin Palmeter')"
,,John Haughton,,"('John Nahill', 'Colleen Walrath')","('Patterson', 'Christopher Simpson')"
,,Jan Murphy,,"('John Nahill', 'Alex Yomboro')","('Patterson', 'Karen Yomboro')"
,,Ken Ayers,,"('John Nahill', 'Lia Marrero')","('Patterson', 'Gary Farquhar')"
,,Karin Yomboro,,"('John Nahill', 'John Haughton')","('Patterson', 'John Mowers')"
,,Carl Stallman,,"('John Nahill', 'Jan Murphy')","('Patterson', 'David Slottje')"
,,,,"('John Nahill', 'Ken Ayers')","('Patterson', 'Richard Congdon')"
,,,,"('John Nahill', 'Karin Yomboro')","('Patterson', 'Robert Scanlon')"
,,,,"('John Nahill', 'John Mowers')","('Patterson', 'James Seward')"
,,,,"('John Nahill', 'Richard Congdon')","('Patterson', 'Charles Kuehnle')"
,,,,"('John Nahill', 'Carl Stallman')","('Patterson', 'Colleen Walrath')"
,,,,"('Leon Newswanger', 'Donna Loucks')","('Pauline Williams', 'Katelin Palmeter')"
,,,,"('Leon Newswanger', 'David Slottje')","('Pauline Williams', 'Christopher Simpson')"
,,,,"('Leon Newswanger', 'Bill Timmerman')","('Pauline Williams', 'Karen Yomboro')"
,,,,"('Leon Newswanger', 'Betty Darling')","('Pauline Williams', 'Gary Farquhar')"
,,,,"('Leon Newswanger', 'Rebecca Newswanger')","('Pauline Williams', 'John Mowers')"
,,,,"('Leon Newswanger', 'Scott Stowell')","('Pauline Williams', 'David Slottje')"
,,,,"('Leon Newswanger', 'Katelin Palmeter')","('Pauline Williams', 'Richard Congdon')"
,,,,"('Leon Newswanger', 'Barbara Boucher')","('Pauline Williams', 'Robert Scanlon')"
,,,,"('Leon Newswanger', 'Bruce Lyon')","('Pauline Williams', 'James Seward')"
,,,,"('Leon Newswanger', 'Robyn Cadwell')","('Pauline Williams', 'Charles Kuehnle')"
,,,,"('Leon Newswanger', 'Robert Scanlon')","('Pauline Williams', 'Colleen Walrath')"
,,,,"('Leon Newswanger', 'Anne Wavra')","('Katelin Palmeter', 'Christopher Simpson')"
,,,,"('Leon Newswanger', 'Sharon Baisley')","('Katelin Palmeter', 'Karen Yomboro')"
,,,,"('Leon Newswanger', 'Norman Mastromoro')","('Katelin Palmeter', 'Gary Farquhar')"
,,,,"('Leon Newswanger', 'Colleen Walrath')","('Katelin Palmeter', 'David Slottje')"
,,,,"('Leon Newswanger', 'Alex Yomboro')","('Katelin Palmeter', 'James Seward')"
,,,,"('Leon Newswanger', 'Lia Marrero')","('Katelin Palmeter', 'Charles Kuehnle')"
,,,,"('Leon Newswanger', 'John Haughton')","('Christopher Simpson', 'Karen Yomboro')"
,,,,"('Leon Newswanger', 'Jan Murphy')","('Christopher Simpson', 'Gary Farquhar')"
,,,,"('Leon Newswanger', 'Ken Ayers')","('Christopher Simpson', 'John Mowers')"
,,,,"('Leon Newswanger', 'Karin Yomboro')","('Christopher Simpson', 'David Slottje')"
,,,,"('Leon Newswanger', 'John Mowers')","('Christopher Simpson', 'Richard Congdon')"
,,,,"('Leon Newswanger', 'Richard Congdon')","('Christopher Simpson', 'Robert Scanlon')"
,,,,"('Leon Newswanger', 'Carl Stallman')","('Christopher Simpson', 'James Seward')"
,,,,"('Donna Loucks', 'David Slottje')","('Christopher Simpson', 'Charles Kuehnle')"
,,,,"('Donna Loucks', 'Bill Timmerman')","('Christopher Simpson', 'Colleen Walrath')"
,,,,"('Donna Loucks', 'Betty Darling')","('Karen Yomboro', 'Gary Farquhar')"
,,,,"('Donna Loucks', 'Rebecca Newswanger')","('Karen Yomboro', 'John Mowers')"
,,,,"('Donna Loucks', 'Scott Stowell')","('Karen Yomboro', 'David Slottje')"
,,,,"('Donna Loucks', 'Katelin Palmeter')","('Karen Yomboro', 'Richard Congdon')"
