Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Carol Chase,"('Carol Chase', 'Daniel Ripley')",Ellen Harrison,Mary Osgood,"('Ellen Harrison', 'Frank Ray')","('Carol Chase', 'Mary Osgood')"
Daniel Ripley,"('Carol Chase', 'Duane Reynolds')",Frank Ray,Doug Staley,"('Ellen Harrison', 'Carol Chase')","('Carol Chase', 'Doug Staley')"
Amie Prince,"('Carol Chase', 'Amie Prince')",Barbara Lifton,Michael Bidwell,"('Ellen Harrison', 'Barbara Lifton')","('Carol Chase', 'Michael Bidwell')"
Duane Reynolds,"('Carol Chase', 'Charles Ripley')",Barbara Harvey,Michael Passalugo,"('Ellen Harrison', 'Barbara Harvey')","('Carol Chase', 'Michael Passalugo')"
Charles Ripley,"('Daniel Ripley', 'Amie Prince')",Jim Weiss,Dorothy Gavrielides,"('Ellen Harrison', 'Jim Weiss')","('Carol Chase', 'Dorothy Gavrielides')"
,"('Daniel Ripley', 'Duane Reynolds')",Jim Sewards,David Slottje,"('Ellen Harrison', 'Jim Sewards')","('Carol Chase', 'David Slottje')"
,,Joe Pullman,Christopher Ryan,"('Ellen Harrison', 'Daniel Ripley')","('Carol Chase', 'Christopher Ryan')"
,,Maryfaith Miller,Ted Norman,"('Ellen Harrison', 'Amie Prince')","('Carol Chase', 'Ted Norman')"
,,Susan Stout,Guy Krogh,"('Ellen Harrison', 'Duane Reynolds')","('Carol Chase', 'Guy Krogh')"
,,,Shannon Caldwell,"('Ellen Harrison', 'Joe Pullman')","('Carol Chase', 'Shannon Caldwell')"
,,,Helen Slottje,"('Ellen Harrison', 'Charles Ripley')","('Carol Chase', 'Helen Slottje')"
,,,,"('Ellen Harrison', 'Maryfaith Miller')","('Mary Osgood', 'Doug Staley')"
,,,,"('Ellen Harrison', 'Susan Stout')","('Mary Osgood', 'Michael Bidwell')"
,,,,"('Frank Ray', 'Carol Chase')","('Mary Osgood', 'Michael Passalugo')"
,,,,"('Frank Ray', 'Barbara Lifton')","('Mary Osgood', 'Charles Ripley')"
,,,,"('Frank Ray', 'Barbara Harvey')","('Mary Osgood', 'Dorothy Gavrielides')"
,,,,"('Frank Ray', 'Jim Weiss')","('Mary Osgood', 'Daniel Ripley')"
,,,,"('Frank Ray', 'Jim Sewards')","('Mary Osgood', 'David Slottje')"
,,,,"('Frank Ray', 'Daniel Ripley')","('Mary Osgood', 'Duane Reynolds')"
,,,,"('Frank Ray', 'Amie Prince')","('Mary Osgood', 'Christopher Ryan')"
,,,,"('Frank Ray', 'Duane Reynolds')","('Mary Osgood', 'Ted Norman')"
,,,,"('Frank Ray', 'Joe Pullman')","('Mary Osgood', 'Amie Prince')"
,,,,"('Frank Ray', 'Charles Ripley')","('Mary Osgood', 'Guy Krogh')"
,,,,"('Frank Ray', 'Maryfaith Miller')","('Mary Osgood', 'Shannon Caldwell')"
,,,,"('Frank Ray', 'Susan Stout')","('Mary Osgood', 'Helen Slottje')"
,,,,"('Carol Chase', 'Barbara Lifton')","('Doug Staley', 'Michael Bidwell')"
,,,,"('Carol Chase', 'Barbara Harvey')","('Doug Staley', 'Michael Passalugo')"
,,,,"('Carol Chase', 'Jim Weiss')","('Doug Staley', 'Charles Ripley')"
,,,,"('Carol Chase', 'Jim Sewards')","('Doug Staley', 'Dorothy Gavrielides')"
,,,,"('Carol Chase', 'Joe Pullman')","('Doug Staley', 'Daniel Ripley')"
,,,,"('Carol Chase', 'Maryfaith Miller')","('Doug Staley', 'David Slottje')"
,,,,"('Carol Chase', 'Susan Stout')","('Doug Staley', 'Duane Reynolds')"
,,,,"('Barbara Lifton', 'Barbara Harvey')","('Doug Staley', 'Christopher Ryan')"
,,,,"('Barbara Lifton', 'Jim Weiss')","('Doug Staley', 'Ted Norman')"
,,,,"('Barbara Lifton', 'Jim Sewards')","('Doug Staley', 'Amie Prince')"
,,,,"('Barbara Lifton', 'Daniel Ripley')","('Doug Staley', 'Guy Krogh')"
,,,,"('Barbara Lifton', 'Amie Prince')","('Doug Staley', 'Shannon Caldwell')"
,,,,"('Barbara Lifton', 'Duane Reynolds')","('Doug Staley', 'Helen Slottje')"
,,,,"('Barbara Lifton', 'Joe Pullman')","('Michael Bidwell', 'Michael Passalugo')"
,,,,"('Barbara Lifton', 'Charles Ripley')","('Michael Bidwell', 'Charles Ripley')"
,,,,"('Barbara Lifton', 'Maryfaith Miller')","('Michael Bidwell', 'Dorothy Gavrielides')"
,,,,"('Barbara Lifton', 'Susan Stout')","('Michael Bidwell', 'Daniel Ripley')"
,,,,"('Barbara Harvey', 'Jim Weiss')","('Michael Bidwell', 'David Slottje')"
,,,,"('Barbara Harvey', 'Jim Sewards')","('Michael Bidwell', 'Duane Reynolds')"
,,,,"('Barbara Harvey', 'Daniel Ripley')","('Michael Bidwell', 'Christopher Ryan')"
,,,,"('Barbara Harvey', 'Amie Prince')","('Michael Bidwell', 'Ted Norman')"
,,,,"('Barbara Harvey', 'Duane Reynolds')","('Michael Bidwell', 'Amie Prince')"
,,,,"('Barbara Harvey', 'Joe Pullman')","('Michael Bidwell', 'Guy Krogh')"
,,,,"('Barbara Harvey', 'Charles Ripley')","('Michael Bidwell', 'Shannon Caldwell')"
,,,,"('Barbara Harvey', 'Maryfaith Miller')","('Michael Bidwell', 'Helen Slottje')"
,,,,"('Barbara Harvey', 'Susan Stout')","('Michael Passalugo', 'Charles Ripley')"
,,,,"('Jim Weiss', 'Maryfaith Miller')","('Michael Passalugo', 'Dorothy Gavrielides')"
