Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Thomas Libous,,Bob Jones,Barbara Haywood,"('Bob Jones', 'Richard Decke')","('Barbara Haywood', 'Mat Standland')"
,,Richard Decke,Mat Standland,"('Bob Jones', 'Ryan Holbrook')","('Barbara Haywood', 'Farrell')"
,,Ryan Holbrook,Farrell,"('Bob Jones', 'Thomas Santulli')","('Barbara Haywood', 'Robert Bell')"
,,Thomas Santulli,Robert Bell,"('Bob Jones', 'Christopher Denton')","('Barbara Haywood', 'Catalano')"
,,Christopher Denton,Catalano,"('Bob Jones', 'Michael Bopp')","('Barbara Haywood', 'Hyatt')"
,,Michael Bopp,Hyatt,"('Bob Jones', 'Nick Schoonover')","('Barbara Haywood', 'Sullivan')"
,,Nick Schoonover,Sullivan,"('Bob Jones', 'Robert Moore')","('Barbara Haywood', 'Barnes')"
,,Robert Moore,Barnes,"('Bob Jones', 'Michael Donaher')","('Barbara Haywood', 'Karen Manwaring')"
,,Michael Donaher,Karen Manwaring,"('Bob Jones', 'Emmanuel Priest')","('Barbara Haywood', 'Daniel Manwaring')"
,,Emmanuel Priest,Drew Griffin,"('Bob Jones', 'Kevin McLoughlin')","('Barbara Haywood', 'Thomas Libous')"
,,Kevin McLoughlin,Karin Weaver,"('Bob Jones', 'Terry Bliss')","('Barbara Haywood', 'Karin Weaver')"
,,Terry Bliss,Chrzanowski,"('Bob Jones', 'Dan Lamb')","('Barbara Haywood', 'Chrzanowski')"
,,Dan Lamb,Daniel Manwaring,"('Bob Jones', 'Mina Takahashi')","('Barbara Haywood', 'Drew Griffin')"
,,Mina Takahashi,Zorn,"('Bob Jones', 'Richard Lasky')","('Barbara Haywood', 'Zorn')"
,,Richard Lasky,Strong,"('Bob Jones', 'Donna Jones')","('Barbara Haywood', 'Strong')"
,,Donna Jones,Barbara Hayward,"('Bob Jones', 'Peter Lopez')","('Barbara Haywood', 'Barbara Hayward')"
,,Peter Lopez,Klossner,"('Bob Jones', 'Charles Rowe')","('Barbara Haywood', 'Klossner')"
,,Charles Rowe,,"('Bob Jones', 'Robert Williams')","('Mat Standland', 'Farrell')"
,,Robert Williams,,"('Bob Jones', 'Anna Scorza')","('Mat Standland', 'Robert Bell')"
,,Anna Scorza,,"('Bob Jones', 'Fred Heisler')","('Mat Standland', 'Catalano')"
,,Fred Heisler,,"('Bob Jones', 'Brian Brock')","('Mat Standland', 'Hyatt')"
,,Brian Brock,,"('Bob Jones', 'Lou Allstadt')","('Mat Standland', 'Sullivan')"
,,Lou Allstadt,,"('Bob Jones', 'Brett Chedzoy')","('Mat Standland', 'Barnes')"
,,Brett Chedzoy,,"('Bob Jones', 'Greg LaMonica')","('Mat Standland', 'Karen Manwaring')"
,,Greg LaMonica,,"('Bob Jones', 'Emily DeSantis')","('Mat Standland', 'Drew Griffin')"
,,Emily DeSantis,,"('Bob Jones', 'Howard Leib')","('Mat Standland', 'Thomas Libous')"
,,Howard Leib,,"('Bob Jones', 'Nirav Shah')","('Mat Standland', 'Karin Weaver')"
,,Nirav Shah,,"('Bob Jones', 'Randy Gibbon')","('Mat Standland', 'Chrzanowski')"
,,Randy Gibbon,,"('Bob Jones', 'Thomas West')","('Mat Standland', 'Daniel Manwaring')"
,,Thomas West,,"('Bob Jones', 'Thomas Libous')","('Mat Standland', 'Zorn')"
,,Andrew Cuomo,,"('Bob Jones', 'Andrew Cuomo')","('Mat Standland', 'Strong')"
,,Christine Brunner,,"('Bob Jones', 'Christine Brunner')","('Mat Standland', 'Barbara Hayward')"
,,Barabara Collins,,"('Bob Jones', 'Barabara Collins')","('Mat Standland', 'Klossner')"
,,Stan Lundine,,"('Bob Jones', 'Stan Lundine')","('Farrell', 'Robert Bell')"
,,Kathleen McGinty,,"('Bob Jones', 'Kathleen McGinty')","('Farrell', 'Catalano')"
,,Brian Conover,,"('Bob Jones', 'Brian Conover')","('Farrell', 'Hyatt')"
,,Jeffrey Jacquet,,"('Bob Jones', 'Jeffrey Jacquet')","('Farrell', 'Sullivan')"
,,Matt Ryan,,"('Bob Jones', 'Matt Ryan')","('Farrell', 'Barnes')"
,,Eric Goldstein,,"('Bob Jones', 'Eric Goldstein')","('Farrell', 'Karen Manwaring')"
,,Richard Snyder,,"('Bob Jones', 'Richard Snyder')","('Farrell', 'Drew Griffin')"
,,Dennis McCabe,,"('Bob Jones', 'Dennis McCabe')","('Farrell', 'Thomas Libous')"
,,Kevin McCabe,,"('Bob Jones', 'Kevin McCabe')","('Farrell', 'Karin Weaver')"
,,Bryant Latourette,,"('Bob Jones', 'Bryant Latourette')","('Farrell', 'Chrzanowski')"
,,Bradd Vickers,,"('Bob Jones', 'Bradd Vickers')","('Farrell', 'Daniel Manwaring')"
,,Mark Sexton,,"('Bob Jones', 'Mark Sexton')","('Farrell', 'Zorn')"
,,Brad Gill,,"('Bob Jones', 'Brad Gill')","('Farrell', 'Strong')"
,,Rena Doing,,"('Bob Jones', 'Rena Doing')","('Farrell', 'Barbara Hayward')"
,,Arrington Canor,,"('Bob Jones', 'Arrington Canor')","('Farrell', 'Klossner')"
,,Kate Sindling,,"('Bob Jones', 'Kate Sindling')","('Robert Bell', 'Catalano')"
,,Jeff Williams,,"('Bob Jones', 'Jeff Williams')","('Robert Bell', 'Hyatt')"
,,Barbara Schindler,,"('Bob Jones', 'Barbara Schindler')","('Robert Bell', 'Sullivan')"
,,Irving Wesley Hall,,"('Bob Jones', 'Irving Wesley Hall')","('Robert Bell', 'Barnes')"
,,Heather Briccetti,,"('Bob Jones', 'Heather Briccetti')","('Robert Bell', 'Karen Manwaring')"
,,Elaine Jardine,,"('Bob Jones', 'Elaine Jardine')","('Robert Bell', 'Drew Griffin')"
,,Richard Hanna,,"('Bob Jones', 'Richard Hanna')","('Robert Bell', 'Thomas Libous')"
,,David Hurd,,"('Bob Jones', 'David Hurd')","('Robert Bell', 'Karin Weaver')"
,,Scott Kurkoski,,"('Bob Jones', 'Scott Kurkoski')","('Robert Bell', 'Chrzanowski')"
,,Clifford Crouch,,"('Bob Jones', 'Clifford Crouch')","('Robert Bell', 'Daniel Manwaring')"
,,Edward Downey,,"('Bob Jones', 'Edward Downey')","('Robert Bell', 'Zorn')"
,,Jennifer Tavares,,"('Bob Jones', 'Jennifer Tavares')","('Robert Bell', 'Strong')"
,,Ken Fogarty,,"('Bob Jones', 'Ken Fogarty')","('Robert Bell', 'Barbara Hayward')"
,,Tony Avella,,"('Bob Jones', 'Tony Avella')","('Robert Bell', 'Klossner')"
,,Jerry Action,,"('Bob Jones', 'Jerry Action')","('Catalano', 'Hyatt')"
,,Isaac Silberman Gorn,,"('Bob Jones', 'Isaac Silberman Gorn')","('Catalano', 'Sullivan')"
,,Joe Martens,,"('Bob Jones', 'Joe Martens')","('Catalano', 'Barnes')"
,,Anna Stark,,"('Bob Jones', 'Anna Stark')","('Catalano', 'Karen Manwaring')"
,,Logan Adsit,,"('Bob Jones', 'Logan Adsit')","('Catalano', 'Daniel Manwaring')"
,,Steven Palmatier,,"('Bob Jones', 'Steven Palmatier')","('Catalano', 'Thomas Libous')"
,,James Bays,,"('Bob Jones', 'James Bays')","('Catalano', 'Karin Weaver')"
,,Arun Gandhi,,"('Bob Jones', 'Arun Gandhi')","('Catalano', 'Chrzanowski')"
,,Carl Chipman,,"('Bob Jones', 'Carl Chipman')","('Catalano', 'Drew Griffin')"
,,Robert Hallman,,"('Bob Jones', 'Robert Hallman')","('Catalano', 'Zorn')"
,,Dan Fitzsimmons,,"('Bob Jones', 'Dan Fitzsimmons')","('Catalano', 'Strong')"
,,Susan Oliver,,"('Bob Jones', 'Susan Oliver')","('Catalano', 'Barbara Hayward')"
,,Martin Dietrich,,"('Bob Jones', 'Martin Dietrich')","('Catalano', 'Klossner')"
,,Donna Lupardo,,"('Bob Jones', 'Donna Lupardo')","('Hyatt', 'Sullivan')"
,,Nicole Franzese,,"('Bob Jones', 'Nicole Franzese')","('Hyatt', 'Barnes')"
,,Sandra Steingraber,,"('Bob Jones', 'Sandra Steingraber')","('Hyatt', 'Karen Manwaring')"
,,Mark Brownstein,,"('Bob Jones', 'Mark Brownstein')","('Hyatt', 'Drew Griffin')"
,,David Paterson,,"('Bob Jones', 'David Paterson')","('Hyatt', 'Thomas Libous')"
,,Walter Hang,,"('Bob Jones', 'Walter Hang')","('Hyatt', 'Karin Weaver')"
,,Dennis Holbrook,,"('Bob Jones', 'Dennis Holbrook')","('Hyatt', 'Chrzanowski')"
,,Nathanial Emerson,,"('Bob Jones', 'Nathanial Emerson')","('Hyatt', 'Daniel Manwaring')"
,,Scott Ingmire,,"('Bob Jones', 'Scott Ingmire')","('Hyatt', 'Zorn')"
,,Peter Hudiburg,,"('Bob Jones', 'Peter Hudiburg')","('Hyatt', 'Strong')"
,,Gary Finch,,"('Bob Jones', 'Gary Finch')","('Hyatt', 'Barbara Hayward')"
,,Robert Catell,,"('Bob Jones', 'Robert Catell')","('Hyatt', 'Klossner')"
,,George Raymond III,,"('Bob Jones', 'George Raymond III')","('Sullivan', 'Barnes')"
,,Maureen Carpenter,,"('Bob Jones', 'Maureen Carpenter')","('Sullivan', 'Karen Manwaring')"
,,Joseph Maiurano,,"('Bob Jones', 'Joseph Maiurano')","('Sullivan', 'Drew Griffin')"
,,Mark Dice,,"('Bob Jones', 'Mark Dice')","('Sullivan', 'Thomas Libous')"
,,David Law,,"('Bob Jones', 'David Law')","('Sullivan', 'Karin Weaver')"
,,Frank Evangelisti,,"('Bob Jones', 'Frank Evangelisti')","('Sullivan', 'Chrzanowski')"
,,Robert Kennedy,,"('Bob Jones', 'Robert Kennedy')","('Sullivan', 'Daniel Manwaring')"
,,Mark Boling,,"('Bob Jones', 'Mark Boling')","('Sullivan', 'Zorn')"
,,,,"('Richard Decke', 'Ryan Holbrook')","('Sullivan', 'Strong')"
,,,,"('Richard Decke', 'Thomas Santulli')","('Sullivan', 'Barbara Hayward')"
,,,,"('Richard Decke', 'Christopher Denton')","('Sullivan', 'Klossner')"
,,,,"('Richard Decke', 'Michael Bopp')","('Barnes', 'Karen Manwaring')"
,,,,"('Richard Decke', 'Nick Schoonover')","('Barnes', 'Daniel Manwaring')"
,,,,"('Richard Decke', 'Robert Moore')","('Barnes', 'Thomas Libous')"
,,,,"('Richard Decke', 'Michael Donaher')","('Barnes', 'Karin Weaver')"
,,,,"('Richard Decke', 'Emmanuel Priest')","('Barnes', 'Chrzanowski')"
,,,,"('Richard Decke', 'Kevin McLoughlin')","('Barnes', 'Drew Griffin')"
,,,,"('Richard Decke', 'Terry Bliss')","('Barnes', 'Zorn')"
,,,,"('Richard Decke', 'Dan Lamb')","('Barnes', 'Strong')"
,,,,"('Richard Decke', 'Mina Takahashi')","('Barnes', 'Barbara Hayward')"
,,,,"('Richard Decke', 'Richard Lasky')","('Barnes', 'Klossner')"
,,,,"('Richard Decke', 'Donna Jones')","('Karen Manwaring', 'Drew Griffin')"
,,,,"('Richard Decke', 'Peter Lopez')","('Karen Manwaring', 'Thomas Libous')"
,,,,"('Richard Decke', 'Charles Rowe')","('Karen Manwaring', 'Karin Weaver')"
,,,,"('Richard Decke', 'Robert Williams')","('Karen Manwaring', 'Chrzanowski')"
,,,,"('Richard Decke', 'Anna Scorza')","('Karen Manwaring', 'Daniel Manwaring')"
,,,,"('Richard Decke', 'Fred Heisler')","('Karen Manwaring', 'Zorn')"
,,,,"('Richard Decke', 'Brian Brock')","('Karen Manwaring', 'Strong')"
,,,,"('Richard Decke', 'Lou Allstadt')","('Karen Manwaring', 'Barbara Hayward')"
,,,,"('Richard Decke', 'Brett Chedzoy')","('Karen Manwaring', 'Klossner')"
,,,,"('Richard Decke', 'Greg LaMonica')","('Drew Griffin', 'Thomas Libous')"
,,,,"('Richard Decke', 'Emily DeSantis')","('Drew Griffin', 'Karin Weaver')"
,,,,"('Richard Decke', 'Howard Leib')","('Drew Griffin', 'Chrzanowski')"
,,,,"('Richard Decke', 'Nirav Shah')","('Drew Griffin', 'Daniel Manwaring')"
,,,,"('Richard Decke', 'Randy Gibbon')","('Drew Griffin', 'Zorn')"
,,,,"('Richard Decke', 'Thomas West')","('Drew Griffin', 'Strong')"
,,,,"('Richard Decke', 'Thomas Libous')","('Drew Griffin', 'Barbara Hayward')"
,,,,"('Richard Decke', 'Andrew Cuomo')","('Drew Griffin', 'Klossner')"
,,,,"('Richard Decke', 'Christine Brunner')","('Thomas Libous', 'Karin Weaver')"
,,,,"('Richard Decke', 'Barabara Collins')","('Thomas Libous', 'Chrzanowski')"
