Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
John Orzel,,Jeff Decker,Stephen Doherty,"('Jeff Decker', 'Matthew Ryan')","('Stephen Doherty', 'Ron Kleiber')"
,,Walter Hang,Ron Kleiber,"('Jeff Decker', 'Walter Hang')","('Stephen Doherty', 'Jim Johnston')"
,,Dan Fitzsimmons,Jim Johnston,"('Jeff Decker', 'Dan Fitzsimmons')","('Stephen Doherty', 'Pearis')"
,,Jackie Root,Pearis,"('Jeff Decker', 'Jackie Root')","('Stephen Doherty', 'Mark Mesceda')"
,,Chris Denton,Mark Mesceda,"('Jeff Decker', 'Chris Denton')","('Stephen Doherty', 'Brett Wightman')"
,,Carrie Czebiniak,Brett Wightman,"('Jeff Decker', 'Carrie Czebiniak')","('Stephen Doherty', 'Joan Koster')"
,,Jon Campbell,Joan Koster,"('Jeff Decker', 'Jon Campbell')","('Stephen Doherty', 'Vito Randazzi')"
,,Nick Schoonover,Vito Randazzi,"('Jeff Decker', 'Nick Schoonover')","('Stephen Doherty', 'Mary Mesceda Knoop')"
,,Matthew Ryan,Mary Mesceda Knoop,"('Jeff Decker', 'Jim Worden')","('Stephen Doherty', 'Bob Williams')"
,,Jim Worden,Bob Williams,"('Jeff Decker', 'Don Zaengle')","('Stephen Doherty', 'Charlie Slack')"
,,Don Zaengle,Charlie Slack,"('Jeff Decker', 'Brenda Boyce')","('Stephen Doherty', 'Gary Cole')"
,,Brenda Boyce,Gary Cole,"('Jeff Decker', 'Jeremy Wheeler')","('Stephen Doherty', 'Jarrett Greene')"
,,Jeremy Wheeler,Jarrett Greene,"('Jeff Decker', 'Tim Whitesell')","('Stephen Doherty', 'Eddie Maslin')"
,,Tim Whitesell,Eddie Maslin,"('Jeff Decker', 'Marchie Diffindorf')","('Stephen Doherty', 'Thomas Libous')"
,,Marchie Diffindorf,Thomas Libous,"('Jeff Decker', 'Dave Dibble')","('Stephen Doherty', 'Wayne Douglas')"
