Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Mary Frances Sabin,"('Anthony Saraceni', 'Ann Horan')",Joseph Saraceni,Derek Shepard,"('Joseph Saraceni', 'Sharon Osika Michales')","('Derek Shepard', 'Jessie Plumley')"
Howard Tupper,"('Harold Johnson', 'Claude Sykes')",Mike Shepard,Jessie Plumley,"('Joseph Saraceni', 'Mike Shepard')","('Derek Shepard', 'Marianne Miles')"
Joel Plumley,"('Howard Tupper', 'Joel Plumley')",Bruce Stebbins,Marianne Miles,"('Joseph Saraceni', 'Bruce Stebbins')","('Derek Shepard', 'Parks')"
Anthony Saraceni,"('Mary Frances Sabin', 'Joel Plumley')",Dick Clarke,Parks,"('Joseph Saraceni', 'Mary Frances Sabin')","('Derek Shepard', 'Foster')"
Ann Horan,"('Howard Tupper', 'Ann Horan')",Sharon Osika Michales,Foster,"('Joseph Saraceni', 'Howard Tupper')","('Derek Shepard', 'Cheryl Sica Michaels')"
Harold Johnson,,Mark Wilder,Cheryl Sica Michaels,"('Joseph Saraceni', 'Dick Clarke')","('Derek Shepard', 'Harold Johnson')"
Claude Sykes,,Rick Presley,Patricia Dickman,"('Joseph Saraceni', 'Mark Wilder')","('Derek Shepard', 'Claude Sykes')"
,,Art Levy,Ronald Dudzinski,"('Joseph Saraceni', 'Joel Plumley')","('Derek Shepard', 'Patricia Dickman')"
,,Ron Dudzinski,Brian May,"('Joseph Saraceni', 'Anthony Saraceni')","('Derek Shepard', 'Ronald Dudzinski')"
,,Megan O Donnell,Joanne Mahoney,"('Joseph Saraceni', 'Rick Presley')","('Derek Shepard', 'Anthony Saraceni')"
,,Patrician Dickman,Jeff Brown,"('Joseph Saraceni', 'Ann Horan')","('Derek Shepard', 'Howard Tupper')"
,,,Bob Crandall,"('Joseph Saraceni', 'Art Levy')","('Derek Shepard', 'Brian May')"
,,,Frank Karboski,"('Joseph Saraceni', 'Ron Dudzinski')","('Derek Shepard', 'Joanne Mahoney')"
,,,Golden,"('Joseph Saraceni', 'Harold Johnson')","('Derek Shepard', 'Jeff Brown')"
,,,Mary Menapace,"('Joseph Saraceni', 'Megan O Donnell')","('Derek Shepard', 'Ann Horan')"
,,,Fred Neff,"('Joseph Saraceni', 'Claude Sykes')","('Derek Shepard', 'Bob Crandall')"
,,,,"('Joseph Saraceni', 'Patrician Dickman')","('Derek Shepard', 'Frank Karboski')"
,,,,"('Mike Shepard', 'Bruce Stebbins')","('Derek Shepard', 'Golden')"
,,,,"('Mike Shepard', 'Mary Frances Sabin')","('Derek Shepard', 'Mary Frances Sabin')"
,,,,"('Mike Shepard', 'Howard Tupper')","('Derek Shepard', 'Mary Menapace')"
,,,,"('Mike Shepard', 'Dick Clarke')","('Derek Shepard', 'Joel Plumley')"
,,,,"('Mike Shepard', 'Sharon Osika Michales')","('Derek Shepard', 'Fred Neff')"
,,,,"('Mike Shepard', 'Mark Wilder')","('Jessie Plumley', 'Marianne Miles')"
,,,,"('Mike Shepard', 'Joel Plumley')","('Jessie Plumley', 'Parks')"
,,,,"('Mike Shepard', 'Anthony Saraceni')","('Jessie Plumley', 'Foster')"
,,,,"('Mike Shepard', 'Rick Presley')","('Jessie Plumley', 'Cheryl Sica Michaels')"
,,,,"('Mike Shepard', 'Ann Horan')","('Jessie Plumley', 'Harold Johnson')"
,,,,"('Mike Shepard', 'Art Levy')","('Jessie Plumley', 'Claude Sykes')"
,,,,"('Mike Shepard', 'Ron Dudzinski')","('Jessie Plumley', 'Patricia Dickman')"
,,,,"('Mike Shepard', 'Harold Johnson')","('Jessie Plumley', 'Ronald Dudzinski')"
,,,,"('Mike Shepard', 'Megan O Donnell')","('Jessie Plumley', 'Anthony Saraceni')"
,,,,"('Mike Shepard', 'Claude Sykes')","('Jessie Plumley', 'Howard Tupper')"
,,,,"('Mike Shepard', 'Patrician Dickman')","('Jessie Plumley', 'Brian May')"
,,,,"('Bruce Stebbins', 'Mary Frances Sabin')","('Jessie Plumley', 'Joanne Mahoney')"
,,,,"('Bruce Stebbins', 'Howard Tupper')","('Jessie Plumley', 'Jeff Brown')"
,,,,"('Bruce Stebbins', 'Dick Clarke')","('Jessie Plumley', 'Ann Horan')"
,,,,"('Bruce Stebbins', 'Sharon Osika Michales')","('Jessie Plumley', 'Bob Crandall')"
,,,,"('Bruce Stebbins', 'Mark Wilder')","('Jessie Plumley', 'Frank Karboski')"
,,,,"('Bruce Stebbins', 'Joel Plumley')","('Jessie Plumley', 'Golden')"
,,,,"('Bruce Stebbins', 'Anthony Saraceni')","('Jessie Plumley', 'Mary Frances Sabin')"
,,,,"('Bruce Stebbins', 'Rick Presley')","('Jessie Plumley', 'Mary Menapace')"
,,,,"('Bruce Stebbins', 'Ann Horan')","('Jessie Plumley', 'Joel Plumley')"
,,,,"('Bruce Stebbins', 'Art Levy')","('Jessie Plumley', 'Fred Neff')"
,,,,"('Bruce Stebbins', 'Ron Dudzinski')","('Marianne Miles', 'Parks')"
,,,,"('Bruce Stebbins', 'Harold Johnson')","('Marianne Miles', 'Foster')"
,,,,"('Bruce Stebbins', 'Megan O Donnell')","('Marianne Miles', 'Cheryl Sica Michaels')"
,,,,"('Bruce Stebbins', 'Claude Sykes')","('Marianne Miles', 'Harold Johnson')"
,,,,"('Bruce Stebbins', 'Patrician Dickman')","('Marianne Miles', 'Claude Sykes')"
,,,,"('Mary Frances Sabin', 'Howard Tupper')","('Marianne Miles', 'Patricia Dickman')"
,,,,"('Mary Frances Sabin', 'Dick Clarke')","('Marianne Miles', 'Ronald Dudzinski')"
,,,,"('Mary Frances Sabin', 'Sharon Osika Michales')","('Marianne Miles', 'Anthony Saraceni')"
,,,,"('Mary Frances Sabin', 'Mark Wilder')","('Marianne Miles', 'Howard Tupper')"
,,,,"('Mary Frances Sabin', 'Anthony Saraceni')","('Marianne Miles', 'Brian May')"
,,,,"('Mary Frances Sabin', 'Rick Presley')","('Marianne Miles', 'Joanne Mahoney')"
,,,,"('Mary Frances Sabin', 'Ann Horan')","('Marianne Miles', 'Jeff Brown')"
,,,,"('Mary Frances Sabin', 'Art Levy')","('Marianne Miles', 'Ann Horan')"
,,,,"('Mary Frances Sabin', 'Ron Dudzinski')","('Marianne Miles', 'Bob Crandall')"
,,,,"('Mary Frances Sabin', 'Harold Johnson')","('Marianne Miles', 'Frank Karboski')"
,,,,"('Mary Frances Sabin', 'Megan O Donnell')","('Marianne Miles', 'Golden')"
,,,,"('Mary Frances Sabin', 'Claude Sykes')","('Marianne Miles', 'Mary Frances Sabin')"
,,,,"('Mary Frances Sabin', 'Patrician Dickman')","('Marianne Miles', 'Mary Menapace')"
,,,,"('Howard Tupper', 'Dick Clarke')","('Marianne Miles', 'Joel Plumley')"
,,,,"('Howard Tupper', 'Sharon Osika Michales')","('Marianne Miles', 'Fred Neff')"
,,,,"('Howard Tupper', 'Mark Wilder')","('Parks', 'Foster')"
,,,,"('Howard Tupper', 'Anthony Saraceni')","('Parks', 'Cheryl Sica Michaels')"
,,,,"('Howard Tupper', 'Rick Presley')","('Parks', 'Harold Johnson')"
,,,,"('Howard Tupper', 'Art Levy')","('Parks', 'Claude Sykes')"
,,,,"('Howard Tupper', 'Ron Dudzinski')","('Parks', 'Patricia Dickman')"
,,,,"('Howard Tupper', 'Harold Johnson')","('Parks', 'Ronald Dudzinski')"
,,,,"('Howard Tupper', 'Megan O Donnell')","('Parks', 'Anthony Saraceni')"
,,,,"('Howard Tupper', 'Claude Sykes')","('Parks', 'Howard Tupper')"
,,,,"('Howard Tupper', 'Patrician Dickman')","('Parks', 'Brian May')"
,,,,"('Dick Clarke', 'Sharon Osika Michales')","('Parks', 'Joanne Mahoney')"
,,,,"('Dick Clarke', 'Mark Wilder')","('Parks', 'Jeff Brown')"
,,,,"('Dick Clarke', 'Joel Plumley')","('Parks', 'Ann Horan')"
,,,,"('Dick Clarke', 'Anthony Saraceni')","('Parks', 'Bob Crandall')"
,,,,"('Dick Clarke', 'Rick Presley')","('Parks', 'Frank Karboski')"
,,,,"('Dick Clarke', 'Ann Horan')","('Parks', 'Golden')"
,,,,"('Dick Clarke', 'Art Levy')","('Parks', 'Mary Frances Sabin')"
,,,,"('Dick Clarke', 'Ron Dudzinski')","('Parks', 'Mary Menapace')"
,,,,"('Dick Clarke', 'Harold Johnson')","('Parks', 'Joel Plumley')"
,,,,"('Dick Clarke', 'Megan O Donnell')","('Parks', 'Fred Neff')"
,,,,"('Dick Clarke', 'Claude Sykes')","('Foster', 'Cheryl Sica Michaels')"
,,,,"('Dick Clarke', 'Patrician Dickman')","('Foster', 'Harold Johnson')"
,,,,"('Sharon Osika Michales', 'Mark Wilder')","('Foster', 'Claude Sykes')"
,,,,"('Sharon Osika Michales', 'Joel Plumley')","('Foster', 'Patricia Dickman')"
,,,,"('Sharon Osika Michales', 'Anthony Saraceni')","('Foster', 'Ronald Dudzinski')"
,,,,"('Sharon Osika Michales', 'Rick Presley')","('Foster', 'Anthony Saraceni')"
,,,,"('Sharon Osika Michales', 'Ann Horan')","('Foster', 'Howard Tupper')"
,,,,"('Sharon Osika Michales', 'Art Levy')","('Foster', 'Brian May')"
,,,,"('Sharon Osika Michales', 'Ron Dudzinski')","('Foster', 'Joanne Mahoney')"
,,,,"('Sharon Osika Michales', 'Harold Johnson')","('Foster', 'Jeff Brown')"
,,,,"('Sharon Osika Michales', 'Megan O Donnell')","('Foster', 'Ann Horan')"
,,,,"('Sharon Osika Michales', 'Claude Sykes')","('Foster', 'Bob Crandall')"
,,,,"('Sharon Osika Michales', 'Patrician Dickman')","('Foster', 'Frank Karboski')"
,,,,"('Mark Wilder', 'Joel Plumley')","('Foster', 'Golden')"
,,,,"('Mark Wilder', 'Anthony Saraceni')","('Foster', 'Mary Frances Sabin')"
,,,,"('Mark Wilder', 'Rick Presley')","('Foster', 'Mary Menapace')"
,,,,"('Mark Wilder', 'Ann Horan')","('Foster', 'Joel Plumley')"
,,,,"('Mark Wilder', 'Art Levy')","('Foster', 'Fred Neff')"
,,,,"('Mark Wilder', 'Ron Dudzinski')","('Cheryl Sica Michaels', 'Harold Johnson')"
,,,,"('Mark Wilder', 'Harold Johnson')","('Cheryl Sica Michaels', 'Claude Sykes')"
,,,,"('Mark Wilder', 'Megan O Donnell')","('Cheryl Sica Michaels', 'Patricia Dickman')"
,,,,"('Mark Wilder', 'Claude Sykes')","('Cheryl Sica Michaels', 'Ronald Dudzinski')"
,,,,"('Mark Wilder', 'Patrician Dickman')","('Cheryl Sica Michaels', 'Anthony Saraceni')"
,,,,"('Joel Plumley', 'Anthony Saraceni')","('Cheryl Sica Michaels', 'Howard Tupper')"
,,,,"('Joel Plumley', 'Rick Presley')","('Cheryl Sica Michaels', 'Brian May')"
,,,,"('Joel Plumley', 'Ann Horan')","('Cheryl Sica Michaels', 'Joanne Mahoney')"
,,,,"('Joel Plumley', 'Art Levy')","('Cheryl Sica Michaels', 'Jeff Brown')"
,,,,"('Joel Plumley', 'Ron Dudzinski')","('Cheryl Sica Michaels', 'Ann Horan')"
,,,,"('Joel Plumley', 'Harold Johnson')","('Cheryl Sica Michaels', 'Bob Crandall')"
,,,,"('Joel Plumley', 'Megan O Donnell')","('Cheryl Sica Michaels', 'Frank Karboski')"
,,,,"('Joel Plumley', 'Claude Sykes')","('Cheryl Sica Michaels', 'Golden')"
,,,,"('Joel Plumley', 'Patrician Dickman')","('Cheryl Sica Michaels', 'Mary Frances Sabin')"
,,,,"('Anthony Saraceni', 'Rick Presley')","('Cheryl Sica Michaels', 'Mary Menapace')"
,,,,"('Anthony Saraceni', 'Art Levy')","('Cheryl Sica Michaels', 'Joel Plumley')"
,,,,"('Anthony Saraceni', 'Ron Dudzinski')","('Cheryl Sica Michaels', 'Fred Neff')"
,,,,"('Anthony Saraceni', 'Harold Johnson')","('Harold Johnson', 'Patricia Dickman')"
,,,,"('Anthony Saraceni', 'Megan O Donnell')","('Harold Johnson', 'Ronald Dudzinski')"
,,,,"('Anthony Saraceni', 'Claude Sykes')","('Harold Johnson', 'Anthony Saraceni')"
,,,,"('Anthony Saraceni', 'Patrician Dickman')","('Harold Johnson', 'Howard Tupper')"
,,,,"('Rick Presley', 'Ann Horan')","('Harold Johnson', 'Brian May')"
,,,,"('Rick Presley', 'Art Levy')","('Harold Johnson', 'Joanne Mahoney')"
,,,,"('Rick Presley', 'Ron Dudzinski')","('Harold Johnson', 'Jeff Brown')"
,,,,"('Rick Presley', 'Harold Johnson')","('Harold Johnson', 'Ann Horan')"
,,,,"('Rick Presley', 'Megan O Donnell')","('Harold Johnson', 'Bob Crandall')"
,,,,"('Rick Presley', 'Claude Sykes')","('Harold Johnson', 'Frank Karboski')"
,,,,"('Rick Presley', 'Patrician Dickman')","('Harold Johnson', 'Golden')"
,,,,"('Ann Horan', 'Art Levy')","('Harold Johnson', 'Mary Frances Sabin')"
,,,,"('Ann Horan', 'Ron Dudzinski')","('Harold Johnson', 'Mary Menapace')"
,,,,"('Ann Horan', 'Harold Johnson')","('Harold Johnson', 'Joel Plumley')"
,,,,"('Ann Horan', 'Megan O Donnell')","('Harold Johnson', 'Fred Neff')"
,,,,"('Ann Horan', 'Claude Sykes')","('Claude Sykes', 'Patricia Dickman')"
,,,,"('Ann Horan', 'Patrician Dickman')","('Claude Sykes', 'Ronald Dudzinski')"
,,,,"('Art Levy', 'Claude Sykes')","('Claude Sykes', 'Anthony Saraceni')"
,,,,"('Art Levy', 'Ron Dudzinski')","('Claude Sykes', 'Howard Tupper')"
,,,,"('Art Levy', 'Harold Johnson')","('Claude Sykes', 'Brian May')"
,,,,"('Art Levy', 'Megan O Donnell')","('Claude Sykes', 'Joanne Mahoney')"
,,,,"('Art Levy', 'Patrician Dickman')","('Claude Sykes', 'Jeff Brown')"
,,,,"('Ron Dudzinski', 'Harold Johnson')","('Claude Sykes', 'Ann Horan')"
,,,,"('Ron Dudzinski', 'Megan O Donnell')","('Claude Sykes', 'Bob Crandall')"
,,,,"('Ron Dudzinski', 'Claude Sykes')","('Claude Sykes', 'Frank Karboski')"
,,,,"('Ron Dudzinski', 'Patrician Dickman')","('Claude Sykes', 'Golden')"
,,,,"('Harold Johnson', 'Megan O Donnell')","('Claude Sykes', 'Mary Frances Sabin')"
,,,,"('Harold Johnson', 'Patrician Dickman')","('Claude Sykes', 'Mary Menapace')"
,,,,"('Megan O Donnell', 'Claude Sykes')","('Claude Sykes', 'Joel Plumley')"
,,,,"('Megan O Donnell', 'Patrician Dickman')","('Claude Sykes', 'Fred Neff')"
,,,,"('Claude Sykes', 'Patrician Dickman')","('Patricia Dickman', 'Ronald Dudzinski')"
,,,,,"('Patricia Dickman', 'Anthony Saraceni')"
