Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Jeff Decker,"('Fran Majewski', 'David Marnicki')",Matthew Pasquale,Greg Catarella,"('Matthew Pasquale', 'Marilyn Ayers')","('Greg Catarella', 'Jeff Decker')"
Fran Majewski,"('David Berger', 'David Marnicki')",Marilyn Ayers,Christine Catarella,"('Matthew Pasquale', 'Mark Sexton')","('Greg Catarella', 'Fran Majewski')"
Peter Andreasen,"('Jeff Decker', 'Sue Rapp')",Mark Sexton,Steve Milkovich,"('Matthew Pasquale', 'Matthew Ryan')","('Greg Catarella', 'Peter Andreasen')"
Lindsay Wickham,"('Lindsay Wickham', 'Sue Rapp')",Matthew Ryan,Scott Shimer,"('Matthew Pasquale', 'Ken Kinsman')","('Greg Catarella', 'Lindsay Wickham')"
John Schaffer,"('David Berger', 'Patty Fitzgerald')",Ken Kinsman,,"('Matthew Pasquale', 'Jack McQuiston')","('Greg Catarella', 'Sue Rapp')"
Sue Rapp,"('Fran Majewski', 'Lindsay Wickham')",Jack McQuiston,,"('Matthew Pasquale', 'David Slottje')","('Greg Catarella', 'Christine Catarella')"
David Berger,"('John Schaffer', 'David Marnicki')",David Slottje,,"('Matthew Pasquale', 'Larry Barrack')","('Greg Catarella', 'John Schaffer')"
David Marnicki,"('Sue Rapp', 'David Marnicki')",Larry Barrack,,"('Matthew Pasquale', 'Marie Higgs')","('Greg Catarella', 'Steve Milkovich')"
Patty Fitzgerald,"('Fran Majewski', 'Peter Andreasen')",Marie Higgs,,"('Matthew Pasquale', 'Jeff Martinez')","('Greg Catarella', 'David Berger')"
,"('Jeff Decker', 'Fran Majewski')",Jeff Martinez,,"('Matthew Pasquale', 'Stephanie Lewis')","('Greg Catarella', 'David Marnicki')"
,"('Jeff Decker', 'Lindsay Wickham')",Stephanie Lewis,,"('Matthew Pasquale', 'Nadia Steinzor')","('Greg Catarella', 'Patty Fitzgerald')"
,"('Jeff Decker', 'Peter Andreasen')",Nadia Steinzor,,"('Matthew Pasquale', 'Betty Ann Hughes')","('Greg Catarella', 'Scott Shimer')"
,"('Peter Andreasen', 'David Marnicki')",Betty Ann Hughes,,"('Matthew Pasquale', 'James Finch')","('Jeff Decker', 'Christine Catarella')"
,"('Fran Majewski', 'Sue Rapp')",James Finch,,"('Matthew Pasquale', 'Michael Butler')","('Jeff Decker', 'John Schaffer')"
,"('Jeff Decker', 'David Marnicki')",Michael Butler,,"('Matthew Pasquale', 'Rachel Treichler')","('Jeff Decker', 'Steve Milkovich')"
,"('Lindsay Wickham', 'David Marnicki')",Rachel Treichler,,"('Matthew Pasquale', 'Fadel Gheit')","('Jeff Decker', 'David Berger')"
,"('Peter Andreasen', 'Sue Rapp')",Fadel Gheit,,"('Matthew Pasquale', 'Larry Michael')","('Jeff Decker', 'Patty Fitzgerald')"
,,Larry Michael,,"('Matthew Pasquale', 'Bob Poloncic')","('Jeff Decker', 'Scott Shimer')"
,,Bob Poloncic,,"('Matthew Pasquale', 'Theo Colborn')","('Fran Majewski', 'Christine Catarella')"
,,Theo Colborn,,"('Matthew Pasquale', 'Yvonne Lucia')","('Fran Majewski', 'John Schaffer')"
,,Yvonne Lucia,,"('Matthew Pasquale', 'Tom Tranter')","('Fran Majewski', 'Steve Milkovich')"
,,Tom Tranter,,"('Matthew Pasquale', 'Mark Dougherty')","('Fran Majewski', 'David Berger')"
,,Mark Dougherty,,"('Matthew Pasquale', 'Dan Lamb')","('Fran Majewski', 'Patty Fitzgerald')"
,,Dan Lamb,,"('Matthew Pasquale', 'Andrew Block')","('Fran Majewski', 'Scott Shimer')"
,,Andrew Block,,"('Matthew Pasquale', 'John Bernardo')","('Peter Andreasen', 'Lindsay Wickham')"
,,John Bernardo,,"('Matthew Pasquale', 'Kate Bartholomew')","('Peter Andreasen', 'Christine Catarella')"
,,Kate Bartholomew,,"('Matthew Pasquale', 'Mark Scheuerman')","('Peter Andreasen', 'John Schaffer')"
,,Mark Scheuerman,,"('Matthew Pasquale', 'Frank Evangelisti')","('Peter Andreasen', 'Steve Milkovich')"
,,Frank Evangelisti,,"('Matthew Pasquale', 'Robert Freeman')","('Peter Andreasen', 'David Berger')"
,,Robert Freeman,,"('Matthew Pasquale', 'Elvin Jeffrey')","('Peter Andreasen', 'Patty Fitzgerald')"
,,Elvin Jeffrey,,"('Matthew Pasquale', 'Helen Slottje')","('Peter Andreasen', 'Scott Shimer')"
,,Helen Slottje,,"('Matthew Pasquale', 'Dave Thomas')","('Lindsay Wickham', 'Christine Catarella')"
,,Dave Thomas,,"('Matthew Pasquale', 'Pat Roberts')","('Lindsay Wickham', 'John Schaffer')"
,,Pat Roberts,,"('Matthew Pasquale', 'Marchie Diffendorf')","('Lindsay Wickham', 'Steve Milkovich')"
,,Marchie Diffendorf,,"('Matthew Pasquale', 'Griffen Fisher')","('Lindsay Wickham', 'David Berger')"
,,Griffen Fisher,,"('Matthew Pasquale', 'Ryan Yarosh')","('Lindsay Wickham', 'Patty Fitzgerald')"
,,Ryan Yarosh,,"('Matthew Pasquale', 'Terry Walker')","('Lindsay Wickham', 'Scott Shimer')"
,,Terry Walker,,"('Matthew Pasquale', 'Scott Hornafius')","('Sue Rapp', 'Christine Catarella')"
,,Scott Hornafius,,"('Matthew Pasquale', 'Lois Moses')","('Sue Rapp', 'John Schaffer')"
,,Lois Moses,,"('Matthew Pasquale', 'Lois Dilworth')","('Sue Rapp', 'Steve Milkovich')"
,,Lois Dilworth,,"('Matthew Pasquale', 'Sally Moretti')","('Sue Rapp', 'David Berger')"
,,Sally Moretti,,"('Matthew Pasquale', 'David Berger')","('Sue Rapp', 'Patty Fitzgerald')"
,,Tony Ingraffea,,"('Matthew Pasquale', 'Tony Ingraffea')","('Sue Rapp', 'Scott Shimer')"
,,Michael Marinaccio,,"('Matthew Pasquale', 'Michael Marinaccio')","('Christine Catarella', 'John Schaffer')"
,,Catherine Aingworth,,"('Matthew Pasquale', 'Catherine Aingworth')","('Christine Catarella', 'Steve Milkovich')"
,,Warren Trainor,,"('Matthew Pasquale', 'Warren Trainor')","('Christine Catarella', 'David Berger')"
,,Emily DeSantis,,"('Matthew Pasquale', 'Emily DeSantis')","('Christine Catarella', 'David Marnicki')"
,,Alex Parillo,,"('Matthew Pasquale', 'Alex Parillo')","('Christine Catarella', 'Patty Fitzgerald')"
,,Charlie Manasse,,"('Matthew Pasquale', 'Charlie Manasse')","('Christine Catarella', 'Scott Shimer')"
,,Marty Leab,,"('Matthew Pasquale', 'Marty Leab')","('John Schaffer', 'Steve Milkovich')"
,,William McGowan,,"('Matthew Pasquale', 'William McGowan')","('John Schaffer', 'David Berger')"
,,Joseph Sluzar,,"('Matthew Pasquale', 'Joseph Sluzar')","('John Schaffer', 'Patty Fitzgerald')"
,,Kevin McLaughlin,,"('Matthew Pasquale', 'Patty Fitzgerald')","('John Schaffer', 'Scott Shimer')"
,,Tinamarie McDermott,,"('Matthew Pasquale', 'Kevin McLaughlin')","('Steve Milkovich', 'David Berger')"
,,Scott Zimmerman,,"('Matthew Pasquale', 'Tinamarie McDermott')","('Steve Milkovich', 'David Marnicki')"
,,Karen Moreau,,"('Matthew Pasquale', 'Scott Zimmerman')","('Steve Milkovich', 'Patty Fitzgerald')"
,,Robert Wedlake,,"('Matthew Pasquale', 'Karen Moreau')","('Steve Milkovich', 'Scott Shimer')"
