Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Lee Strange,"('Sue Linder', 'Clyde Rehberg')",Mary Boite,Jim Powers,"('Mary Boite', 'Peg Hilton')","('Sue Linder', 'Jay Mitchell')"
John Champlin,"('Lee Strange', 'Jim Hagen')",Peg Hilton,Anderson,"('Mary Boite', 'Tim Schiefen')","('Sue Linder', 'Jim Powers')"
Sue Linder,"('Gary Evans', 'Scott Storke')",Tim Schiefen,Wettergreen,"('Mary Boite', 'Linda Barry')","('Sue Linder', 'Linder')"
Gary Evans,"('Sue Linder', 'Lee Strange')",Linda Barry,Jay Mitchell,"('Mary Boite', 'Rachel Treichler')","('Sue Linder', 'Gary Evans')"
Scott Storke,"('Clyde Rehberg', 'Lee Strange')",Rachel Treichler,Linder,"('Mary Boite', 'Renee Santoro')","('Sue Linder', 'Travis')"
Clyde Rehberg,"('Clyde Rehberg', 'Jim Hagen')",Renee Santoro,Harman,"('Mary Boite', 'Ellen Polimeni')","('Sue Linder', 'Wettergreen')"
Jim Hagen,"('Scott Storke', 'Jim Hagen')",Ellen Polimeni,Foote,"('Mary Boite', 'Gary Evans')","('Sue Linder', 'Sue Boardman')"
,"('John Champlin', 'Jim Hagen')",Gary Lash,Skiba,"('Mary Boite', 'Gary Lash')","('Sue Linder', 'Mary Grundman')"
,"('Gary Evans', 'Clyde Rehberg')",Will Ouweleen,Mary Grundman,"('Mary Boite', 'Will Ouweleen')","('Sue Linder', 'Harman')"
,"('Gary Evans', 'Lee Strange')",Moneen Nasmith,Sue Boardman,"('Mary Boite', 'Moneen Nasmith')","('Sue Linder', 'Anderson')"
,"('Sue Linder', 'Jim Hagen')",Mary Lucern,Travis,"('Mary Boite', 'Mary Lucern')","('Sue Linder', 'Gulli')"
,"('Gary Evans', 'Jim Hagen')",David Slottje,Gulli,"('Mary Boite', 'David Slottje')","('Sue Linder', 'Skiba')"
,"('Sue Linder', 'John Champlin')",Leslie Giering,Campbell,"('Mary Boite', 'Leslie Giering')","('Sue Linder', 'Campbell')"
,"('Gary Evans', 'John Champlin')",Steve Churchill,Jean Stone,"('Mary Boite', 'Steve Churchill')","('Sue Linder', 'Foote')"
,,Bob Green,Jeff Harloff,"('Mary Boite', 'Bob Green')","('Sue Linder', 'Jean Stone')"
,,Jack Dailey,,"('Mary Boite', 'Jack Dailey')","('Sue Linder', 'Jeff Harloff')"
,,Paula Fitzsimmons,,"('Mary Boite', 'Scott Storke')","('Sue Linder', 'Scott Storke')"
,,Nirav Shah,,"('Mary Boite', 'Paula Fitzsimmons')","('Jim Powers', 'Lee Strange')"
,,Robert Oswald,,"('Mary Boite', 'Nirav Shah')","('Jim Powers', 'John Champlin')"
,,Art Hunt,,"('Mary Boite', 'Robert Oswald')","('Jim Powers', 'Jay Mitchell')"
,,Jordan Kleiman,,"('Mary Boite', 'Art Hunt')","('Jim Powers', 'Mary Grundman')"
,,Dennis Staley,,"('Mary Boite', 'Jordan Kleiman')","('Jim Powers', 'Linder')"
,,Walter Hang,,"('Mary Boite', 'Dennis Staley')","('Jim Powers', 'Gary Evans')"
,,David Palmerton,,"('Mary Boite', 'Sue Linder')","('Jim Powers', 'Wettergreen')"
,,Tom Johnson,,"('Mary Boite', 'Walter Hang')","('Jim Powers', 'Sue Boardman')"
,,John Cowley,,"('Mary Boite', 'David Palmerton')","('Jim Powers', 'Harman')"
,,Richard Young,,"('Mary Boite', 'Tom Johnson')","('Jim Powers', 'Anderson')"
,,Cherie Messore,,"('Mary Boite', 'John Cowley')","('Jim Powers', 'Gulli')"
,,Harry Schwarzweller,,"('Mary Boite', 'Richard Young')","('Jim Powers', 'Clyde Rehberg')"
,,Charlie Ferguson,,"('Mary Boite', 'Cherie Messore')","('Jim Powers', 'Skiba')"
,,Andrew Cuomo,,"('Mary Boite', 'Harry Schwarzweller')","('Jim Powers', 'Campbell')"
,,John Holko,,"('Mary Boite', 'Charlie Ferguson')","('Jim Powers', 'Foote')"
,,Anthony Ingraffea,,"('Mary Boite', 'Andrew Cuomo')","('Jim Powers', 'Travis')"
,,Michelle Bamberger,,"('Mary Boite', 'John Holko')","('Jim Powers', 'Jean Stone')"
,,Donald Siegel,,"('Mary Boite', 'Anthony Ingraffea')","('Jim Powers', 'Jim Hagen')"
,,Gloria Foster,,"('Mary Boite', 'Michelle Bamberger')","('Jim Powers', 'Jeff Harloff')"
,,Margie Rodgers,,"('Mary Boite', 'Donald Siegel')","('Jim Powers', 'Scott Storke')"
,,Tim Jensen,,"('Mary Boite', 'Gloria Foster')","('Gary Evans', 'Jay Mitchell')"
,,Dodie Huber,,"('Mary Boite', 'Margie Rodgers')","('Gary Evans', 'Linder')"
,,Lou Santoni,,"('Mary Boite', 'Tim Jensen')","('Gary Evans', 'Wettergreen')"
,,Doug Hazlitt,,"('Mary Boite', 'Dodie Huber')","('Gary Evans', 'Sue Boardman')"
,,Mike Lausell,,"('Mary Boite', 'Lou Santoni')","('Gary Evans', 'Mary Grundman')"
,,Robert Howarth,,"('Mary Boite', 'Doug Hazlitt')","('Gary Evans', 'Harman')"
,,Andrew Kozlowski,,"('Mary Boite', 'John Champlin')","('Gary Evans', 'Anderson')"
,,Steve Barnhoorn,,"('Mary Boite', 'Mike Lausell')","('Gary Evans', 'Gulli')"
,,Terry Engelder,,"('Mary Boite', 'Robert Howarth')","('Gary Evans', 'Skiba')"
,,Eric Massa,,"('Mary Boite', 'Clyde Rehberg')","('Gary Evans', 'Campbell')"
,,Chris Collins,,"('Mary Boite', 'Andrew Kozlowski')","('Gary Evans', 'Foote')"
,,Marna Evans,,"('Mary Boite', 'Steve Barnhoorn')","('Gary Evans', 'Travis')"
,,Nick Cohen,,"('Mary Boite', 'Terry Engelder')","('Gary Evans', 'Jean Stone')"
,,Kris Singer,,"('Mary Boite', 'Eric Massa')","('Gary Evans', 'Jeff Harloff')"
,,Arthur Buckley,,"('Mary Boite', 'Lee Strange')","('Anderson', 'Lee Strange')"
,,David Bimber,,"('Mary Boite', 'Chris Collins')","('Anderson', 'John Champlin')"
,,Jeanette Burke,,"('Mary Boite', 'Marna Evans')","('Anderson', 'Jay Mitchell')"
,,Tony Ingraffea,,"('Mary Boite', 'Nick Cohen')","('Anderson', 'Linder')"
,,Sandra Steingraber,,"('Mary Boite', 'Kris Singer')","('Anderson', 'Wettergreen')"
,,Steve Coffman,,"('Mary Boite', 'Arthur Buckley')","('Anderson', 'Sue Boardman')"
,,Jack Ossont,,"('Mary Boite', 'David Bimber')","('Anderson', 'Mary Grundman')"
,,Greg Biryla,,"('Mary Boite', 'Jeanette Burke')","('Anderson', 'Harman')"
,,Fred Lightfoote,,"('Mary Boite', 'Tony Ingraffea')","('Anderson', 'Gulli')"
,,John Halfman,,"('Mary Boite', 'Sandra Steingraber')","('Anderson', 'Clyde Rehberg')"
,,,,"('Mary Boite', 'Steve Coffman')","('Anderson', 'Skiba')"
,,,,"('Mary Boite', 'Jack Ossont')","('Anderson', 'Campbell')"
,,,,"('Mary Boite', 'Greg Biryla')","('Anderson', 'Foote')"
,,,,"('Mary Boite', 'Fred Lightfoote')","('Anderson', 'Travis')"
,,,,"('Mary Boite', 'Jim Hagen')","('Anderson', 'Jean Stone')"
,,,,"('Mary Boite', 'John Halfman')","('Anderson', 'Jim Hagen')"
,,,,"('Peg Hilton', 'Tim Schiefen')","('Anderson', 'Jeff Harloff')"
,,,,"('Peg Hilton', 'Linda Barry')","('Anderson', 'Scott Storke')"
,,,,"('Peg Hilton', 'Rachel Treichler')","('Wettergreen', 'Lee Strange')"
,,,,"('Peg Hilton', 'Renee Santoro')","('Wettergreen', 'John Champlin')"
,,,,"('Peg Hilton', 'Ellen Polimeni')","('Wettergreen', 'Jay Mitchell')"
,,,,"('Peg Hilton', 'Gary Evans')","('Wettergreen', 'Linder')"
,,,,"('Peg Hilton', 'Gary Lash')","('Wettergreen', 'Sue Boardman')"
,,,,"('Peg Hilton', 'Will Ouweleen')","('Wettergreen', 'Mary Grundman')"
,,,,"('Peg Hilton', 'Moneen Nasmith')","('Wettergreen', 'Harman')"
,,,,"('Peg Hilton', 'Mary Lucern')","('Wettergreen', 'Gulli')"
,,,,"('Peg Hilton', 'David Slottje')","('Wettergreen', 'Clyde Rehberg')"
,,,,"('Peg Hilton', 'Leslie Giering')","('Wettergreen', 'Skiba')"
,,,,"('Peg Hilton', 'Steve Churchill')","('Wettergreen', 'Campbell')"
,,,,"('Peg Hilton', 'Bob Green')","('Wettergreen', 'Foote')"
