Actor Overlap,Relationship Overlap,Unique Newspaper Network Actors,Unique Meeting Minute Network Actors,Unique Newspaper Network Relationships,Unique Newspaper Network Relationships
Hubert Pritchard,"('Scott Brown', 'Charles Hebbard')",James Zecca,Gordon Reese,"('James Zecca', 'Scott Brown')","('Scott Brown', 'Gordon Reese')"
Jody Burdick,"('Scott Brown', 'Jody Burdick')",Emily DeSantis,Gregory Sydoriw,"('James Zecca', 'Emily DeSantis')","('Scott Brown', 'Gregory Sydoriw')"
David Husted,"('Greg Mattacola', 'Jody Burdick')",Joe Martens,Lisa Taber,"('James Zecca', 'Joe Martens')","('Scott Brown', 'Lisa Taber')"
Scott Brown,"('Charles Hebbard', 'Jody Burdick')",Garry Colarusso,Peggy Bartles,"('James Zecca', 'Garry Colarusso')","('Scott Brown', 'Peggy Bartles')"
Greg Mattacola,"('Jody Burdick', 'Kenneth Eisnor')",Mark West,Tasha Hance,"('James Zecca', 'Mark West')","('Scott Brown', 'Tasha Hance')"
Kenneth Eisnor,"('Scott Brown', 'Greg Mattacola')",Jay Babich,Jonathan Barns,"('James Zecca', 'Jay Babich')","('Scott Brown', 'Jonathan Barns')"
Charles Hebbard,"('Charles Hebbard', 'David Husted')",Thomas West,Diane Rolewicz,"('James Zecca', 'Thomas West')","('Scott Brown', 'Diane Rolewicz')"
,"('Scott Brown', 'Hubert Pritchard')",Andrew Cuomo,Jim Stewart,"('James Zecca', 'Hubert Pritchard')","('Scott Brown', 'Jim Stewart')"
,"('David Husted', 'Jody Burdick')",Patrick Tyksinski,Ronald Watson,"('James Zecca', 'Andrew Cuomo')","('Scott Brown', 'Ronald Watson')"
,"('Hubert Pritchard', 'Greg Mattacola')",Scott Kurkoski,Howard Waldas,"('James Zecca', 'Patrick Tyksinski')","('Scott Brown', 'Howard Waldas')"
,"('David Husted', 'Kenneth Eisnor')",Jason Espino,Terry Williamson,"('James Zecca', 'Charles Hebbard')","('Scott Brown', 'Terry Williamson')"
,"('Charles Hebbard', 'Greg Mattacola')",Howard Pollman,Victor Cardillo,"('James Zecca', 'Scott Kurkoski')","('Scott Brown', 'Victor Cardillo')"
,"('David Husted', 'Greg Mattacola')",Frank Vescera,Julie Waldras,"('James Zecca', 'Jason Espino')","('Scott Brown', 'Julie Waldras')"
,"('Greg Mattacola', 'Kenneth Eisnor')",Jannette Barthe,Jerrid Otis,"('James Zecca', 'David Husted')","('Scott Brown', 'Jerrid Otis')"
,"('Scott Brown', 'Kenneth Eisnor')",Robert McHale,Tony DeBella,"('James Zecca', 'Howard Pollman')","('Scott Brown', 'Tony DeBella')"
,"('Hubert Pritchard', 'David Husted')",Claudia Tenney,Gary Palirusso,"('James Zecca', 'Greg Mattacola')","('Scott Brown', 'Gary Palirusso')"
,"('Hubert Pritchard', 'Jody Burdick')",Julie Waldas,Kevin Burger,"('James Zecca', 'Frank Vescera')","('Scott Brown', 'Kevin Burger')"
,"('Hubert Pritchard', 'Kenneth Eisnor')",Jennifer Huntington,Russell Young,"('James Zecca', 'Jannette Barthe')","('Scott Brown', 'Russell Young')"
,"('Scott Brown', 'David Husted')",Mike Kotz,Carlton Cory,"('James Zecca', 'Robert McHale')","('Scott Brown', 'Carlton Cory')"
,"('Charles Hebbard', 'Kenneth Eisnor')",William Johnson,Jack Maine,"('James Zecca', 'Claudia Tenney')","('Scott Brown', 'Jack Maine')"
,,Michael Baker,Mark Crane,"('James Zecca', 'Julie Waldas')","('Scott Brown', 'Mark Crane')"
,,,Harris Samuels,"('James Zecca', 'Jennifer Huntington')","('Scott Brown', 'Harris Samuels')"
,,,Charles Smith,"('James Zecca', 'Jody Burdick')","('Scott Brown', 'Charles Smith')"
,,,Mike DeBella,"('James Zecca', 'Mike Kotz')","('Scott Brown', 'Mike DeBella')"
,,,Bernard Szarek,"('James Zecca', 'William Johnson')","('Scott Brown', 'Bernard Szarek')"
,,,Riley McFadden,"('James Zecca', 'Kenneth Eisnor')","('Scott Brown', 'Riley McFadden')"
,,,Peter Bianco,"('James Zecca', 'Michael Baker')","('Scott Brown', 'Peter Bianco')"
,,,David Wood,"('Scott Brown', 'Emily DeSantis')","('Scott Brown', 'David Wood')"
,,,Gregory Mattacola,"('Scott Brown', 'Joe Martens')","('Scott Brown', 'Gregory Mattacola')"
,,,Sally Glouse,"('Scott Brown', 'Garry Colarusso')","('Scott Brown', 'Sally Glouse')"
,,,James Kimball,"('Scott Brown', 'Mark West')","('Scott Brown', 'James Kimball')"
,,,Bonnie Joe,"('Scott Brown', 'Jay Babich')","('Scott Brown', 'Bonnie Joe')"
,,,Margaret Leone,"('Scott Brown', 'Thomas West')","('Scott Brown', 'Margaret Leone')"
,,,Carl Eddy,"('Scott Brown', 'Andrew Cuomo')","('Scott Brown', 'Carl Eddy')"
,,,Thomas Phelan,"('Scott Brown', 'Patrick Tyksinski')","('Scott Brown', 'Thomas Phelan')"
,,,Mike Lally,"('Scott Brown', 'Scott Kurkoski')","('Scott Brown', 'Mike Lally')"
,,,Randy Rundall,"('Scott Brown', 'Jason Espino')","('Scott Brown', 'Randy Rundall')"
,,,,"('Scott Brown', 'Howard Pollman')","('Gordon Reese', 'Jonathan Barns')"
,,,,"('Scott Brown', 'Frank Vescera')","('Gordon Reese', 'Gregory Sydoriw')"
